occupation,annotator_1,annotator_2,US_statistics_gender
accountant,f,m,F
analyst,f,m,F
assistant,f,f,F
attendant,f,f,F
auditor,m,m,M
baker,m,m,M
carpenter,m,m,M
cashier,f,f,F
CEO,m,m,M
chief,m,m,M
cleaner,f,f,F
clerk,m,m,M
constructor,m,m,M
cook,f,m,F
counselor,f,f,F
designer,f,f,F
developer,m,m,M
driver,m,m,M
editor,f,m,F
farmer,m,m,M
guard,m,m,M
hairdresser,f,f,F
housekeeper,f,f,F
janitor,f,m,F
laborer,m,m,M
lawyer,m,m,M
librarian,f,f,F
manager,m,m,M
mechanic,m,m,M
mover,m,m,M
nurse,f,f,F
physician,m,f,M
receptionist,f,f,F
salesperson,m,m,M
secretary,f,f,F
sewer,f,f,F
sheriff,m,m,M
supervisor,m,m,M
teacher,f,f,F
writer,f,m,F
tailor,f,f,F
worker,m,m,M
