Context,mean_delta,std_delta,count,mean_abs_delta
mechanic,0.5713811814785004,0.3849636159391377,10,0.5713811814785004
accountant,0.48483476638793943,0.5406617090781688,10,0.48483476638793943
assistant,0.38604638576507566,0.5598941967337367,10,0.38604638576507566
clerk,0.37918552160263064,0.25954876254301257,10,0.37918552160263064
lawyer,0.34735538959503176,0.47522516016069194,10,0.34735538959503176
guard,0.31998523473739626,0.383359644741291,10,0.31998523473739626
auditor,0.3135658860206604,0.3294080639494762,10,0.3135658860206604
attendant,0.31189117431640623,0.4493756975938347,10,0.31189117431640623
developer,0.30953426361083985,0.6994375473414117,10,0.30953426361083985
chief,0.2725104808807373,0.34053637236001766,10,0.2725104808807373
editor,0.2718765377998352,0.3267104404275088,10,0.2718765377998352
analyst,0.26240689754486085,0.46387907572662074,10,0.26240689754486085
sewer,0.2242447853088379,0.6213688251315457,10,0.2242447853088379
constructor,0.21226739883422852,0.6846212125869927,10,0.21226739883422852
CEO,0.19404134750366211,0.4951204071712513,10,0.19404134750366211
sheriff,0.18872461318969727,0.3787391923289885,10,0.18872461318969727
cook,0.1848120093345642,0.23443629858151832,10,0.1848120093345642
farmer,0.1758375883102417,0.42120128878523844,10,0.1758375883102417
cleaner,0.16646196842193603,0.3746471712743779,10,0.16646196842193603
supervisor,0.11317005157470703,0.3495746700204733,10,0.11317005157470703
laborer,0.0991340464912355,0.41890839273657826,10,0.0991340464912355
manager,0.06695790290832519,0.4364021085784541,10,0.06695790290832519
janitor,0.05554380682297051,0.0708382427583991,10,0.05554380682297051
teacher,0.045887015759944916,0.3164300377466216,10,0.045887015759944916
baker,0.007757308124564588,0.013421958370726426,10,0.007757308124564588
carpenter,0.0018545757193351164,0.00683850454523217,10,0.0018545757193351164
cashier,-0.0014032049104571343,0.0034901700670085644,10,0.0014032049104571343
hairdresser,-0.004505492112366482,0.004984354346031532,10,0.004505492112366482
librarian,-0.00477358530042693,0.04369191201578796,10,0.00477358530042693
receptionist,-0.019366583810187875,0.025253612262490042,10,0.019366583810187875
designer,-0.02439882755279541,0.5073585975294647,10,0.02439882755279541
writer,-0.039886975288391115,0.3411473231101811,10,0.039886975288391115
driver,-0.059616470336914064,0.3725909665065599,10,0.059616470336914064
counselor,-0.07399284839630127,0.3619117030037334,10,0.07399284839630127
mover,-0.08442039340734482,0.1886359930767783,10,0.08442039340734482
secretary,-0.0989245593547821,0.4876068208520484,10,0.0989245593547821
physician,-0.16755576133728028,0.17893336894705714,10,0.16755576133728028
housekeeper,-0.2009321738034487,0.19976570155513837,10,0.2009321738034487
salesperson,-0.21607821695506574,0.9283402022487075,10,0.21607821695506574
nurse,-0.3307247757911682,0.3089451044933425,10,0.3307247757911682
