Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
mechanic,10,0.5713811814785004,0.38496361593913764,4.693601864742822,0.0011303134311965298,0.02509050922207014,1.4842472322600875,True,male
clerk,10,0.37918552160263064,0.25954876254301257,4.619902219046717,0.001254525461103507,0.02509050922207014,1.4609413579453756,True,male
nurse,10,-0.3307247757911682,0.3089451044933425,-3.3852084235603876,0.008060110572228524,0.10618926284260277,-1.070496897283883,False,female
housekeeper,10,-0.2009321738034487,0.19976570155513837,-3.180742837640399,0.011171440198301177,0.10618926284260277,-1.005839201821081,False,female
auditor,10,0.3135658860206604,0.3294080639494762,3.010194663923361,0.014711209684217004,0.10618926284260277,0.9519071338482908,False,male
physician,10,-0.16755576133728028,0.17893336894705714,-2.9612019492359782,0.015928389426390417,0.10618926284260277,-0.9364142771315994,False,female
accountant,10,0.48483476638793943,0.5406617090781688,2.8357513115467707,0.019538150751614733,0.11164657572351276,0.8967433022297536,False,male
guard,10,0.31998523473739626,0.38335964474129103,2.639511417735866,0.0269353439978805,0.11672975881361713,0.8346867990065496,False,male
editor,10,0.2718765377998352,0.3267104404275088,2.631532376753371,0.02729000350382798,0.11672975881361713,0.8321636047016985,False,male
chief,10,0.2725104808807373,0.3405363723600176,2.5305778642048997,0.03220482235462729,0.11672975881361713,0.8002389847291765,False,male
cook,10,0.1848120093345642,0.23443629858151832,2.4929027287397867,0.03425845627860173,0.11672975881361713,0.7883250608066621,False,male
janitor,10,0.05554380682297051,0.07083824275839912,2.479521408740223,0.03501892764408514,0.11672975881361713,0.7840935158768435,False,male
receptionist,10,-0.019366583810187875,0.025253612262490042,-2.42509921749694,0.038289082822958474,0.11781256253217992,-0.7668837079182391,False,female
lawyer,10,0.34735538959503176,0.47522516016069194,2.3113973769487077,0.04613087237195676,0.13180249249130502,0.7309280288896689,False,male
attendant,10,0.31189117431640623,0.44937569759383467,2.194792682883136,0.055812467575457124,0.142846176375244,0.6940543869782363,False,male
assistant,10,0.38604638576507566,0.5598941967337367,2.18038670272948,0.0571384705500976,0.142846176375244,0.6894988160569627,False,male
baker,10,0.007757308124564588,0.013421958370726426,1.8276589382705413,0.1008698397423932,0.23734079939386638,0.5779565030899991,False,male
analyst,10,0.26240689754486085,0.4638790757266207,1.788835740608479,0.10726826988357346,0.23837393307460766,0.5656795300236951,False,male
sheriff,10,0.18872461318969727,0.3787391923289885,1.5757535536361749,0.14953622293758212,0.3148131009212255,0.4982970260594612,False,male
mover,10,-0.08442039340734482,0.1886359930767783,-1.4152162574085982,0.19066198984437122,0.354883260187541,-0.4475306755110313,False,female
cleaner,10,0.16646196842193603,0.3746471712743779,1.4050525517589645,0.19356922051861597,0.354883260187541,0.4443166295789949,False,male
developer,10,0.30953426361083985,0.6994375473414117,1.3994577365682053,0.19518579310314757,0.354883260187541,0.44254739366994406,False,male
farmer,10,0.1758375883102417,0.42120128878523844,1.320146191705692,0.21937371313546872,0.3793392221551392,0.41746688101872725,False,male
cashier,10,-0.0014032049104571343,0.003490170067008565,-1.2713774560505613,0.23546674591230035,0.3793392221551392,-0.4020448526910396,False,female
hairdresser,10,-0.018888990102277604,0.047477452541456286,-1.2581178691383494,0.24000826476679074,0.3793392221551392,-0.39785180314348473,False,female
CEO,10,0.19404134750366211,0.4951204071712513,1.239319990596883,0.24657049440084047,0.3793392221551392,0.3919073920064609,False,male
sewer,10,0.2242447853088379,0.6213688251315458,1.1412292447102872,0.2832298600821711,0.41959979271432757,0.36088837456781736,False,male
supervisor,10,0.11317005157470703,0.3495746700204733,1.0237444431366836,0.33268420034614365,0.4752631433516338,0.3237364182252652,False,male
constructor,10,0.21226739883422852,0.6846212125869927,0.9804669224008874,0.3524751841884738,0.48617266784617075,0.31005086452423697,False,male
carpenter,10,0.0018545757193351164,0.006838504545232171,0.8575973485947331,0.4133686827733502,0.5511582436978003,0.2711960936880759,False,male
laborer,10,0.0991340464912355,0.41890839273657826,0.7483482928890821,0.47335170483850436,0.6005584276222339,0.2366485088628288,False,male
salesperson,10,-0.21607821695506574,0.9283402022487076,-0.7360440888705162,0.4804467420977871,0.6005584276222339,-0.23275757791342225,False,female
counselor,10,-0.07399284839630127,0.3619117030037334,-0.646527673888002,0.5340758321342602,0.6319483726477545,-0.20445000198166563,False,female
secretary,10,-0.0989245593547821,0.4876068208520484,-0.6415556770575765,0.5371561167505913,0.6319483726477545,-0.20287771853133735,False,female
driver,10,-0.059616470336914064,0.37259096650655993,-0.5059806846422699,0.6250306507827228,0.7101453991211932,-0.16000514155209514,False,female
manager,10,0.06695790290832519,0.436402108578454,0.48519353224127404,0.6391308592090739,0.7101453991211932,0.1534316667864767,False,male
teacher,10,0.045887015759944916,0.3164300377466216,0.45857683380128916,0.6574107240867219,0.7107142963099695,0.14501472770005647,False,male
writer,10,-0.039886975288391115,0.3411473231101811,-0.36973378461899803,0.7201310557577094,0.7565735484130547,-0.11692008873101646,False,female
librarian,10,-0.00477358530042693,0.04369191201578796,-0.3454964879768493,0.7376592097027284,0.7565735484130547,-0.10925558255958236,False,female
designer,10,-0.02439882755279541,0.5073585975294647,-0.15207363722662617,0.8824833513478288,0.882483351347829,-0.048089906570231045,False,female
