Context,mean_delta,std_delta,count,mean_abs_delta
sewer,0.9106685638427734,0.41863786734036246,10,0.9106685638427734
driver,0.2547768086194992,0.6673782496617012,10,0.2547768086194992
secretary,0.24454548358917236,0.21620124836335,10,0.24454548358917236
accountant,0.2389218330383301,0.8716444909393316,10,0.2389218330383301
guard,0.2338016152381897,0.38294630381259875,10,0.2338016152381897
developer,0.23226077556610109,0.5696522936908899,10,0.23226077556610109
chief,0.21896052360534668,0.2844616719681147,10,0.21896052360534668
mechanic,0.2121760606765747,0.4627256686759197,10,0.2121760606765747
cleaner,0.151710844039917,0.1972879743099408,10,0.151710844039917
lawyer,0.14234743118286133,0.25752755603232325,10,0.14234743118286133
auditor,0.11556679010391235,0.345981555704908,10,0.11556679010391235
farmer,0.1108200192451477,0.2558441592442915,10,0.1108200192451477
cook,0.04746295809745789,0.08503001511535542,10,0.04746295809745789
janitor,0.024916818155907093,0.04074768262145367,10,0.024916818155907093
constructor,0.02089378349483013,0.4246031971524488,10,0.02089378349483013
analyst,0.0031645774841308595,0.35492165878543264,10,0.0031645774841308595
clerk,0.0006756216287612915,0.2397073629445996,10,0.0006756216287612915
hairdresser,-0.00047721434730192415,0.0010853573127074772,10,0.00047721434730192415
cashier,-0.0015456702749361284,0.0018969405867880905,10,0.0015456702749361284
attendant,-0.004026353359222412,0.38640792515836714,10,0.004026353359222412
editor,-0.019427275657653807,0.34372537381085,10,0.019427275657653807
physician,-0.028530335426330565,0.21832036105404068,10,0.028530335426330565
carpenter,-0.03851155042648315,0.146170461625346,10,0.03851155042648315
writer,-0.042043113708496095,0.19435028292499013,10,0.042043113708496095
sheriff,-0.043013262748718264,0.3716012226197333,10,0.043013262748718264
mover,-0.04872390627861023,0.24185720813632133,10,0.04872390627861023
teacher,-0.052954244613647464,0.2662517170763801,10,0.052954244613647464
laborer,-0.056555155129171905,0.2766157790511731,10,0.056555155129171905
manager,-0.07563869953155518,0.4733467931017565,10,0.07563869953155518
counselor,-0.12346954345703125,0.7080072457984148,10,0.12346954345703125
baker,-0.1368314027786255,0.23039937835275878,10,0.1368314027786255
designer,-0.1944050073623657,0.31038054648397645,10,0.1944050073623657
CEO,-0.229926598072052,0.6146957467990063,10,0.229926598072052
assistant,-0.24206175804138183,0.20702576840825462,10,0.24206175804138183
librarian,-0.25901873111724855,0.6077573953525753,10,0.25901873111724855
housekeeper,-0.26322423219680785,0.38423353447691777,10,0.26322423219680785
supervisor,-0.3453707456588745,0.4720361654140028,10,0.3453707456588745
nurse,-0.3714987337589264,0.7628644486919334,10,0.3714987337589264
receptionist,-0.5563727617263794,0.29978693297933207,10,0.5563727617263794
salesperson,-0.6747129378840327,1.0054042533593686,10,0.6747129378840327
