Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
sewer,10,0.9106685638427734,0.41863786734036246,6.878944978277106,7.235069423580866e-05,0.0028940277694323464,2.175313403033315,True,male
receptionist,10,-0.5563727617263794,0.29978693297933207,-5.868852046512686,0.00023810428212871093,0.004762085642574219,-1.855893971752054,True,female
assistant,10,-0.24206175804138183,0.20702576840825465,-3.697445471260592,0.00494006766568205,0.05959980987316682,-1.1692349213458115,False,female
secretary,10,0.24454548358917236,0.21620124836334997,3.576855940949343,0.005959980987316682,0.05959980987316682,1.1311011635704655,False,male
cashier,10,-0.0015456702749361284,0.0018969405867880905,-2.5766956616669523,0.029858027532617362,0.21642688149082295,-0.8148227127942184,False,female
chief,10,0.21896052360534668,0.2844616719681147,2.434120447458986,0.03772672372964776,0.21642688149082295,0.7697364713158613,False,male
cleaner,10,0.151710844039917,0.1972879743099408,2.431733685698578,0.03787470426089402,0.21642688149082295,0.7689817109763527,False,male
supervisor,10,-0.3453707456588745,0.47203616541400273,-2.31371719689077,0.04595603956148926,0.2297801978074463,-0.7316616203675085,False,female
housekeeper,10,-0.26322423219680785,0.3842335344769177,-2.1663598681570675,0.058459001439713804,0.25126662191799404,-0.6850631414958411,False,female
salesperson,10,-0.6747129378840327,1.0054042533593688,-2.122160955026927,0.06281665547949851,0.25126662191799404,-0.6710862179363243,False,female
designer,10,-0.1944050073623657,0.31038054648397645,-1.9806737850389597,0.07897389534682431,0.26332169461648314,-0.6263440462509849,False,female
janitor,10,0.024916818155907093,0.04074768262145367,1.9337025408021082,0.08516535977176905,0.26332169461648314,0.6114904346189342,False,male
guard,10,0.2338016152381897,0.38294630381259875,1.9306770098525914,0.08557955075035702,0.26332169461648314,0.6105336777257536,False,male
baker,10,-0.1368314027786255,0.23039937835275878,-1.8780384361708404,0.09309727178307219,0.26599220509449195,-0.5938878991640607,False,female
cook,10,0.04746295809745789,0.08503001511535542,1.765153773917115,0.11135418942815853,0.2860358743854153,0.5581906346019999,False,male
lawyer,10,0.14234743118286133,0.2575275560323232,1.747937613151655,0.11441434975416612,0.2860358743854153,0.5527464065437518,False,male
nurse,10,-0.3714987337589264,0.7628644486919334,-1.5399618484791973,0.15795562194772286,0.3716602869358185,-0.4869786950957368,False,female
mechanic,10,0.2121760606765747,0.4627256686759197,1.450015985972856,0.18099185010561003,0.4013139582047468,0.45853531593289887,False,male
hairdresser,10,-0.00047721434730192415,0.0010853573127074772,-1.3904031897294948,0.19782660765499346,0.4013139582047468,-0.4396840945508438,False,female
farmer,10,0.1108200192451477,0.2558441592442915,1.3697544325166364,0.20396370235989464,0.4013139582047468,0.4331543841863975,False,male
librarian,10,-0.25901873111724855,0.6077573953525754,-1.3477238668598364,0.2106898280574921,0.4013139582047468,-0.42618770762466035,False,female
developer,10,0.23226077556610109,0.5696522936908899,1.2893357404870027,0.22942983299610975,0.4171451509020177,0.4077237608598705,False,male
driver,10,0.2547768086194992,0.6673782496617012,1.2072239552829886,0.2581150352179533,0.4452890125242562,0.3817577344611506,False,male
CEO,10,-0.229926598072052,0.6146957467990063,-1.1828481787096357,0.2671734075145537,0.4452890125242562,-0.3740494370904336,False,female
auditor,10,0.11556679010391235,0.345981555704908,1.056282546213737,0.3183670140677664,0.5093872225084263,0.3340258698717475,False,male
accountant,10,0.2389218330383301,0.8716444909393316,0.8667951016696988,0.40856862757907997,0.6285671193524307,0.2741046785953467,False,male
carpenter,10,-0.03851155042648315,0.146170461625346,-0.8331657040549311,0.42630839126559356,0.6315679870601386,-0.2634701293151368,False,female
writer,10,-0.042043113708496095,0.19435028292499013,-0.684084413170673,0.5111500563467511,0.703250944548,-0.21632648574390148,False,female
laborer,10,-0.056555155129171905,0.2766157790511731,-0.6465397753005695,0.534068347774982,0.703250944548,-0.20445382878432747,False,female
mover,10,-0.04872390627861023,0.24185720813632133,-0.6370639995734242,0.5399478227188057,0.703250944548,-0.2014573253948557,False,female
teacher,10,-0.052954244613647464,0.2662517170763802,-0.6289387598758308,0.5450194820247,0.703250944548,-0.19888789899693443,False,female
counselor,10,-0.12346954345703125,0.7080072457984148,-0.5514703151731968,0.5947360487630922,0.7434200609538653,-0.17439022579182153,False,female
manager,10,-0.07563869953155518,0.4733467931017565,-0.505317820377429,0.6254778448281868,0.7581549634281053,-0.15979552546645215,False,female
physician,10,-0.028530335426330565,0.21832036105404065,-0.4132497854080745,0.689096035770867,0.8107012185539612,-0.13068105644653305,False,female
sheriff,10,-0.043013262748718264,0.3716012226197333,-0.3660372237806555,0.7227935425325919,0.8260497628943907,-0.11575113355516209,False,female
editor,10,-0.019427275657653807,0.34372537381085,-0.17873117462645802,0.8621074737267811,0.9511088634483289,-0.05651976006969017,False,female
constructor,10,0.02089378349483013,0.4246031971524488,0.1556086841201381,0.8797756986897043,0.9511088634483289,0.04920778655213107,False,male
attendant,10,-0.004026353359222412,0.38640792515836714,-0.03295079228666085,0.974433025194253,0.9930830191291781,-0.010419955433295613,False,female
analyst,10,0.0031645774841308595,0.35492165878543264,0.028195722729867978,0.9781213715773014,0.9930830191291781,0.00891627041009633,False,male
clerk,10,0.0006756216287612915,0.2397073629445996,0.00891296436251809,0.9930830191291781,0.9930830191291781,0.0028185268089467863,False,male
