Context,mean_delta,std_delta,count,mean_abs_delta
sewer,0.5342394828796386,0.16394765525078125,10,0.5342394828796386
analyst,0.4858969211578369,0.2159208366992232,10,0.4858969211578369
constructor,0.4761498458683491,0.11876316282014748,10,0.4761498458683491
developer,0.3140422821044922,0.17260825913927486,10,0.3140422821044922
auditor,0.3054105281829834,0.2839091136376838,10,0.3054105281829834
mechanic,0.25203962326049806,0.4938617342138405,10,0.25203962326049806
driver,0.16892350912094117,0.1598762227124659,10,0.16892350912094117
carpenter,0.1513986587524414,0.12285841614490935,10,0.1513986587524414
mover,0.1511333703994751,0.1900396888429212,10,0.1511333703994751
janitor,0.14271744415163995,0.1829363948434807,10,0.14271744415163995
accountant,0.1347639560699463,0.34837463350979797,10,0.1347639560699463
chief,0.11403517723083496,0.1597336253006755,10,0.11403517723083496
manager,0.08763289451599121,0.1587254128313399,10,0.08763289451599121
secretary,0.06891217231750488,0.23601752357594874,10,0.06891217231750488
guard,0.04456968307495117,0.1821336175659583,10,0.04456968307495117
sheriff,0.030467844009399413,0.1653578615866475,10,0.030467844009399413
physician,0.02783920764923096,0.304461462695427,10,0.02783920764923096
assistant,0.01328868865966797,0.21693480489671163,10,0.01328868865966797
hairdresser,-0.0010588596080197022,0.0011698535364863126,10,0.0010588596080197022
lawyer,-0.010708904266357422,0.223217338397972,10,0.010708904266357422
cashier,-0.013324666023254394,0.15138400845259786,10,0.013324666023254394
farmer,-0.024197471141815186,0.24960435733145253,10,0.024197471141815186
writer,-0.049886465072631836,0.15689941804279578,10,0.049886465072631836
clerk,-0.08714747428894043,0.1734874644966394,10,0.08714747428894043
baker,-0.09371261596679688,0.15507303867110933,10,0.09371261596679688
salesperson,-0.1784682490862906,0.2956568467419051,10,0.1784682490862906
counselor,-0.18404774665832518,0.14654803600458063,10,0.18404774665832518
laborer,-0.18478281497955323,0.19953775532770662,10,0.18478281497955323
supervisor,-0.1853261947631836,0.3029155177648204,10,0.1853261947631836
teacher,-0.216097092628479,0.32820966971694643,10,0.216097092628479
cook,-0.22033922672271727,0.2823385487975803,10,0.22033922672271727
editor,-0.2412026047706604,0.10658568053724253,10,0.2412026047706604
CEO,-0.2471132755279541,0.25589806184357705,10,0.2471132755279541
attendant,-0.28813371658325193,0.1740134670571424,10,0.28813371658325193
housekeeper,-0.3036972641944885,0.5454104112830404,10,0.3036972641944885
designer,-0.3132034420967102,0.31884816366625085,10,0.3132034420967102
librarian,-0.3307960510253906,0.4890349920350638,10,0.3307960510253906
cleaner,-0.4787589073181152,0.3304428450314447,10,0.4787589073181152
receptionist,-0.8334197521209716,0.46494383653252697,10,0.8334197521209716
nurse,-1.1334200263023377,0.43208138507444405,10,1.1334200263023377
