Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
constructor,10,0.4761498458683491,0.11876316282014748,12.67832537234063,4.813763595036362e-07,1.9255054380145448e-05,4.009238509329873,True,male
sewer,10,0.5342394828796386,0.16394765525078125,10.304591299619322,2.785910725331316e-06,5.571821450662631e-05,3.258597886395163,True,male
nurse,10,-1.1334200263023377,0.43208138507444405,-8.295170661299869,1.6552489708260898e-05,0.00022069986277681197,-2.6231632869512738,True,female
editor,10,-0.2412026047706604,0.10658568053724253,-7.1562108980874495,5.3302773131485494e-05,0.00044539390362401354,-2.262992585447544,True,female
analyst,10,0.4858969211578369,0.21592083669922324,7.116223716113228,5.567423795300169e-05,0.00044539390362401354,2.2503475282225267,True,male
developer,10,0.3140422821044922,0.17260825913927486,5.753426272876225,0.0002751067882713245,0.0017504694813957019,1.8193931372142307,True,male
receptionist,10,-0.8334197521209716,0.46494383653252697,-5.668436608022096,0.0003063321592442478,0.0017504694813957019,-1.7925170453628898,True,female
attendant,10,-0.28813371658325193,0.1740134670571424,-5.2361396534516444,0.000537515667851377,0.002687578339256885,-1.6558127451631937,True,female
cleaner,10,-0.4787589073181152,0.3304428450314448,-4.58163528120765,0.0013247253376634496,0.005887668167393109,-1.4488402896802222,True,female
counselor,10,-0.18404774665832518,0.14654803600458063,-3.9714628290464384,0.0032474481393577467,0.012989792557430987,-1.2558868182482665,True,female
carpenter,10,0.1513986587524414,0.12285841614490935,3.8968807459442325,0.003636641126091212,0.013224149549422588,1.2323018927239737,True,male
auditor,10,0.3054105281829834,0.2839091136376838,3.401767833651826,0.007851308959951616,0.02617102986650539,1.0757334425436553,True,male
driver,10,0.16892350912094117,0.1598762227124659,3.3412287962989904,0.008643261108291831,0.026594649563974868,1.056589318004758,True,male
designer,10,-0.3132034420967102,0.31884816366625085,-3.1062943460041073,0.012593910337717755,0.035982600964907865,-0.9822965216276134,True,female
CEO,10,-0.2471132755279541,0.2558980618435771,-3.0537190672852934,0.013710176832111664,0.036560471552297774,-0.9656707586906504,True,female
laborer,10,-0.18478281497955323,0.19953775532770665,-2.928441120494708,0.016799546847633018,0.041998867119082545,-0.9260543934458872,True,female
hairdresser,10,-0.0010588596080197022,0.0011698535364863126,-2.8622455540480622,0.018711755565295782,0.044027660153637134,-0.9051215173482453,True,female
mover,10,0.1511333703994751,0.1900396888429212,2.514872992216097,0.03304547675321158,0.07148635676458377,0.7952726681445769,False,male
cook,10,-0.22033922672271727,0.28233854879758036,-2.4678663869720787,0.035695001542926146,0.07148635676458377,-0.7804078743802255,False,female
janitor,10,0.14271744415163995,0.1829363948434807,2.467044273738965,0.035743178382291886,0.07148635676458377,0.7801478993491052,False,male
chief,10,0.11403517723083496,0.1597336253006755,2.257576591976882,0.050375716936447254,0.09595374654561382,0.7139084022927558,False,male
librarian,10,-0.3307960510253906,0.48903499203506373,-2.1390472650564627,0.06111586553980183,0.11111975552691242,-0.6764261380332321,False,female
teacher,10,-0.216097092628479,0.32820966971694643,-2.0820806682378263,0.06703868814211579,0.11658902285585354,-0.658411718383693,False,female
supervisor,10,-0.1853261947631836,0.3029155177648204,-1.934707372762043,0.08502821985687113,0.13634429953768115,-0.6118081903848466,False,female
baker,10,-0.09371261596679688,0.15507303867110933,-1.9110047400067522,0.08831946398861093,0.13634429953768115,-0.6043127597799235,False,female
salesperson,10,-0.1784682490862906,0.2956568467419052,-1.9088553617282142,0.08862379469949275,0.13634429953768115,-0.6036330666885762,False,female
housekeeper,10,-0.3036972641944885,0.5454104112830404,-1.760830109123273,0.11211552945704098,0.16397237183568977,-0.5568233717432376,False,female
manager,10,0.08763289451599121,0.1587254128313399,1.7459053322373503,0.11478066028498285,0.16397237183568977,0.5521037428903025,False,male
mechanic,10,0.25203962326049806,0.4938617342138405,1.6138510333923157,0.14101740520614112,0.19450676580157397,0.5103445069736173,False,male
clerk,10,-0.08714747428894043,0.1734874644966394,-1.5884981193517462,0.1466364510271418,0.19551526803618907,-0.5023272116045511,False,female
accountant,10,0.1347639560699463,0.34837463350979797,1.2232838062359046,0.2522845330554171,0.32552842974892526,0.38683630525055457,False,male
writer,10,-0.049886465072631836,0.15689941804279578,-1.0054521298538193,0.3409447036826034,0.42618087960325424,-0.31795188086054493,False,female
secretary,10,0.06891217231750488,0.23601752357594874,0.9233188270581721,0.37992929413346854,0.4605203565254164,0.2919790500018929,False,male
guard,10,0.04456968307495117,0.18213361756595833,0.773836895089737,0.45887079836035516,0.5398479980710061,0.24470871259563376,False,male
sheriff,10,0.030467844009399413,0.16535786158664748,0.582662242604852,0.57442648865383,0.6564874156043772,0.18425397932129323,False,male
farmer,10,-0.024197471141815186,0.24960435733145253,-0.30656164516679724,0.7661508398543575,0.8284633028010887,-0.09694330419754285,False,female
physician,10,0.02783920764923096,0.304461462695427,0.28915089498213203,0.7790159132500739,0.8284633028010887,0.09143754156196893,False,male
cashier,10,-0.013324666023254394,0.1513840084525979,-0.27834045435344595,0.7870401376610342,0.8284633028010887,-0.08801898007230188,False,female
assistant,10,0.01328868865966797,0.21693480489671163,0.19371037903027563,0.8507040735673885,0.872516998530655,0.06125660041501899,False,male
lawyer,10,-0.010708904266357422,0.223217338397972,-0.1517110138908976,0.8827611928677802,0.8827611928677802,-0.04797523500286802,False,female
