Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
sewer,10,0.5342394828796386,0.16394765525078125,10.304591299619322,2.785910725331316e-06,0.00011143642901325263,3.258597886395163,True,male
janitor,10,0.3091548629105091,0.10733542321531064,9.108209454331085,7.741977114161109e-06,0.00015483954228322216,2.8802687281565618,True,male
nurse,10,-1.1334200263023377,0.43208138507444405,-8.295170661299869,1.6552489708260898e-05,0.00022069986277681197,-2.6231632869512738,True,female
editor,10,-0.2412026047706604,0.10658568053724253,-7.1562108980874495,5.3302773131485494e-05,0.00044539390362401354,-2.262992585447544,True,female
analyst,10,0.4858969211578369,0.21592083669922324,7.116223716113228,5.567423795300169e-05,0.00044539390362401354,2.2503475282225267,True,male
laborer,10,-0.4738394498825073,0.2582300202902384,-5.8026247497706995,0.00025862282089841713,0.0015316607962212391,-1.8349510616540017,True,female
developer,10,0.3140422821044922,0.17260825913927486,5.753426272876225,0.0002751067882713245,0.0015316607962212391,1.8193931372142307,True,male
receptionist,10,-0.8334197521209716,0.46494383653252697,-5.668436608022096,0.0003063321592442478,0.0015316607962212391,-1.7925170453628898,True,female
attendant,10,-0.28813371658325193,0.1740134670571424,-5.2361396534516444,0.000537515667851377,0.002388958523783898,-1.6558127451631937,True,female
constructor,10,0.24760038927197456,0.1648650896154748,4.749223631697625,0.0010453279539730082,0.0040683608620408615,1.5018363793661138,True,male
hairdresser,10,-0.48322877825303295,0.32506826612477213,-4.700869723264491,0.001118799237061237,0.0040683608620408615,-1.4865455309241213,True,female
cleaner,10,-0.4787589073181152,0.3304428450314448,-4.58163528120765,0.0013247253376634496,0.004415751125544832,-1.4488402896802222,True,female
salesperson,10,-0.4322948694229126,0.3241130261376229,-4.217776818389955,0.002246820008760721,0.006913292334648372,-1.3337781408370617,True,female
counselor,10,-0.18404774665832518,0.14654803600458063,-3.9714628290464384,0.0032474481393577467,0.009278423255307849,-1.2558868182482665,True,female
carpenter,10,0.1513986587524414,0.12285841614490935,3.8968807459442325,0.003636641126091212,0.009697709669576565,1.2323018927239737,True,male
mover,10,0.2033214807510376,0.18599235199789427,3.4569108326488642,0.007195794746370306,0.017989486865925764,1.0931711899279575,True,male
auditor,10,0.3054105281829834,0.2839091136376838,3.401767833651826,0.007851308959951616,0.01847366814106263,1.0757334425436553,True,male
driver,10,0.16892350912094117,0.1598762227124659,3.3412287962989904,0.008643261108291831,0.019207246907315182,1.056589318004758,True,male
designer,10,-0.3132034420967102,0.31884816366625085,-3.1062943460041073,0.012593910337717755,0.02651349544782685,-0.9822965216276134,True,female
CEO,10,-0.2471132755279541,0.2558980618435771,-3.0537190672852934,0.013710176832111664,0.02742035366422333,-0.9656707586906504,True,female
cashier,10,-0.14797958880662918,0.18791966997628096,-2.490173316626039,0.0344122208581337,0.06490000280532027,-0.7874619449113923,False,female
cook,10,-0.22033922672271727,0.28233854879758036,-2.4678663869720787,0.035695001542926146,0.06490000280532027,-0.7804078743802255,False,female
chief,10,0.11403517723083496,0.1597336253006755,2.257576591976882,0.050375716936447254,0.08760994249816914,0.7139084022927558,False,male
librarian,10,-0.3307960510253906,0.48903499203506373,-2.1390472650564627,0.06111586553980183,0.10185977589966971,-0.6764261380332321,False,female
teacher,10,-0.216097092628479,0.32820966971694643,-2.0820806682378263,0.06703868814211579,0.10726190102738525,-0.658411718383693,False,female
supervisor,10,-0.1853261947631836,0.3029155177648204,-1.934707372762043,0.08502821985687113,0.1308126459336479,-0.6118081903848466,False,female
baker,10,-0.09371261596679688,0.15507303867110933,-1.9110047400067522,0.08831946398861093,0.13084365035349765,-0.6043127597799235,False,female
housekeeper,10,-0.3036972641944885,0.5454104112830404,-1.760830109123273,0.11211552945704098,0.1583181521172177,-0.5568233717432376,False,female
manager,10,0.08763289451599121,0.1587254128313399,1.7459053322373503,0.11478066028498285,0.1583181521172177,0.5521037428903025,False,male
mechanic,10,0.25203962326049806,0.4938617342138405,1.6138510333923157,0.14101740520614112,0.1880232069415215,0.5103445069736173,False,male
clerk,10,-0.08714747428894043,0.1734874644966394,-1.5884981193517462,0.1466364510271418,0.18920832390598943,-0.5023272116045511,False,female
accountant,10,0.1347639560699463,0.34837463350979797,1.2232838062359046,0.2522845330554171,0.31535566631927137,0.38683630525055457,False,male
writer,10,-0.049886465072631836,0.15689941804279578,-1.0054521298538193,0.3409447036826034,0.41326630749406473,-0.31795188086054493,False,female
secretary,10,0.06891217231750488,0.23601752357594874,0.9233188270581721,0.37992929413346854,0.4469756401570218,0.2919790500018929,False,male
guard,10,0.04456968307495117,0.18213361756595833,0.773836895089737,0.45887079836035516,0.5244237695546916,0.24470871259563376,False,male
sheriff,10,0.030467844009399413,0.16535786158664748,0.582662242604852,0.57442648865383,0.6382516540598111,0.18425397932129323,False,male
farmer,10,-0.024197471141815186,0.24960435733145253,-0.30656164516679724,0.7661508398543575,0.8200167507895515,-0.09694330419754285,False,female
physician,10,0.02783920764923096,0.304461462695427,0.28915089498213203,0.7790159132500739,0.8200167507895515,0.09143754156196893,False,male
assistant,10,0.01328868865966797,0.21693480489671163,0.19371037903027563,0.8507040735673885,0.872516998530655,0.06125660041501899,False,male
lawyer,10,-0.010708904266357422,0.223217338397972,-0.1517110138908976,0.8827611928677802,0.8827611928677802,-0.04797523500286802,False,female
