Context,mean_delta,std_delta,count,mean_abs_delta
constructor,0.9812834739685059,0.5338973403254343,10,0.9812834739685059
laborer,0.8824629150563851,0.7499152818264443,10,0.8824629150563851
developer,0.7641461491584778,0.43491562538840556,10,0.7641461491584778
guard,0.5993420362472535,0.33070653866347893,10,0.5993420362472535
analyst,0.5158766031265258,0.4565115461024711,10,0.5158766031265258
sheriff,0.46396760940551757,0.3898894338823096,10,0.46396760940551757
mechanic,0.3839351892471313,0.448612847235559,10,0.3839351892471313
chief,0.34796833992004395,0.2744467910712178,10,0.34796833992004395
driver,0.26657627820968627,0.28075241717488725,10,0.26657627820968627
writer,0.19932522773742675,0.18614259567077593,10,0.19932522773742675
mover,0.11110173463821411,0.4173738493318205,10,0.11110173463821411
physician,0.10311440229415894,0.24407938338807156,10,0.10311440229415894
manager,0.09907395839691162,0.5003657905772018,10,0.09907395839691162
carpenter,0.04622765691601671,0.05414631455247253,10,0.04622765691601671
hairdresser,0.008889861425387835,0.008260930222188101,10,0.008889861425387835
janitor,0.0010221690754406154,0.0019939625842163144,10,0.0010221690754406154
librarian,-0.06371003165841102,0.09656348201549717,10,0.06371003165841102
farmer,-0.16896703243255615,1.0094135585708672,10,0.16896703243255615
lawyer,-0.18199484348297118,0.19237329747715132,10,0.18199484348297118
auditor,-0.18606882095336913,0.5759140145109884,10,0.18606882095336913
sewer,-0.21623153686523439,0.2167165988115788,10,0.21623153686523439
accountant,-0.21882944107055663,0.2818265929186226,10,0.21882944107055663
receptionist,-0.22439193131867796,0.28488022811300234,10,0.22439193131867796
CEO,-0.25050570964813235,0.6820127069350166,10,0.25050570964813235
editor,-0.27190475463867186,0.38858617251120603,10,0.27190475463867186
cook,-0.27738003730773925,0.228788704837289,10,0.27738003730773925
cashier,-0.2942323558498174,0.7036838881499761,10,0.2942323558498174
baker,-0.3035386323928833,0.27071199211848523,10,0.3035386323928833
housekeeper,-0.3235838711261749,0.37396383917716075,10,0.3235838711261749
salesperson,-0.38631425648927686,0.4131883356271475,10,0.38631425648927686
designer,-0.47066367864608766,0.17507428247164192,10,0.47066367864608766
attendant,-0.4971866488456726,0.29493768691476124,10,0.4971866488456726
teacher,-0.5387700974941254,0.2909336691541061,10,0.5387700974941254
cleaner,-0.6444343566894531,0.46775203383999225,10,0.6444343566894531
secretary,-0.676884126663208,0.23760184800213666,10,0.676884126663208
supervisor,-0.7241375684738159,0.26946168945984317,10,0.7241375684738159
clerk,-0.7280616998672486,0.5475366914433042,10,0.7280616998672486
assistant,-0.9094161510467529,0.3346437862353315,10,0.9094161510467529
counselor,-0.9711905956268311,0.4194943725673334,10,0.9711905956268311
nurse,-1.5305749535560609,0.6775532874620235,10,1.5305749535560609
