Context,mean_delta,std_delta,count,mean_abs_delta
constructor,0.9812834739685059,0.5338973403254343,10,0.9812834739685059
developer,0.7641461491584778,0.43491562538840556,10,0.7641461491584778
guard,0.5993420362472535,0.33070653866347893,10,0.5993420362472535
laborer,0.5931126877898351,0.8228000688878028,10,0.5931126877898351
analyst,0.5158766031265258,0.4565115461024711,10,0.5158766031265258
sheriff,0.46396760940551757,0.3898894338823096,10,0.46396760940551757
janitor,0.3848022089106962,0.2730625508001478,10,0.3848022089106962
mechanic,0.3839351892471313,0.448612847235559,10,0.3839351892471313
chief,0.34796833992004395,0.2744467910712178,10,0.34796833992004395
driver,0.26657627820968627,0.28075241717488725,10,0.26657627820968627
writer,0.19932522773742675,0.18614259567077593,10,0.19932522773742675
carpenter,0.16547581859631463,0.20944307427358402,10,0.16547581859631463
mover,0.15668190717697145,0.21477220032792052,10,0.15668190717697145
physician,0.10311440229415894,0.24407938338807156,10,0.10311440229415894
manager,0.09907395839691162,0.5003657905772018,10,0.09907395839691162
farmer,-0.16896703243255615,1.0094135585708672,10,0.16896703243255615
housekeeper,-0.1710318446159363,0.31874820129381326,10,0.1710318446159363
lawyer,-0.18199484348297118,0.19237329747715132,10,0.18199484348297118
auditor,-0.18606882095336913,0.5759140145109884,10,0.18606882095336913
sewer,-0.21623153686523439,0.2167165988115788,10,0.21623153686523439
accountant,-0.21882944107055663,0.2818265929186226,10,0.21882944107055663
CEO,-0.25050570964813235,0.6820127069350166,10,0.25050570964813235
librarian,-0.259922028821893,0.14815095913476747,10,0.259922028821893
editor,-0.27190475463867186,0.38858617251120603,10,0.27190475463867186
cook,-0.27738003730773925,0.228788704837289,10,0.27738003730773925
baker,-0.3035386323928833,0.27071199211848523,10,0.3035386323928833
receptionist,-0.30634101778268813,0.1903319858154301,10,0.30634101778268813
cashier,-0.4002026867121458,0.3130813648014373,10,0.4002026867121458
designer,-0.47066367864608766,0.17507428247164192,10,0.47066367864608766
attendant,-0.4971866488456726,0.29493768691476124,10,0.4971866488456726
teacher,-0.5387700974941254,0.2909336691541061,10,0.5387700974941254
hairdresser,-0.5494511551689356,0.1490941614638603,10,0.5494511551689356
cleaner,-0.6444343566894531,0.46775203383999225,10,0.6444343566894531
secretary,-0.676884126663208,0.23760184800213666,10,0.676884126663208
supervisor,-0.7241375684738159,0.26946168945984317,10,0.7241375684738159
clerk,-0.7280616998672486,0.5475366914433042,10,0.7280616998672486
assistant,-0.9094161510467529,0.3346437862353315,10,0.9094161510467529
counselor,-0.9711905956268311,0.4194943725673334,10,0.9711905956268311
salesperson,-1.0119699478149413,0.5999073655834047,10,1.0119699478149413
nurse,-1.5305749535560609,0.6775532874620235,10,1.5305749535560609
