Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
hairdresser,10,-0.5494511551689356,0.1490941614638603,-11.653823974626938,9.876519501105853e-07,3.9506078004423414e-05,-3.6852627210497437,True,female
secretary,10,-0.676884126663208,0.23760184800213668,-9.008749596301108,8.47044436793076e-06,0.00010894500388601295,-2.84881675944339,True,female
assistant,10,-0.9094161510467529,0.3346437862353315,-8.593694240086956,1.2438871171581919e-05,0.00010894500388601295,-2.717564731374466,True,female
designer,10,-0.47066367864608766,0.17507428247164192,-8.501358482941514,1.3576504421286118e-05,0.00010894500388601295,-2.68836560116889,True,female
supervisor,10,-0.7241375684738159,0.2694616894598431,-8.498143317752252,1.361812548575162e-05,0.00010894500388601295,-2.687348876663714,True,female
counselor,10,-0.9711905956268311,0.4194943725673334,-7.321133548277559,4.462616660581545e-05,0.00029750777737210296,-2.3151457066827383,True,female
nurse,10,-1.5305749535560609,0.6775532874620235,-7.143501584906517,5.4044303583639414e-05,0.0003088245919065109,-2.258973547732729,True,female
teacher,10,-0.5387700974941254,0.2909336691541061,-5.856113691571221,0.00024190924267250533,0.0011319551202958293,-1.8518657502261848,True,female
constructor,10,0.9812834739685059,0.5338973403254343,5.812148841444974,0.0002555573858038229,0.0011319551202958293,1.8379628438874966,True,male
guard,10,0.5993420362472535,0.33070653866347893,5.731020437890785,0.00028298878007395733,0.0011319551202958293,1.8123077900710431,True,male
developer,10,0.7641461491584778,0.43491562538840556,5.556117452504774,0.0003536350360769636,0.0011911179958359781,1.7569986097327492,True,male
librarian,10,-0.259922028821893,0.14815095913476747,-5.54802770045802,0.0003573353987507934,0.0011911179958359781,-1.754440405515374,True,female
salesperson,10,-1.0119699478149413,0.5999073655834049,-5.334373508858072,0.000471957277849438,0.0013548825632892453,-1.6868770178055892,True,female
attendant,10,-0.4971866488456726,0.29493768691476124,-5.330760707542399,0.0004742088971512359,0.0013548825632892453,-1.685734549716471,True,female
receptionist,10,-0.30634101778268813,0.19033198581543007,-5.089713916329581,0.0006541821669623229,0.0017444857785661944,-1.6095088614257147,True,female
janitor,10,0.3848022089106962,0.27306255080014785,4.456310194334717,0.0015856791192593903,0.003964197798148476,1.4092090174325285,True,male
cleaner,10,-0.6444343566894531,0.4677520338399923,-4.356753626219726,0.0018321164186539361,0.0043108621615386734,-1.3777264663052218,True,female
clerk,10,-0.7280616998672486,0.5475366914433042,-4.204893086973725,0.0022900449186481274,0.00508898870810695,-1.3297039472333467,True,female
cashier,10,-0.4002026867121458,0.3130813648014373,-4.0422463870752035,0.002918728383310208,0.006133109009302244,-1.2782705446744258,True,female
chief,10,0.34796833992004395,0.2744467910712178,4.009420199376606,0.003066554504651122,0.006133109009302244,1.2678899926716491,True,male
cook,10,-0.27738003730773925,0.22878870483728903,-3.833898600801787,0.004003747873622501,0.007626186425947622,-1.2123851896666298,True,female
sheriff,10,0.46396760940551757,0.3898894338823096,3.763103789849503,0.004463611832067102,0.00811565787648564,1.1899979047536047,True,male
analyst,10,0.5158766031265258,0.4565115461024711,3.5735022945167327,0.005991324798989906,0.01041969530259114,1.130040647451071,True,male
baker,10,-0.3035386323928833,0.27071199211848523,-3.5457366653855495,0.006257566307583354,0.01042927717930559,-1.1212603845788647,True,female
writer,10,0.19932522773742675,0.1861425956707759,3.3862303924076995,0.008047058052685949,0.012875292884297517,1.0708200722094072,True,male
sewer,10,-0.21623153686523439,0.21671659881157876,-3.15519975028453,0.011639753485198417,0.01790731305415141,-0.9977617683693619,True,female
driver,10,0.26657627820968627,0.28075241717488725,3.002603567214185,0.014893358522817386,0.021656700799515115,0.9495066182943304,True,male
lawyer,10,-0.18199484348297118,0.1923732974771513,-2.9916741843051082,0.01515969055966058,0.021656700799515115,-0.9460504439530503,True,female
mechanic,10,0.3839351892471313,0.448612847235559,2.70636402722371,0.02414079531600802,0.0332976487117352,0.8558274503572865,True,male
carpenter,10,0.16547581859631463,0.209443074273584,2.498437755748698,0.033948737589268474,0.045264983452357965,0.7900753900325329,True,male
accountant,10,-0.21882944107055663,0.2818265929186226,-2.4554086458561017,0.036432029655148156,0.04700907052277182,-0.7764683907375043,True,female
mover,10,0.15668190717697145,0.2147722003279205,2.3069638159026717,0.04646683051019949,0.05808353813774936,0.7295260137845816,False,male
laborer,10,0.5931126877898351,0.8228000688878029,2.27951731347749,0.048600833485729016,0.05891010119482305,0.7208466676376907,False,male
editor,10,-0.27190475463867186,0.388586172511206,-2.212735274986247,0.054202814019210434,0.06376801649318875,-0.6997283327955545,False,female
housekeeper,10,-0.1710318446159363,0.31874820129381326,-1.6967944578542864,0.1239672470732304,0.1416768537979776,-0.5365735207970127,False,female
physician,10,0.10311440229415894,0.24407938338807156,1.335943930577668,0.21436295248507334,0.23818105831674816,0.4224625646903296,False,male
CEO,10,-0.25050570964813235,0.6820127069350166,-1.1615159091755671,0.2753096074822662,0.2976320080889364,-0.367303581151606,False,female
auditor,10,-0.18606882095336913,0.5759140145109884,-1.0216825097654965,0.3336076951800869,0.3511659949264073,-0.3230843776416192,False,female
manager,10,0.09907395839691162,0.5003657905772017,0.6261406579806258,0.5467724292319599,0.5607922351097024,0.19800306148552627,False,male
farmer,10,-0.16896703243255615,1.0094135585708672,-0.5293377203323009,0.6093775361240564,0.6093775361240564,-0.16739128476912923,False,female
