Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
counselor,10,-0.751171875,0.324864181439534,-7.312021992493571,4.5062869164497925e-05,0.001802514766579917,-2.31226437975223,True,female
librarian,10,-0.6638671875,0.39802181858425667,-5.27441531677153,0.0005108701159049557,0.010217402318099115,-1.6679165726676535,True,female
baker,10,-0.229296875,0.15314348935283925,-4.7347777461718,0.0010667193823965832,0.014222925098621109,-1.4972681892581474,True,female
laborer,10,0.691015625,0.5517529536720676,3.960437835849894,0.003302084994423757,0.02887083270529005,1.2524004092793724,True,male
analyst,10,0.58125,0.47106920483781123,3.901919019745131,0.0036088540881612564,0.02887083270529005,1.2338951347926128,True,male
housekeeper,10,-0.203515625,0.18517483717652,-3.4754879455852423,0.006988059722475849,0.04658706481650566,-1.099045788850871,True,female
receptionist,10,-0.4755859375,0.46854763607860417,-3.209779902494659,0.010662687886785144,0.06092964506734368,-1.01502152797163,False,female
teacher,10,-0.406591796875,0.412330832295708,-3.118263431591836,0.012353159776319683,0.061765798881598416,-0.9860814788242851,False,female
developer,10,0.5376953125,0.5933058477314761,2.8658774916804157,0.01860128398500858,0.0826723732667048,0.906270036872037,False,male
lawyer,10,0.2189453125,0.26266517891761043,2.6359256044917445,0.027094150886950347,0.10837660354780139,0.8335528652950076,False,male
mechanic,10,0.6671875,0.819598213323182,2.5742273373668847,0.029979172098998298,0.10901517126908472,0.814042160115003,False,male
carpenter,10,0.498046875,0.630542508894526,2.497789576931799,0.033984862091767584,0.11328287363922529,0.7898704178932856,False,male
constructor,10,0.47421875,0.6331505227182576,2.3684910702115585,0.04201272428069228,0.12926992086366856,0.7489826399638309,False,male
nurse,10,-0.622265625,0.8711556405517353,-2.2588118506377897,0.05027412439628634,0.14083352788487438,-0.7142990253795476,False,female
writer,10,0.12421875,0.17625611014330037,2.2286556635096155,0.0528125729568279,0.14083352788487438,0.7047628016924192,False,male
designer,10,-0.2443359375,0.353131685596895,-2.1880168454057896,0.05643237669243089,0.14108094173107721,-0.6919116790298819,False,female
attendant,10,0.099609375,0.18282103197089436,1.722955493195019,0.11899287508133369,0.27998323548549103,0.5448463665595001,False,male
janitor,10,0.36466140747070314,0.6940969156616467,1.6613827209863261,0.1310033222421031,0.2911184938713402,0.5253753463564815,False,male
editor,10,0.1263671875,0.25349367187413185,1.5764027995459302,0.14938726885349146,0.3027399324608936,0.4985023356430987,False,male
sewer,10,0.1421875,0.29208024992428594,1.5394274516053301,0.15808446142722193,0.3027399324608936,0.4868097039661474,False,male
driver,10,0.28291015625,0.5824880470137328,1.5358949793574537,0.15893846454196914,0.3027399324608936,0.48569263815868496,False,male
supervisor,10,-0.43125,0.9288978906384915,-1.4681185679194864,0.17613221130106418,0.30746783945610767,-0.46425985498101846,False,female
salesperson,10,-0.50625,1.0922984539691534,-1.4656278782075907,0.17679400768726192,0.30746783945610767,-0.4634722297375846,False,female
chief,10,0.169140625,0.42077664538007453,1.2711485433828822,0.23554454172060815,0.3925742362010136,0.40197246414952637,False,male
cashier,10,-0.10966796875,0.2944206104188986,-1.1779085951922479,0.2690399507314098,0.43046392117025567,-0.3724874036296764,False,female
accountant,10,0.2203125,0.6079856401498905,1.1458976182958642,0.2813913651777321,0.4312642032145606,0.3623646439177165,False,male
mover,10,-0.073046875,0.20596842956595213,-1.1215044045555849,0.2911033371698284,0.4312642032145606,-0.35465083243065665,False,female
manager,10,0.1640625,0.48048110022519214,1.0797743727655846,0.30832785920032973,0.4396258491751956,0.34145463770189316,False,male
guard,10,0.195703125,0.5863560426444496,1.0554468193447175,0.31872874065201684,0.4396258491751956,0.3337615898309571,False,male
CEO,10,0.165234375,0.5110143781888252,1.022509336442406,0.3332371447862241,0.44431619304829884,0.32334584319454146,False,male
hairdresser,10,-0.491015625,1.7202290530807036,-0.902628483660582,0.390241129001964,0.5022620739692196,-0.28543618893115175,False,female
auditor,10,0.1658203125,0.5959591819332013,0.8798754775787044,0.4018096591753757,0.5022620739692196,0.2782410566477121,False,male
assistant,10,-0.09375,0.3686804754374037,-0.8041205064875224,0.4420486912638029,0.5358165954712764,-0.2542852313748774,False,female
cleaner,10,0.06171875,0.2635540181558823,0.7405382232612382,0.4778474037411431,0.5510956268233915,0.23417874799197969,False,male
cook,10,-0.041796875,0.18031668226422584,-0.7330066326512759,0.4822086734704676,0.5510956268233915,-0.23179704991883793,False,female
farmer,10,0.1123046875,0.5553726954986988,0.6394599649781901,0.5384576013940798,0.5982862237711998,0.2022149961822585,False,male
physician,10,-0.0166015625,0.1709979249110738,-0.30701396081233556,0.7658176039090091,0.8279109231448747,-0.0970863389636659,False,female
clerk,10,-0.02578125,0.35061093249842223,-0.23252974556514408,0.8213282715749672,0.8645560753420708,-0.07353236197252924,False,female
secretary,10,0.013671875,0.28063596406214014,0.1540581765049235,0.8809631017596882,0.9035518992407058,0.048717472992779676,False,male
sheriff,10,0.0080078125,0.3184950796106898,0.0795080621230331,0.9383683353128979,0.9383683353128978,0.025142656865494727,False,male
