Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
counselor,10,-0.751171875,0.324864181439534,-7.312021992493571,4.5062869164497925e-05,0.001802514766579917,-2.31226437975223,True,female
baker,10,-0.229296875,0.15314348935283925,-4.7347777461718,0.0010667193823965832,0.020337292912730776,-1.4972681892581474,True,female
hairdresser,10,-1.2984375,0.9158607407999475,-4.483236060308172,0.001525296968454808,0.020337292912730776,-1.4177237238773828,True,female
librarian,10,-0.6455078125,0.49247009668508274,-4.144972351972535,0.0025030399198788453,0.025030399198788453,-1.310755347065833,True,female
analyst,10,0.58125,0.47106920483781123,3.901919019745131,0.0036088540881612564,0.02887083270529005,1.2338951347926128,True,male
laborer,10,0.666015625,0.5778382652768354,3.6448370743525627,0.005360395187796908,0.03573596791864605,1.1525986855178585,True,male
receptionist,10,-0.5546875,0.4959100231199365,-3.5370849707557173,0.0063430394064365285,0.036245939465351595,-1.118524478513813,True,female
housekeeper,10,-0.17578125,0.16928084906265978,-3.2837094274362744,0.009472993778951255,0.047364968894756276,-1.0384000964866031,True,female
teacher,10,-0.406591796875,0.412330832295708,-3.118263431591836,0.012353159776319683,0.054902932339198594,-0.9860814788242851,False,female
developer,10,0.5376953125,0.5933058477314761,2.8658774916804157,0.01860128398500858,0.07440513594003433,0.906270036872037,False,male
lawyer,10,0.2189453125,0.26266517891761043,2.6359256044917445,0.027094150886950347,0.09270108689471114,0.8335528652950076,False,male
mechanic,10,0.6671875,0.819598213323182,2.5742273373668847,0.029979172098998298,0.09270108689471114,0.814042160115003,False,male
carpenter,10,0.537109375,0.6605792273723499,2.571211608311913,0.03012785324078112,0.09270108689471114,0.8130885028530372,False,male
constructor,10,0.47421875,0.6331505227182576,2.3684910702115585,0.04201272428069228,0.12003635508769224,0.7489826399638309,False,male
nurse,10,-0.622265625,0.8711556405517353,-2.2588118506377897,0.05027412439628634,0.13203143239206974,-0.7142990253795476,False,female
writer,10,0.12421875,0.17625611014330037,2.2286556635096155,0.0528125729568279,0.13203143239206974,0.7047628016924192,False,male
designer,10,-0.2443359375,0.353131685596895,-2.1880168454057896,0.05643237669243089,0.13278206280571972,-0.6919116790298819,False,female
cashier,10,-0.22724609375,0.3349576316598691,-2.1453914695571648,0.06048847485296473,0.13441883300658827,-0.6784323516496433,False,female
janitor,10,0.36661453247070314,0.6674622638532736,1.7369325708876828,0.11641091454816956,0.23798575016266738,0.549266306613695,False,male
attendant,10,0.099609375,0.18282103197089436,1.722955493195019,0.11899287508133369,0.23798575016266738,0.5448463665595001,False,male
editor,10,0.1263671875,0.25349367187413185,1.5764027995459302,0.14938726885349146,0.27641472094255504,0.4985023356430987,False,male
sewer,10,0.1421875,0.29208024992428594,1.5394274516053301,0.15808446142722193,0.27641472094255504,0.4868097039661474,False,male
driver,10,0.28291015625,0.5824880470137328,1.5358949793574537,0.15893846454196914,0.27641472094255504,0.48569263815868496,False,male
supervisor,10,-0.43125,0.9288978906384915,-1.4681185679194864,0.17613221130106418,0.29355368550177363,-0.46425985498101846,False,female
salesperson,10,-0.465234375,1.139124908388844,-1.291517953799935,0.22870512125492434,0.3623762180317049,-0.40841383730079117,False,female
chief,10,0.169140625,0.42077664538007453,1.2711485433828822,0.23554454172060815,0.3623762180317049,0.40197246414952637,False,male
accountant,10,0.2203125,0.6079856401498905,1.1458976182958642,0.2813913651777321,0.41687609655960317,0.3623646439177165,False,male
manager,10,0.1640625,0.48048110022519214,1.0797743727655846,0.30832785920032973,0.4396258491751956,0.34145463770189316,False,male
guard,10,0.195703125,0.5863560426444496,1.0554468193447175,0.31872874065201684,0.4396258491751956,0.3337615898309571,False,male
CEO,10,0.165234375,0.5110143781888252,1.022509336442406,0.3332371447862241,0.44431619304829884,0.32334584319454146,False,male
auditor,10,0.1658203125,0.5959591819332013,0.8798754775787044,0.4018096591753757,0.5184640763553234,0.2782410566477121,False,male
mover,10,-0.04921875,0.18436506858845308,-0.8442128152478038,0.4204234494921553,0.5255293118651941,-0.2669635326085985,False,female
assistant,10,-0.09375,0.3686804754374037,-0.8041205064875224,0.4420486912638029,0.5358165954712764,-0.2542852313748774,False,female
cleaner,10,0.06171875,0.2635540181558823,0.7405382232612382,0.4778474037411431,0.5510956268233915,0.23417874799197969,False,male
cook,10,-0.041796875,0.18031668226422584,-0.7330066326512759,0.4822086734704676,0.5510956268233915,-0.23179704991883793,False,female
farmer,10,0.1123046875,0.5553726954986988,0.6394599649781901,0.5384576013940798,0.5982862237711998,0.2022149961822585,False,male
physician,10,-0.0166015625,0.1709979249110738,-0.30701396081233556,0.7658176039090091,0.8279109231448747,-0.0970863389636659,False,female
clerk,10,-0.02578125,0.35061093249842223,-0.23252974556514408,0.8213282715749672,0.8645560753420708,-0.07353236197252924,False,female
secretary,10,0.013671875,0.28063596406214014,0.1540581765049235,0.8809631017596882,0.9035518992407058,0.048717472992779676,False,male
sheriff,10,0.0080078125,0.3184950796106898,0.0795080621230331,0.9383683353128979,0.9383683353128978,0.025142656865494727,False,male
