Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
analyst,10,0.8005940914154053,0.33086818357776926,7.651690116498224,3.153189755711598e-05,0.0012612759022846392,2.419676871793352,True,male
counselor,10,-1.0693093061447143,0.7846440672279982,-4.309537370973346,0.0019630189155196973,0.039260378310393945,-1.362795375388978,True,female
assistant,10,-0.35266742706298826,0.2936241603089969,-3.7981626746815675,0.00422928200424254,0.056390426723233876,-1.20108449758309,False,female
sewer,10,0.5475541114807129,0.4937314625913064,3.507003838445059,0.006649869197392904,0.06649869197392905,1.1090119892439567,False,male
baker,10,-0.2818587899208069,0.27536839877340386,-3.236812062164436,0.010210641790352555,0.08168513432282044,-1.0235698474346138,False,female
manager,10,-0.9939223289489746,1.0486110874907442,-2.997353751331198,0.015020682946764449,0.08854453660701234,-0.9478464807456537,False,female
laborer,10,0.6255998443928548,0.6642716719696203,2.978179705093333,0.01549529390622716,0.08854453660701234,0.9417831149383499,False,male
hairdresser,10,-0.0051746890007962065,0.005822080470952542,-2.8106453538694596,0.020355588423849626,0.10177794211924814,-0.8888041013197441,False,female
nurse,10,-0.4319330155849457,0.5372467185968033,-2.5423926821571126,0.031586537570657755,0.1346895865437846,-0.8039751582161003,False,female
developer,10,0.4429046154022217,0.5594698093805659,2.5034190360023474,0.03367239663594615,0.1346895865437846,0.7916506091590484,False,male
janitor,10,-0.03550421386025846,0.04856097362056529,-2.3120249443390155,0.04608351135070249,0.1675764049116454,-0.731126483123531,False,female
farmer,10,-0.15270860195159913,0.2198939241131552,-2.196090694250325,0.05569447428417014,0.17310062266258872,-0.694464854213147,False,female
supervisor,10,-0.6307932376861572,0.9108755180040483,-2.1899187367459274,0.05625770236534133,0.17310062266258872,-0.6925131098795805,False,female
designer,10,-0.4873092770576477,0.7486860326571513,-2.0582823416152634,0.0696736093479646,0.19906745527989886,-0.6508860267209007,False,female
receptionist,10,-0.04679592191241681,0.07674779875587658,-1.928155606408043,0.08592618260640866,0.2291364869504231,-0.6097363399472568,False,female
accountant,10,0.16039578914642333,0.2809614189377271,1.805287084328232,0.10451218636236245,0.26128046590590615,0.5708819016961678,False,male
mechanic,10,0.29755420684814454,0.5621351771855992,1.6738838969587149,0.12847892514936987,0.2996951366848647,0.5293285653068133,False,male
physician,10,-0.14318220615386962,0.2838359839129526,-1.5952237119901802,0.14512657482801744,0.2996951366848647,-0.5044540307397424,False,female
guard,10,0.26191426515579225,0.5218266470028254,1.5872045521989118,0.14692846271811213,0.2996951366848647,0.5019181497536175,False,male
salesperson,10,-0.3805598046630621,0.7643781908870788,-1.5743983580267091,0.14984756834243235,0.2996951366848647,-0.4978684755793641,False,female
cleaner,10,-0.22621586322784423,0.4826195985156148,-1.4822385432778329,0.17242121825970894,0.3284213681137313,-0.4687249832448012,False,female
librarian,10,-0.056997150188544767,0.145157884265041,-1.2416880808582107,0.24573576541467546,0.440804743872867,-0.39265624789952686,False,female
lawyer,10,0.09447309970855713,0.24765094422503436,1.2063356900580322,0.25844069354854193,0.440804743872867,0.3814768403334321,False,male
driver,10,0.16290929317474365,0.43290485747834406,1.1900176436945704,0.2644828463237202,0.440804743872867,0.3763166209861554,False,male
housekeeper,10,-0.03857212457805872,0.10807652122282388,-1.1286056071970199,0.2882490838479992,0.45727642797157636,-0.35689642987799053,False,female
clerk,10,0.21492236256599426,0.6142589147647554,1.1064457828395342,0.2972296781815246,0.45727642797157636,0.34988887812609726,False,male
teacher,10,-0.18365414440631866,0.5935181149348442,-0.9785133485221338,0.3533888284122486,0.5180562261410026,-0.3094330902208099,False,female
carpenter,10,0.0486404505725659,0.1604004853610156,0.9589410523288426,0.36263935829870175,0.5180562261410026,0.3032437867197856,False,male
editor,10,0.07289326190948486,0.2535037881536634,0.9092910815732738,0.3868989418405173,0.5336537128834722,0.28754308738495066,False,male
constructor,10,0.14416103363037108,0.6304819370442784,0.7230615015765137,0.4880063111082219,0.6344123820702335,0.2286521233363213,False,male
writer,10,-0.05638895034790039,0.25685446412611584,-0.6942356192725357,0.505058230077417,0.6344123820702335,-0.21953657897187004,False,female
cashier,10,-0.0008916164137190208,0.004085649247894837,-0.6901078618033342,0.5075299056561868,0.6344123820702335,-0.21823126744872512,False,female
chief,10,0.06586179733276368,0.343794750278144,0.6058070700481445,0.5596088060260123,0.6604191063102282,0.1915730163985308,False,male
attendant,10,0.0692253828048706,0.3629986455835053,0.6030597750814138,0.5613562403636939,0.6604191063102282,0.19070424544861225,False,male
sheriff,10,0.07918472290039062,0.4904898564246594,0.5105183664343351,0.6219737120069431,0.7108270994365063,0.16144008252809527,False,male
cook,10,-0.04111616611480713,0.292240753878805,-0.4449096570239055,0.6668924943853951,0.7366673124489663,-0.14069278691998718,False,female
secretary,10,-0.11108722686767578,0.8282254059527513,-0.42414619658956465,0.6814172640152939,0.7366673124489663,-0.1341268042120566,False,female
auditor,10,0.06651111841201782,0.6748400170416744,0.3116688675771714,0.7623911476227645,0.7852715057845442,0.0985583497309266,False,male
mover,10,0.04104401310905814,0.42242560535673784,0.30725544117720566,0.7656397181399306,0.7852715057845442,0.09716270175998572,False,male
CEO,10,-0.008329296112060547,0.4315360480373741,-0.06103672483420252,0.952663895647893,0.952663895647893,-0.019301507139304317,False,female
