Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
analyst,10,0.8005940914154053,0.33086818357776926,7.651690116498224,3.153189755711598e-05,0.0012612759022846392,2.419676871793352,True,male
counselor,10,-1.0693093061447143,0.7846440672279982,-4.309537370973346,0.0019630189155196973,0.039260378310393945,-1.362795375388978,True,female
assistant,10,-0.35266742706298826,0.2936241603089969,-3.7981626746815675,0.00422928200424254,0.056390426723233876,-1.20108449758309,False,female
sewer,10,0.5475541114807129,0.4937314625913064,3.507003838445059,0.006649869197392904,0.06649869197392905,1.1090119892439567,False,male
baker,10,-0.2818587899208069,0.27536839877340386,-3.236812062164436,0.010210641790352555,0.06867889326959986,-1.0235698474346138,False,female
laborer,10,0.7307498249225318,0.7151494321269656,3.231260129301505,0.01030183399043998,0.06867889326959986,1.0218141721082938,False,male
manager,10,-0.9939223289489746,1.0486110874907442,-2.997353751331198,0.015020682946764449,0.08305769546906579,-0.9478464807456537,False,female
receptionist,10,-0.9124434485565871,0.9829792505490873,-2.935361587669039,0.016611539093813157,0.08305769546906579,-0.9282428373202188,False,female
carpenter,10,0.2659551803022623,0.3265294586868499,2.5756454828244486,0.02990950976989227,0.1122413221198205,0.8144906170849353,False,male
salesperson,10,-0.5007312178611756,0.617111847920946,-2.5659062442666736,0.030391216744903634,0.1122413221198205,-0.8114107994331051,False,female
nurse,10,-0.4319330155849457,0.5372467185968033,-2.5423926821571126,0.031586537570657755,0.1122413221198205,-0.8039751582161003,False,female
developer,10,0.4429046154022217,0.5594698093805659,2.5034190360023474,0.03367239663594615,0.1122413221198205,0.7916506091590484,False,male
farmer,10,-0.15270860195159913,0.2198939241131552,-2.196090694250325,0.05569447428417014,0.1607362924724038,-0.694464854213147,False,female
supervisor,10,-0.6307932376861572,0.9108755180040483,-2.1899187367459274,0.05625770236534133,0.1607362924724038,-0.6925131098795805,False,female
designer,10,-0.4873092770576477,0.7486860326571513,-2.0582823416152634,0.0696736093479646,0.18579629159457228,-0.6508860267209007,False,female
accountant,10,0.16039578914642333,0.2809614189377271,1.805287084328232,0.10451218636236245,0.26128046590590615,0.5708819016961678,False,male
mechanic,10,0.29755420684814454,0.5621351771855992,1.6738838969587149,0.12847892514936987,0.30230335329263497,0.5293285653068133,False,male
physician,10,-0.14318220615386962,0.2838359839129526,-1.5952237119901802,0.14512657482801744,0.30932307940655185,-0.5044540307397424,False,female
guard,10,0.26191426515579225,0.5218266470028254,1.5872045521989118,0.14692846271811213,0.30932307940655185,0.5019181497536175,False,male
cleaner,10,-0.22621586322784423,0.4826195985156148,-1.4822385432778329,0.17242121825970894,0.34484243651941787,-0.4687249832448012,False,female
housekeeper,10,0.19992640390992164,0.5090059978295225,1.2420733811743627,0.24560017078248123,0.45197153451555766,0.39277809055774915,False,male
lawyer,10,0.09447309970855713,0.24765094422503436,1.2063356900580322,0.25844069354854193,0.45197153451555766,0.3814768403334321,False,male
driver,10,0.16290929317474365,0.43290485747834406,1.1900176436945704,0.2644828463237202,0.45197153451555766,0.3763166209861554,False,male
janitor,10,-0.35688006235286596,0.9627069825410567,-1.1722713857950404,0.2711829207093346,0.45197153451555766,-0.37070476149542836,False,female
clerk,10,0.21492236256599426,0.6142589147647554,1.1064457828395342,0.2972296781815246,0.47556748509043945,0.34988887812609726,False,male
cashier,10,-0.14295216323807836,0.45298627399049146,-0.9979428919517496,0.3443800592325782,0.5235390050551831,-0.31557725133428444,False,female
teacher,10,-0.18365414440631866,0.5935181149348442,-0.9785133485221338,0.3533888284122486,0.5235390050551831,-0.3094330902208099,False,female
editor,10,0.07289326190948486,0.2535037881536634,0.9092910815732738,0.3868989418405173,0.5527127740578819,0.28754308738495066,False,male
constructor,10,0.14416103363037108,0.6304819370442784,0.7230615015765137,0.4880063111082219,0.6731121532527198,0.2286521233363213,False,male
writer,10,-0.05638895034790039,0.25685446412611584,-0.6942356192725357,0.505058230077417,0.6734109734365561,-0.21953657897187004,False,female
chief,10,0.06586179733276368,0.343794750278144,0.6058070700481445,0.5596088060260123,0.7016953004546174,0.1915730163985308,False,male
attendant,10,0.0692253828048706,0.3629986455835053,0.6030597750814138,0.5613562403636939,0.7016953004546174,0.19070424544861225,False,male
sheriff,10,0.07918472290039062,0.4904898564246594,0.5105183664343351,0.6219737120069431,0.7539075297053854,0.16144008252809527,False,male
librarian,10,0.04265198623179458,0.28960165823901407,0.4657342918640895,0.6524707173502806,0.7571302933503266,0.147278114673615,False,male
cook,10,-0.04111616611480713,0.292240753878805,-0.4449096570239055,0.6668924943853951,0.7571302933503266,-0.14069278691998718,False,female
secretary,10,-0.11108722686767578,0.8282254059527513,-0.42414619658956465,0.6814172640152939,0.7571302933503266,-0.1341268042120566,False,female
auditor,10,0.06651111841201782,0.6748400170416744,0.3116688675771714,0.7623911476227645,0.8242066460786643,0.0985583497309266,False,male
mover,10,0.0238865464925766,0.5779988849726768,0.13068518697163067,0.8988988429498116,0.9462093083682227,0.04132628472753155,False,male
CEO,10,-0.008329296112060547,0.4315360480373741,-0.06103672483420252,0.952663895647893,0.974985422090829,-0.019301507139304317,False,female
hairdresser,10,-0.004570783395320177,0.4483474221834851,-0.03223858442209191,0.974985422090829,0.974985422090829,-0.010194735531343358,False,female
