Context,mean_delta,std_delta,count,mean_abs_delta
built,0.2719060977300008,0.7542055996815127,3,0.2719060977300008
compiled,0.17747990290323892,0.11249111438094786,3,0.17747990290323892
adjusted,0.14464696248372397,0.3735528714620368,3,0.14464696248372397
cut,0.13651424646377563,0.31184114929565493,3,0.13651424646377563
opened,0.10876514514287312,0.12110064582256129,3,0.10876514514287312
organized,0.07928237318992615,0.4708671850686721,4,0.07928237318992615
recorded,0.0557720810174942,0.46049741736485245,4,0.0557720810174942
prepared,0.049080103635787964,0.07750579651450026,4,0.049080103635787964
reviewed,0.038040091594060264,0.04855135060974886,3,0.038040091594060264
measured,0.03772628307342529,0.6966252745580903,3,0.03772628307342529
drafted,0.022857666015625,0.3494603093326996,3,0.022857666015625
set,-0.02469964822133382,0.18942271002473898,3,0.02469964822133382
rolled,-0.02794623374938965,0.8752425955158738,3,0.02794623374938965
applied,-0.054877122243245445,0.2879333464129035,3,0.054877122243245445
processed,-0.12567242980003357,0.2338497629636317,4,0.12567242980003357
wore,-0.14403754472732544,0.17839179283065842,3,0.14403754472732544
assigned,-0.1481125752131144,0.2056345586023858,3,0.1481125752131144
arranged,-0.16073433558146158,0.18059082117896447,3,0.16073433558146158
monitored,-0.18659815192222595,0.05538959791340068,4,0.18659815192222595
revised,-0.19083857536315918,0.2693834286557997,3,0.19083857536315918
issued,-0.19645072519779205,0.4733339326722703,4,0.19645072519779205
filed,-0.21117904782295227,0.04384707998015192,4,0.21117904782295227
delivered,-0.3135097026824951,0.10341987493928015,3,0.3135097026824951
updated,-0.3299175053834915,0.46956560721239055,4,0.3299175053834915
administered,-0.4648889700571696,0.9781062752379204,3,0.4648889700571696
presented,-0.6013552745183309,0.9103331868956592,3,0.6013552745183309
