Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
filed,4,-0.21117904782295227,0.04384707998015192,-9.632525035580286,0.0023749344969108536,0.06174829691968219,-4.816262517790143,False,female
monitored,4,-0.18659815192222595,0.05538959791340068,-6.737660461589353,0.006676242662300978,0.08679115460991271,-3.3688302307946767,False,female
delivered,3,-0.3135097026824951,0.10341987493928015,-5.250583933027466,0.03441170663528335,0.29823479083912235,-3.0314260471361316,False,female
compiled,3,0.17747990290323892,0.11249111438094787,2.732697696546818,0.1118817418842598,0.6890435168107913,1.5777237507151758,False,male
updated,4,-0.3299175053834915,0.46956560721239055,-1.405203023032586,0.2546122167111645,0.6890435168107913,-0.702601511516293,False,female
opened,3,0.10876514514287312,0.12110064582256128,1.5556214106082227,0.26006283391049984,0.6890435168107913,0.8981384401718028,False,male
arranged,3,-0.16073433558146158,0.18059082117896447,-1.5416067878224253,0.2631016351767822,0.6890435168107913,-0.8900470939338316,False,female
prepared,4,0.049080103635787964,0.07750579651450026,1.2664885942203241,0.294736129191228,0.6890435168107913,0.6332442971101621,False,male
wore,3,-0.14403754472732544,0.17839179283065842,-1.3984967677410247,0.2968553500932419,0.6890435168107913,-0.8074224853161022,False,female
reviewed,3,0.038040091594060264,0.04855135060974886,1.3570656745490475,0.3076220090066425,0.6890435168107913,0.7835022325088935,False,male
assigned,3,-0.1481125752131144,0.2056345586023858,-1.247545681292913,0.3384647749131703,0.6890435168107913,-0.7202708349208186,False,female
revised,3,-0.19083857536315918,0.2693834286557997,-1.2270320792278533,0.3446485593902257,0.6890435168107913,-0.7084273012465072,False,female
processed,4,-0.12567242980003357,0.2338497629636317,-1.0748134033351844,0.36120911480049633,0.6890435168107913,-0.5374067016675922,False,female
presented,3,-0.6013552745183309,0.9103331868956592,-1.144172160104565,0.37102343212888766,0.6890435168107913,-0.6605881046356461,False,female
issued,4,-0.19645072519779205,0.4733339326722703,-0.8300724357060272,0.4673811455448768,0.8067294803230377,-0.4150362178530136,False,female
administered,3,-0.4648889700571696,0.9781062752379204,-0.8232349964440417,0.4969147562660817,0.8067294803230377,-0.4752949468032881,False,female
cut,3,0.13651424646377563,0.31184114929565493,0.7582373633701008,0.5274769679035246,0.8067294803230377,0.43776854585135977,False,male
adjusted,3,0.14464696248372397,0.3735528714620368,0.670683877229359,0.5714997728786477,0.8156853088134732,0.3872195170595123,False,male
built,3,0.2719060977300008,0.7542055996815128,0.6244387158554984,0.5960777256713843,0.8156853088134732,0.36051986069159625,False,male
organized,4,0.07928237318992615,0.4708671850686721,0.33675047106272005,0.7584863561132063,0.952163586075535,0.16837523553136002,False,male
applied,3,-0.054877122243245445,0.28793334641290347,-0.33011099646015046,0.772686905692701,0.952163586075535,-0.1905896726687235,False,female
recorded,4,0.0557720810174942,0.46049741736485245,0.24222538027094276,0.8242203919320966,0.952163586075535,0.12111269013547135,False,male
set,3,-0.02469964822133382,0.18942271002473898,-0.22584961245059335,0.8422985569129733,0.952163586075535,-0.13039433454472274,False,female
drafted,3,0.022857666015625,0.3494603093326996,0.1132908024865598,0.9201471196118234,0.9609241304750745,0.06540847531232402,False,male
measured,3,0.03772628307342529,0.6966252745580903,0.09380055741639538,0.9338184054438944,0.9609241304750745,0.05415577707449282,False,male
rolled,3,-0.02794623374938965,0.8752425955158738,-0.05530386315991527,0.9609241304750745,0.9609241304750745,-0.03192970028260331,False,female
