Context,mean_delta,std_delta,count,mean_abs_delta
presented,0.6437582969665527,1.0934736503464602,3,0.6437582969665527
assigned,0.4763471285502116,0.6901269246157865,3,0.4763471285502116
adjusted,0.36476627985636395,0.3266926648017472,3,0.36476627985636395
prepared,0.22240033745765686,0.14802560656258118,4,0.22240033745765686
cut,0.22185063362121582,0.19173124253215026,3,0.22185063362121582
drafted,0.09984397888183594,0.15314809649241234,3,0.09984397888183594
opened,0.09386006991068523,0.32203640867291766,3,0.09386006991068523
set,0.0860460599263509,0.08602542965843263,3,0.0860460599263509
revised,0.04012711842854818,0.40098541965039886,3,0.04012711842854818
recorded,0.0034072697162628174,0.16158061937872184,4,0.0034072697162628174
delivered,-0.009470582008361816,0.7014835404306754,3,0.009470582008361816
compiled,-0.08946577707926433,0.020036199222184515,3,0.08946577707926433
applied,-0.09138170878092448,0.2881865702437442,3,0.09138170878092448
organized,-0.11853742599487305,0.17099487217390835,4,0.11853742599487305
monitored,-0.1328919529914856,0.22773909569883818,4,0.1328919529914856
measured,-0.1392382780710856,0.10394950177002014,3,0.1392382780710856
reviewed,-0.14781121412913004,0.1401303897991703,3,0.14781121412913004
rolled,-0.16976149876912436,0.28099232416559244,3,0.16976149876912436
issued,-0.21110382676124573,0.18307819567622818,4,0.21110382676124573
wore,-0.22191510597864786,0.34790735056797145,3,0.22191510597864786
built,-0.2351398468017578,0.12134775717989625,3,0.2351398468017578
processed,-0.2489457130432129,0.13658199328705894,4,0.2489457130432129
updated,-0.34891678392887115,0.24774661567465034,4,0.34891678392887115
administered,-0.35924498240152997,0.1493997547510733,3,0.35924498240152997
filed,-0.46700429916381836,0.12363017057586294,4,0.46700429916381836
arranged,-0.5453077952067057,1.0473034286851017,3,0.5453077952067057
