Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
filed,4,-0.46700429916381836,0.12363017057586294,-7.554859739957269,0.004809006816757593,0.12503417723569743,-3.7774298699786346,False,female
compiled,3,-0.08946577707926433,0.02003619922218452,-7.733965395410055,0.016310523776073116,0.2120368090889505,-4.465207002943246,False,female
processed,4,-0.2489457130432129,0.13658199328705894,-3.645366523828589,0.035607620378330485,0.2899841831506724,-1.8226832619142945,False,female
administered,3,-0.35924498240152997,0.14939975475107334,-4.164870035565884,0.053099679356029036,0.2899841831506724,-2.4045888361737693,False,female
prepared,4,0.22240033745765686,0.14802560656258118,3.0048900676334283,0.05744476427203871,0.2899841831506724,1.502445033816714,False,male
updated,4,-0.34891678392887115,0.24774661567465034,-2.816722908433842,0.06691942688092441,0.2899841831506724,-1.408361454216921,False,female
built,3,-0.2351398468017578,0.12134775717989625,-3.356256193024061,0.07846806771437861,0.29145282293912056,-1.93773541651179,False,female
issued,4,-0.21110382676124573,0.18307819567622818,-2.3061602282183356,0.10439734845425122,0.33929138247631646,-1.1530801141091678,False,female
measured,3,-0.1392382780710856,0.10394950177002013,-2.320047406394385,0.14613030017092152,0.4221542004937733,-1.339479994614491,False,female
cut,3,0.22185063362121582,0.19173124253215026,2.004141651869076,0.18294097689589336,0.450658085093827,1.157091722200752,False,male
adjusted,3,0.36476627985636395,0.3266926648017472,1.933908525257257,0.1928023310063547,0.450658085093827,1.1165426076453895,False,male
reviewed,3,-0.14781121412913004,0.1401303897991703,-1.8269879443496113,0.2092283752130961,0.450658085093827,-1.0548119814764492,False,female
set,3,0.0860460599263509,0.08602542965843261,1.7324661809340567,0.22532904254691352,0.450658085093827,1.0002398159242005,False,male
organized,4,-0.11853742599487305,0.17099487217390835,-1.3864442189157102,0.25968081624420547,0.482264373024953,-0.6932221094578551,False,female
monitored,4,-0.1328919529914856,0.22773909569883816,-1.1670543661701522,0.3275173702211744,0.5396808832489183,-0.5835271830850761,False,female
assigned,3,0.4763471285502116,0.6901269246157865,1.1955154903539562,0.35441241133818596,0.5396808832489183,0.6902311901762241,False,male
drafted,3,0.09984397888183594,0.15314809649241234,1.1292000894163372,0.37603662865397985,0.5396808832489183,0.6519439755934718,False,male
wore,3,-0.22191510597864786,0.3479073505679714,-1.1048005680091406,0.38437456678390275,0.5396808832489183,-0.6378569053409288,False,female
rolled,3,-0.16976149876912436,0.28099232416559244,-1.0464184098633451,0.4051935871531071,0.5396808832489183,-0.6041499506195823,False,female
presented,3,0.6437582969665527,1.0934736503464602,1.0197063987658004,0.41513914096070637,0.5396808832489183,0.5887277638218187,False,male
arranged,3,-0.5453077952067057,1.0473034286851017,-0.9018406520899175,0.46232417941937737,0.5724013649954196,-0.5206779432502615,False,female
applied,3,-0.09138170878092448,0.2881865702437442,-0.5492197723063745,0.6379844354868024,0.7503995473867827,-0.31709218338535033,False,female
opened,3,0.09386006991068523,0.3220364086729177,0.5048199691370652,0.6638149842267693,0.7503995473867827,0.29145794507358314,False,male
revised,3,0.04012711842854818,0.4009854196503988,0.1733285163838992,0.878348512069169,0.9515442214082664,0.10007126559248268,False,male
recorded,4,0.0034072697162628174,0.16158061937872184,0.04217423759561987,0.9690097463830235,0.9834672365491206,0.021087118797809935,False,male
delivered,3,-0.009470582008361816,0.7014835404306754,-0.023384054322442727,0.9834672365491206,0.9834672365491206,-0.013500790057807141,False,female
