Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
reviewed,3,-0.09958171844482422,0.013039464777625761,-13.227582480794107,0.005666765270874232,0.14733589704273004,-7.636948306014456,False,female
prepared,4,0.46000683307647705,0.2201164113498012,4.179668660374901,0.024950454834598127,0.30617389656516625,2.08983433018745,False,male
built,3,0.35812807083129883,0.14520577758210307,4.271841139004982,0.050669778461664414,0.30617389656516625,2.466348631539844,False,male
monitored,4,-0.20353227853775024,0.1325813155704774,-3.070301085216746,0.054549465616972874,0.30617389656516625,-1.5351505426083725,False,female
drafted,3,0.16995692253112793,0.08262913180993481,3.56259370604409,0.0705527559136044,0.30617389656516625,2.056864435197822,False,male
issued,4,0.1745111346244812,0.12798021614506214,2.72715799177394,0.07211305055600781,0.30617389656516625,1.36357899588697,False,male
cut,3,0.11321449279785156,0.060080149569573124,3.2638609438204313,0.08243143369062167,0.30617389656516625,1.8843909945122324,False,male
revised,3,0.10583734512329102,0.08346968561619009,2.196194435602206,0.15923522417283015,0.5010623376912209,1.267973448587692,False,male
assigned,3,0.21175702412923178,0.18374199336583105,1.9961355481823349,0.18403032201299577,0.5010623376912209,1.1524693960820522,False,male
opened,3,0.29117536544799805,0.2730221995053261,1.8472143575948654,0.20598201128754262,0.5010623376912209,1.066489706608337,False,male
recorded,4,0.1645420789718628,0.20813258246339136,1.581127539229032,0.2119879121001319,0.5010623376912209,0.790563769614516,False,male
delivered,3,0.1446298360824585,0.15688687412990274,1.5967315670892697,0.25140381570848513,0.5447082673683844,0.9218734000825628,False,male
wore,3,0.08483006556828816,0.1421189524993686,1.0338521427979643,0.409838895003567,0.7770309512289307,0.5968948129466761,False,male
applied,3,-0.08379062016805013,0.1540072699429493,-0.9423555873857795,0.4454845448922248,0.7770309512289307,-0.5440692520495276,False,female
measured,3,0.14845697085062662,0.2748633766865896,0.9355011909944368,0.4482870872474601,0.7770309512289307,0.5401118644478536,False,male
arranged,3,0.16073234875996908,0.36659019156406397,0.7594218309125037,0.5269039353417326,0.8075623331617966,0.4384523985058124,False,male
rolled,3,0.11653963724772136,0.31975671108889764,0.6312692300384007,0.5923901376117118,0.8075623331617966,0.3644634598937985,False,male
set,3,-0.04798968633015951,0.13712716276046652,-0.6061568932795959,0.6060448107329656,0.8075623331617966,-0.34996484550612195,False,female
compiled,3,-0.04303439458211263,0.1389835891306217,-0.5363061808623512,0.6454149264820048,0.8075623331617966,-0.30963651788893853,False,female
adjusted,3,0.08448457717895508,0.32126732080918613,0.455482306016542,0.6934335089463902,0.8075623331617966,0.262972831989762,False,male
organized,4,0.09075605869293213,0.4308941859287898,0.4212452228720979,0.7019357855928395,0.8075623331617966,0.21062261143604896,False,male
administered,3,-0.058184186617533364,0.2497014413269708,-0.40359385545826115,0.7255725626644639,0.8075623331617966,-0.23301502109210598,False,female
updated,4,-0.01891443133354187,0.10410497561099112,-0.3633722830735659,0.7404229266854638,0.8075623331617966,-0.18168614153678295,False,female
processed,4,-0.023812413215637207,0.13379907768388702,-0.35594286041188244,0.7454421536878122,0.8075623331617966,-0.17797143020594122,False,female
filed,4,-0.01602458953857422,0.23483966518511412,-0.13647259738632922,0.9000911937859883,0.9216206489654712,-0.06823629869316461,False,female
presented,3,-0.014479716618855795,0.22556198540580688,-0.11118719680506953,0.9216206489654712,0.9216206489654712,-0.06419395800584679,False,female
