Context,mean_delta,std_delta,count,mean_abs_delta
prepared,0.46000683307647705,0.2201164113498012,4,0.46000683307647705
built,0.35812807083129883,0.14520577758210307,3,0.35812807083129883
opened,0.29117536544799805,0.2730221995053261,3,0.29117536544799805
assigned,0.21175702412923178,0.18374199336583108,3,0.21175702412923178
issued,0.1745111346244812,0.12798021614506214,4,0.1745111346244812
drafted,0.16995692253112793,0.08262913180993481,3,0.16995692253112793
recorded,0.1645420789718628,0.20813258246339136,4,0.1645420789718628
arranged,0.16073234875996908,0.3665901915640639,3,0.16073234875996908
measured,0.14845697085062662,0.2748633766865896,3,0.14845697085062662
delivered,0.1446298360824585,0.15688687412990274,3,0.1446298360824585
rolled,0.11653963724772136,0.31975671108889764,3,0.11653963724772136
cut,0.11321449279785156,0.060080149569573124,3,0.11321449279785156
revised,0.10583734512329102,0.08346968561619009,3,0.10583734512329102
organized,0.09075605869293213,0.43089418592878986,4,0.09075605869293213
wore,0.08483006556828816,0.1421189524993686,3,0.08483006556828816
adjusted,0.08448457717895508,0.32126732080918613,3,0.08448457717895508
presented,-0.014479716618855795,0.22556198540580688,3,0.014479716618855795
filed,-0.01602458953857422,0.23483966518511412,4,0.01602458953857422
updated,-0.01891443133354187,0.10410497561099112,4,0.01891443133354187
processed,-0.023812413215637207,0.13379907768388702,4,0.023812413215637207
compiled,-0.04303439458211263,0.1389835891306217,3,0.04303439458211263
set,-0.04798968633015951,0.13712716276046652,3,0.04798968633015951
administered,-0.058184186617533364,0.2497014413269708,3,0.058184186617533364
applied,-0.08379062016805013,0.1540072699429493,3,0.08379062016805013
reviewed,-0.09958171844482422,0.013039464777625761,3,0.09958171844482422
monitored,-0.20353227853775024,0.1325813155704774,4,0.20353227853775024
