Context,mean_delta,std_delta,count,mean_abs_delta
drafted,0.363842248916626,0.3475845383008963,3,0.363842248916626
compiled,0.11578655242919922,0.04534413134127441,3,0.11578655242919922
delivered,0.10867053270339966,0.27602023558738914,3,0.10867053270339966
revised,0.10802539189656575,0.06984706817320227,3,0.10802539189656575
presented,0.10598516464233398,0.10519357472379773,3,0.10598516464233398
cut,0.09583338101704915,0.16149048382499143,3,0.09583338101704915
issued,0.08732527494430542,0.19845580275843977,4,0.08732527494430542
measured,0.08474234739939372,0.14691515776395672,3,0.08474234739939372
filed,0.07619595527648926,0.09366161551640886,4,0.07619595527648926
built,0.04802123705546061,0.09261752564329981,3,0.04802123705546061
opened,-0.010671416918436686,0.08096407729687745,3,0.010671416918436686
applied,-0.03285423914591471,0.39050603748294094,3,0.03285423914591471
arranged,-0.038225134213765465,0.18838433345978578,3,0.038225134213765465
organized,-0.04035758972167969,0.12500196369777827,4,0.04035758972167969
set,-0.04116137822469076,0.04364669150346011,3,0.04116137822469076
recorded,-0.04299482703208923,0.16322555738843275,4,0.04299482703208923
processed,-0.04751250147819519,0.10802427348970171,4,0.04751250147819519
rolled,-0.07055306434631348,0.2823601135145989,3,0.07055306434631348
adjusted,-0.10109241803487141,0.4636198101823228,3,0.10109241803487141
assigned,-0.10177147388458252,0.1317474689175448,3,0.10177147388458252
prepared,-0.10970425605773926,0.11055477068891419,4,0.10970425605773926
reviewed,-0.12170742948849995,0.08772301158650148,3,0.12170742948849995
wore,-0.16794514656066895,0.2580505448895872,3,0.16794514656066895
updated,-0.16951540112495422,0.1215871858842615,4,0.16951540112495422
administered,-0.25349247455596924,0.587663144463363,3,0.25349247455596924
monitored,-0.2621438801288605,0.1637502949108776,4,0.2621438801288605
