Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
compiled,3,0.11578655242919922,0.04534413134127441,4.422803694952737,0.047508135357826824,0.5937647082322874,2.553506903853834,False,male
monitored,4,-0.2621438801288605,0.1637502949108776,-3.2017515482525924,0.049265793312634816,0.5937647082322874,-1.6008757741262962,False,female
updated,4,-0.16951540112495422,0.1215871858842615,-2.7883760923016254,0.06851131248834086,0.5937647082322874,-1.3941880461508127,False,female
revised,3,0.10802539189656575,0.06984706817320227,2.678787702418934,0.11567098107947614,0.6128277841743107,1.5465988010934306,False,male
reviewed,3,-0.12170742948849995,0.08772301158650148,-2.403057621030492,0.13816771821175433,0.6128277841743107,-1.3874059643801364,False,female
prepared,4,-0.10970425605773926,0.11055477068891419,-1.9846136964352599,0.14142179634791785,0.6128277841743107,-0.9923068482176299,False,female
filed,4,0.07619595527648926,0.09366161551640886,1.6270476407304817,0.20220540633822576,0.6343620269891412,0.8135238203652408,False,male
drafted,3,0.363842248916626,0.3475845383008963,1.8130647126719255,0.2115025630700886,0.6343620269891412,1.0467733999193478,False,male
presented,3,0.10598516464233398,0.10519357472379773,1.7450846260436659,0.22308748213730364,0.6343620269891412,1.007525078604988,False,male
set,3,-0.04116137822469076,0.04364669150346011,-1.6334250303730766,0.24398539499582353,0.6343620269891412,-0.9430583809869684,False,female
assigned,3,-0.10177147388458252,0.1317474689175448,-1.3379639470689804,0.3127474595769277,0.7095453443552121,-0.7724738450062901,False,female
wore,3,-0.16794514656066895,0.2580505448895872,-1.127257944183547,0.3766926417534189,0.7095453443552121,-0.6508226775205149,False,female
cut,3,0.09583338101704915,0.16149048382499143,1.0278518030976906,0.412077920393752,0.7095453443552121,0.593430515205494,False,male
measured,3,0.08474234739939372,0.14691515776395675,0.9990667639905831,0.4230091011630742,0.7095453443552121,0.5768114651283714,False,male
issued,4,0.08732527494430542,0.19845580275843977,0.880047584706784,0.4436305559162242,0.7095453443552121,0.440023792353392,False,male
processed,4,-0.04751250147819519,0.10802427348970171,-0.879663430140536,0.443808982957506,0.7095453443552121,-0.439831715070268,False,female
built,3,0.04802123705546061,0.09261752564329981,0.8980505778431381,0.4639334943861002,0.7095453443552121,0.5184897428636347,False,male
administered,3,-0.25349247455596924,0.587663144463363,-0.7471318380332295,0.5328788961738326,0.7353680571993249,-0.43135676780862486,False,female
organized,4,-0.04035758972167969,0.12500196369777827,-0.6457112916922438,0.5644544154776213,0.7353680571993249,-0.3228556458461219,False,female
delivered,3,0.10867053270339966,0.27602023558738914,0.6819169744106364,0.5656677363071729,0.7353680571993249,0.3937049487409561,False,male
recorded,4,-0.04299482703208923,0.16322555738843275,-0.5268148900208459,0.6347920167907517,0.7859329731695022,-0.26340744501042296,False,female
rolled,3,-0.07055306434631348,0.2823601135145989,-0.43278595746552934,0.7073701541465606,0.822057638350865,-0.24986908904421326,False,female
adjusted,3,-0.10109241803487141,0.4636198101823228,-0.3776741210163797,0.7419862494319482,0.822057638350865,-0.2180502554347621,False,female
arranged,3,-0.038225134213765465,0.18838433345978578,-0.35145106479098237,0.7588224354007984,0.822057638350865,-0.20291036686405425,False,female
opened,3,-0.010671416918436686,0.08096407729687745,-0.22829181667454507,0.8406363497514112,0.8742618037414677,-0.13180434181083728,False,female
applied,3,-0.03285423914591471,0.39050603748294094,-0.1457217199803946,0.8975018792117696,0.8975018792117696,-0.08413247425745608,False,female
