Context,mean_delta,std_delta,count,mean_abs_delta
applied,0.19303385416666666,0.2019202869115404,3,0.19303385416666666
measured,0.18294270833333334,0.3458428684130431,3,0.18294270833333334
cut,0.11100260416666667,0.3931223069398434,3,0.11100260416666667
set,0.09114583333333333,0.46976344438972245,3,0.09114583333333333
recorded,0.043212890625,0.2137525184289648,4,0.043212890625
drafted,0.010416666666666666,0.5167532243312767,3,0.010416666666666666
prepared,0.0078125,0.30573737389608585,4,0.0078125
wore,-0.0013020833333333333,0.16013639993857254,3,0.0013020833333333333
arranged,-0.053385416666666664,0.18913404724036556,3,0.053385416666666664
assigned,-0.0625,0.11841801868143842,3,0.0625
updated,-0.068359375,0.26405980336394286,4,0.068359375
administered,-0.14713541666666666,0.6462728993867612,3,0.14713541666666666
monitored,-0.14990234375,0.2089896988710502,4,0.14990234375
adjusted,-0.16276041666666666,0.303089089904719,3,0.16276041666666666
reviewed,-0.2421875,0.3306958439577635,3,0.2421875
revised,-0.2578125,0.5097469165628298,3,0.2578125
rolled,-0.302734375,0.25397384917438476,3,0.302734375
organized,-0.31689453125,0.26691616625286846,4,0.31689453125
opened,-0.3203125,0.20592273989214377,3,0.3203125
compiled,-0.345703125,0.31934041711307565,3,0.345703125
filed,-0.36376953125,0.25151303517794177,4,0.36376953125
issued,-0.38916015625,0.5071043113730335,4,0.38916015625
presented,-0.4039713541666667,0.5375640239583834,3,0.4039713541666667
processed,-0.44921875,0.29759370241782673,4,0.44921875
built,-0.4837239583333333,0.15922860796068952,3,0.4837239583333333
delivered,-0.9368489583333334,0.4843448096270158,3,0.9368489583333334
