Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
built,3,-0.4837239583333333,0.15922860796068952,-5.26183380864894,0.03427218840420555,0.49646687208112333,-3.0379211658545393,False,female
processed,4,-0.44921875,0.29759370241782673,-3.0190070982704404,0.056803860213017206,0.49646687208112333,-1.5095035491352202,False,female
filed,4,-0.36376953125,0.25151303517794177,-2.8926495280265567,0.06287718073463043,0.49646687208112333,-1.4463247640132784,False,female
delivered,3,-0.9368489583333334,0.4843448096270158,-3.3502371917661242,0.07871782214342352,0.49646687208112333,-1.9342603445152677,False,female
organized,4,-0.31689453125,0.26691616625286846,-2.374487358324962,0.09810513206744605,0.49646687208112333,-1.187243679162481,False,female
opened,3,-0.3203125,0.20592273989214377,-2.6942023235995816,0.11456927817256692,0.49646687208112333,-1.5554984367815337,False,female
rolled,3,-0.302734375,0.25397384917438476,-2.0645878321810085,0.17499097507303632,0.5835748212709073,-1.191990340675331,False,female
compiled,3,-0.345703125,0.31934041711307565,-1.8750378741545684,0.20162470935147703,0.5835748212709073,-1.0825536213838838,False,female
issued,4,-0.38916015625,0.5071043113730335,-1.5348327652601164,0.2223872114697855,0.5835748212709073,-0.7674163826300582,False,female
applied,3,0.19303385416666666,0.20192028691154043,1.655823929885665,0.23959546891198547,0.5835748212709073,0.9559903916501127,False,male
monitored,4,-0.14990234375,0.2089896988710502,-1.4345428943126237,0.24689703976846078,0.5835748212709073,-0.7172714471563117,False,female
presented,3,-0.4039713541666667,0.5375640239583834,-1.3016103738988987,0.3227930404226589,0.6645806158474404,-0.7514850997505386,False,female
reviewed,3,-0.2421875,0.3306958439577635,-1.268479972223853,0.3322903079237202,0.6645806158474404,-0.7323572534250905,False,female
adjusted,3,-0.16276041666666666,0.303089089904719,-0.9301202864688062,0.4505003444130881,0.7240357342223394,-0.537005197771497,False,female
measured,3,0.18294270833333334,0.3458428684130431,0.9162139649187495,0.4562741950256599,0.7240357342223394,0.5289763792811344,False,male
assigned,3,-0.0625,0.11841801868143842,-0.9141613470520185,0.4571330475961174,0.7240357342223394,-0.5277912998032338,False,female
revised,3,-0.2578125,0.5097469165628298,-0.8760118684726004,0.47340798006845264,0.7240357342223394,-0.5057656880759628,False,female
updated,4,-0.068359375,0.26405980336394286,-0.5177567666804861,0.6403869517027898,0.8643948857131232,-0.25887838334024305,False,female
cut,3,0.11100260416666667,0.3931223069398434,0.489064463641703,0.6731705287224967,0.8643948857131232,0.28236149973461716,False,male
arranged,3,-0.053385416666666664,0.18913404724036556,-0.4888926948852738,0.673273061782111,0.8643948857131232,-0.2822623289968544,False,female
recorded,4,0.043212890625,0.2137525184289648,0.40432637652744857,0.7130718660574608,0.8643948857131232,0.20216318826372426,False,male
administered,3,-0.14713541666666666,0.6462728993867612,-0.3943318952431749,0.7314110571418735,0.8643948857131232,-0.22766762586870232,False,female
set,3,0.09114583333333333,0.46976344438972245,0.33606108801554113,0.7688068568642425,0.8690860121074045,0.1940249596299312,False,male
prepared,4,0.0078125,0.30573737389608585,0.05110595345569571,0.9624535358724782,0.9900419841122617,0.025552976727847856,False,male
drafted,3,0.010416666666666666,0.5167532243312768,0.03491452992000962,0.9753192196042157,0.9900419841122617,0.020157913247946795,False,male
wore,3,-0.0013020833333333333,0.16013639993857257,-0.01408345941264501,0.9900419841122617,0.9900419841122617,-0.008131089083011765,False,female
