Context,mean_delta,std_delta,count,mean_abs_delta
compiled,0.2700185775756836,0.2452930123873699,3,0.2700185775756836
rolled,0.23770221074422201,0.7658253712334654,3,0.23770221074422201
applied,0.16967304547627768,0.11873919690471389,3,0.16967304547627768
prepared,0.155865877866745,0.1521415383790451,4,0.155865877866745
set,0.12126620610555013,0.4680153770917916,3,0.12126620610555013
assigned,0.09325738747914632,0.25957548242666095,3,0.09325738747914632
adjusted,0.08875115712483723,0.14920764545398083,3,0.08875115712483723
filed,0.02274930477142334,0.07393255002171653,4,0.02274930477142334
arranged,0.007172584533691406,0.2291789344675932,3,0.007172584533691406
updated,8.496642112731934e-05,0.44233320307568913,4,8.496642112731934e-05
opened,-0.02363276481628418,0.16818633914316888,3,0.02363276481628418
recorded,-0.050036460161209106,0.09874301270797087,4,0.050036460161209106
organized,-0.07826003432273865,0.4928118826873206,4,0.07826003432273865
drafted,-0.13678725560506186,0.35796377981368743,3,0.13678725560506186
built,-0.1840255856513977,0.22734015121798073,3,0.1840255856513977
wore,-0.1845192313194275,0.20455713356261285,3,0.1845192313194275
presented,-0.21233526865641275,0.2166164414763944,3,0.21233526865641275
processed,-0.2200927734375,0.2799820280538173,4,0.2200927734375
delivered,-0.25620587666829425,0.632087225208052,3,0.25620587666829425
issued,-0.26151129603385925,0.25900967555652626,4,0.26151129603385925
cut,-0.27907776832580566,0.4606663117743089,3,0.27907776832580566
reviewed,-0.2805270751317342,0.40424916384366355,3,0.2805270751317342
revised,-0.2943676710128784,0.18031905236062884,3,0.2943676710128784
monitored,-0.3336242139339447,0.21995786299567216,4,0.3336242139339447
measured,-0.36206769943237305,0.30324524911663114,3,0.36206769943237305
administered,-0.3846908410390218,0.4562052836133265,3,0.3846908410390218
