Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
monitored,4,-0.3336242139339447,0.21995786299567216,-3.033528416672324,0.05615394454951529,0.6412346900872694,-1.516764208336162,False,female
revised,3,-0.2943676710128784,0.18031905236062884,-2.8275423790511742,0.10562878624163752,0.6412346900872694,-1.6324823536902702,False,female
applied,3,0.16967304547627768,0.11873919690471389,2.4750237756424527,0.13174390170857245,0.6412346900872694,1.428955643117894,False,male
prepared,4,0.155865877866745,0.15214153837904507,2.0489588777316174,0.13289689449738515,0.6412346900872694,1.0244794388658087,False,male
issued,4,-0.26151129603385925,0.25900967555652626,-2.019316811018413,0.13674639109702386,0.6412346900872694,-1.0096584055092066,False,female
measured,3,-0.36206769943237305,0.30324524911663114,-2.068027951050441,0.1745527058235959,0.6412346900872694,-1.1939764942306423,False,female
compiled,3,0.2700185775756836,0.2452930123873699,1.9066417375558449,0.1968230409092302,0.6412346900872694,1.100800120426043,False,male
processed,4,-0.2200927734375,0.2799820280538173,-1.5721921508132977,0.21395225995964454,0.6412346900872694,-0.7860960754066488,False,female
presented,3,-0.21233526865641275,0.2166164414763944,-1.6978188315025584,0.2316373040467241,0.6412346900872694,-0.9802361594032178,False,female
wore,3,-0.1845192313194275,0.20455713356261285,-1.5623834674090091,0.25861261905085836,0.6412346900872694,-0.9020425154860123,False,female
administered,3,-0.3846908410390218,0.4562052836133265,-1.4605356531791918,0.2815925567639958,0.6412346900872694,-0.8432406525240523,False,female
built,3,-0.1840255856513977,0.22734015121798073,-1.4020473837690892,0.2959544723479705,0.6412346900872694,-0.8094724344356942,False,female
reviewed,3,-0.2805270751317342,0.40424916384366355,-1.2019496649219141,0.3523928275720807,0.6681684159113321,-0.6939459625950476,False,female
recorded,4,-0.050036460161209106,0.09874301270797087,-1.0134683718672886,0.38547051052701686,0.6681684159113321,-0.5067341859336443,False,female
cut,3,-0.27907776832580566,0.4606663117743089,-1.04929937711627,0.4041369045129815,0.6681684159113321,-0.6058132778385851,False,female
adjusted,3,0.08875115712483723,0.14920764545398083,1.0302522561966034,0.41118056363774286,0.6681684159113321,0.5948164174483284,False,male
delivered,3,-0.25620587666829425,0.632087225208052,-0.702057529229683,0.5553466191382987,0.7764271478836147,-0.40533310348736107,False,female
drafted,3,-0.13678725560506186,0.3579637798136874,-0.6618615901843226,0.5761180577113882,0.7764271478836147,-0.3821259672591924,False,female
filed,4,0.02274930477142334,0.07393255002171653,0.6154070098959413,0.5818222004926729,0.7764271478836147,0.30770350494797066,False,male
assigned,3,0.09325738747914632,0.259575482426661,0.6222719179214312,0.5972516522181651,0.7764271478836147,0.359268859321083,False,male
rolled,3,0.23770221074422201,0.7658253712334655,0.5376059889701993,0.64466393750075,0.7981553511914049,0.3103869624498995,False,male
set,3,0.12126620610555013,0.4680153770917916,0.4487870281551393,0.6975247474109552,0.8243474287584015,0.2591073115141818,False,male
organized,4,-0.07826003432273865,0.4928118826873206,-0.3176061173524628,0.7716062605828291,0.872250555441459,-0.1588030586762314,False,female
opened,3,-0.02363276481628418,0.16818633914316888,-0.24337975125486236,0.8303977442969657,0.8995975563217128,-0.14051536490229893,False,female
arranged,3,0.007172584533691406,0.2291789344675932,0.05420777813980517,0.9616974400139088,0.9997175918289896,0.03129687530118803,False,male
updated,4,8.496642112731934e-05,0.44233320307568913,0.00038417383337502,0.9997175918289896,0.9997175918289896,0.00019208691668751,False,male
