Context,mean_delta,std_delta,count,mean_abs_delta
guard,0.5839914798736572,0.369831238708909,10,0.5839914798736572
mechanic,0.5446866631507874,0.5019209460276248,10,0.5446866631507874
chief,0.4552943706512451,0.4024786582013573,10,0.4552943706512451
developer,0.40753414630889895,0.3294581210533867,10,0.40753414630889895
lawyer,0.34019901752471926,0.6608499534274085,10,0.34019901752471926
accountant,0.22499094009399415,0.46382971031534204,10,0.22499094009399415
sewer,0.22390279769897461,0.5417542912075919,10,0.22390279769897461
editor,0.22069249153137208,0.481279343860189,10,0.22069249153137208
sheriff,0.13881702423095704,0.2929990565186357,10,0.13881702423095704
farmer,0.11772708892822266,0.40952227931280394,10,0.11772708892822266
teacher,0.1160663366317749,0.3728264784247848,10,0.1160663366317749
constructor,0.10726079940795899,0.40753730603829136,10,0.10726079940795899
clerk,0.10318976640701294,0.2657986224020966,10,0.10318976640701294
supervisor,0.08015960454940796,0.2933897470382728,10,0.08015960454940796
CEO,0.07472929954528809,0.6046937063434303,10,0.07472929954528809
laborer,0.043058207631111144,0.3817069586256539,10,0.043058207631111144
janitor,0.02791699068620801,0.04583817717041092,10,0.02791699068620801
auditor,0.016118884086608887,0.43572414740614074,10,0.016118884086608887
driver,0.00792553424835205,0.3322298840601889,10,0.00792553424835205
attendant,0.007400631904602051,0.22361105778616916,10,0.007400631904602051
assistant,0.005601024627685547,0.6291141693489956,10,0.005601024627685547
carpenter,0.0014727473142556846,0.007863203254136038,10,0.0014727473142556846
hairdresser,-0.002863220886865747,0.004074286434673614,10,0.002863220886865747
cashier,-0.0068796643055975435,0.045479917267213926,10,0.0068796643055975435
secretary,-0.009712278842926025,0.19088127352813872,10,0.009712278842926025
librarian,-0.016490178561070934,0.0552257311866807,10,0.016490178561070934
mover,-0.031919163465499875,0.5046661912731842,10,0.031919163465499875
cleaner,-0.036979961395263675,0.4944228215068261,10,0.036979961395263675
manager,-0.05906316041946411,0.35770985472596906,10,0.05906316041946411
baker,-0.09879218380665407,0.2973266952095989,10,0.09879218380665407
cook,-0.1040412187576294,0.5239076148173869,10,0.1040412187576294
analyst,-0.15005178451538087,0.40170892776142586,10,0.15005178451538087
receptionist,-0.16098891329020262,0.2339292073459088,10,0.16098891329020262
counselor,-0.22730834484100343,0.35175844357262925,10,0.22730834484100343
designer,-0.24357876777648926,0.39272974966791024,10,0.24357876777648926
writer,-0.2511375308036804,0.2943139346691309,10,0.2511375308036804
physician,-0.36564929485321046,0.5951165293609851,10,0.36564929485321046
nurse,-0.4664250135421753,0.5146643238759641,10,0.4664250135421753
housekeeper,-0.5056999022141099,0.3293031652180354,10,0.5056999022141099
salesperson,-0.7394565373659134,0.39934788231452945,10,0.7394565373659134
