Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
salesperson,10,-0.7394565373659134,0.39934788231452945,-5.855463349962068,0.00024210526428898973,0.00968421057155959,-1.851660094151975,True,female
guard,10,0.5839914798736572,0.369831238708909,4.993475448369827,0.0007455802476251401,0.012007415145307601,1.5790755856979186,True,male
housekeeper,10,-0.5056999022141099,0.3293031652180354,-4.856204471834302,0.0009005561358980701,0.012007415145307601,-1.53566669144914,True,female
developer,10,0.40753414630889895,0.32945812105338673,3.911684199824569,0.003555635062439552,0.03555635062439552,1.2369831558738855,True,male
chief,10,0.4552943706512451,0.40247865820135725,3.5772510859210547,0.005956299236660177,0.04765039389328141,1.1312261193821227,True,male
mechanic,10,0.5446866631507874,0.5019209460276248,3.4317166484193584,0.007487894361049689,0.049919295740331264,1.085204089332444,True,male
nurse,10,-0.4664250135421753,0.5146643238759641,-2.86587846105227,0.018601254588988512,0.10629288336564864,-0.9062703434143328,False,female
writer,10,-0.2511375308036804,0.2943139346691309,-2.6983656216724246,0.024459077338389396,0.12229538669194698,-0.8532981324381068,False,female
hairdresser,10,-0.002863220886865747,0.004074286434673615,-2.2223031178190533,0.05336307946103121,0.23009433095567483,-0.7027539503601729,False,female
receptionist,10,-0.16098891329020262,0.23392920734590886,-2.176263707334344,0.057523582738918715,0.23009433095567483,-0.6881950104338612,False,female
counselor,10,-0.22730834484100343,0.35175844357262925,-2.0434821508759002,0.0713621567529209,0.2463793825802481,-0.6462057954667689,False,female
designer,10,-0.24357876777648926,0.3927297496679103,-1.9613072258525448,0.08147303535703668,0.2463793825802481,-0.6202198025040321,False,female
physician,10,-0.36564929485321046,0.5951165293609851,-1.942954933233337,0.08391046430768936,0.2463793825802481,-0.6144162980077728,False,female
janitor,10,0.02791699068620801,0.045838177170410915,1.9259333908048792,0.08623278390308683,0.2463793825802481,0.6090336136714607,False,male
lawyer,10,0.34019901752471926,0.6608499534274085,1.6279092516389546,0.13798586467594975,0.3679623058025327,0.5147901059239292,False,male
accountant,10,0.22499094009399415,0.46382971031534204,1.5339332685605807,0.15941448857811158,0.39600716378460116,0.4850722907358187,False,male
sheriff,10,0.13881702423095704,0.2929990565186357,1.4982231676527176,0.1683030446084555,0.39600716378460116,0.47377976530148935,False,male
editor,10,0.22069249153137208,0.481279343860189,1.4500745661324157,0.1809759377563953,0.40216875056976736,0.4585538406058893,False,male
sewer,10,0.22390279769897461,0.5417542912075919,1.306944544240548,0.22363633126293703,0.47081332897460426,0.41329215353308296,False,male
clerk,10,0.10318976640701294,0.2657986224020966,1.2276763894330724,0.25070868422072295,0.5014173684414459,0.388225362022038,False,male
analyst,10,-0.15005178451538087,0.4017089277614258,-1.181216978884762,0.26778863868709823,0.5100735974992348,-0.3735336064138867,False,female
baker,10,-0.09879218380665407,0.2973266952095989,-1.0507240718187105,0.3207788148795049,0.5832342088718271,-0.3322681259313464,False,female
teacher,10,0.1160663366317749,0.3728264784247848,0.9844632950400577,0.35061163416428476,0.6097593637639735,0.31131462851609265,False,male
librarian,10,-0.016490178561070934,0.055225731186680706,-0.9442432387104152,0.36970218247293785,0.616170304121563,-0.2985959299538984,False,female
farmer,10,0.11772708892822266,0.40952227931280394,0.909073235134084,0.38700789622725723,0.6192126339636116,0.28747419829215104,False,male
supervisor,10,0.08015960454940796,0.2933897470382728,0.8639938146218072,0.4100264048642299,0.6308098536372768,0.2732188338502201,False,male
constructor,10,0.10726079940795899,0.40753730603829136,0.8322880500852136,0.42677833770162793,0.6322642040024117,0.2631925907609572,False,male
cook,10,-0.1040412187576294,0.5239076148173869,-0.627987096405578,0.5456153098046724,0.7794504425781035,-0.19858695658373657,False,female
carpenter,10,0.0014727473142556846,0.00786320325413604,0.5922822773904551,0.5682411465737014,0.7837808918257949,0.18729610143054873,False,male
manager,10,-0.05906316041946411,0.35770985472596906,-0.5221385719901251,0.6141803564237319,0.8189071418983093,-0.16511471417165918,False,female
cashier,10,-0.0068796643055975435,0.04547991726721392,-0.4783519858936112,0.6438056620511338,0.8307169832917856,-0.15126817986885466,False,female
CEO,10,0.07472929954528809,0.6046937063434303,0.39080081706337905,0.7050342434041122,0.8812928042551403,0.1235820693375073,False,male
laborer,10,0.043058207631111144,0.38170695862565385,0.3567186948045416,0.7295227529497529,0.884270003575458,0.1128043559544824,False,male
cleaner,10,-0.036979961395263675,0.49442282150682604,-0.2365200405550392,0.8183244418291264,0.9627346374460312,-0.07479420404293195,False,female
mover,10,-0.031919163465499875,0.5046661912731844,-0.20000796428143117,0.8459205940208221,0.9656579651183835,-0.0632480717302925,False,female
secretary,10,-0.009712278842926025,0.19088127352813872,-0.1609006574957885,0.8757254314539898,0.9656579651183835,-0.050881255470533585,False,female
auditor,10,0.016118884086608887,0.43572414740614074,0.11698315862768849,0.9094423523117671,0.9656579651183835,0.03699332291442731,False,male
attendant,10,0.007400631904602051,0.22361105778616916,0.1046587461941694,0.9189418988316359,0.9656579651183835,0.03309600150310543,False,male
driver,10,0.00792553424835205,0.3322298840601889,0.07543794553388988,0.9415165159904239,0.9656579651183835,0.02385557298908189,False,male
assistant,10,0.005601024627685547,0.6291141693489956,0.028153864460740422,0.9781538421941807,0.9781538421941807,0.008903033663160793,False,male
