Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
constructor,10,0.5476249396800995,0.19095134328513239,9.069022941177025,8.020417730483049e-06,0.00022772954403273716,2.8678768646438635,True,male
cleaner,10,-0.6092216014862061,0.2217514252955373,-8.687781185190891,1.1386477201636858e-05,0.00022772954403273716,-2.7473176358360325,True,female
sewer,10,0.5496283531188965,0.2237397623215317,7.768299404757877,2.7971424825663455e-05,0.0003729523310088461,2.4565519665165154,True,male
designer,10,-0.5316037178039551,0.25413228909720503,-6.614974298802673,9.758063632569693e-05,0.0009758063632569693,-2.091838544769169,True,female
attendant,10,-0.5815371036529541,0.30281907782034334,-6.072872966516965,0.00018525130823082603,0.0014820104658466082,-1.9204110515057071,True,female
laborer,10,-0.41245293617248535,0.3088863428296206,-4.222558673138042,0.002230998727692543,0.01487332485128362,-1.3352902960814663,True,female
receptionist,10,-0.5689438343048095,0.45128291812218657,-3.986763745898111,0.0031732033044636456,0.01704779127913964,-1.2607253930022804,True,female
baker,10,-0.529878044128418,0.4253597498348093,-3.9393043234855853,0.0034095582558279283,0.01704779127913964,-1.2457174058763174,True,female
janitor,10,0.10564665701240301,0.1059506655883815,3.1532040076058627,0.011677189345004904,0.04484869143863112,0.9971306591205424,True,male
nurse,10,-0.679537320137024,0.6827642617381564,-3.1473318202822216,0.011788063092312083,0.04484869143863112,-0.995273710441555,True,female
auditor,10,0.19328739643096923,0.19595320949104086,3.119256976261515,0.012333390145623558,0.04484869143863112,0.9863956652356157,True,male
clerk,10,-0.17707674503326415,0.18920112586056564,-2.959632678754236,0.015969043007532737,0.04925239585085707,-0.9359180302328818,True,female
analyst,10,0.3490562438964844,0.3731403967717994,2.9581700929883343,0.01600702865152855,0.04925239585085707,0.9354555200035227,True,male
CEO,10,-0.5980630874633789,0.669652583957868,-2.824213011587155,0.019909594884901766,0.05688455681400505,-0.8930945714098921,False,female
cashier,10,-0.2698783304542303,0.31808317706004463,-2.683041031113223,0.02508080320536675,0.066882141880978,-0.848452071400448,False,female
writer,10,-0.2422791004180908,0.2966976882526155,-2.582270833622062,0.0295862063129081,0.07271107018828724,-0.8165857369667424,False,female
lawyer,10,-0.17347354888916017,0.2146426888968667,-2.5557429004530436,0.03090220483002207,0.07271107018828724,-0.8081968679236597,False,female
salesperson,10,-0.35181225687265394,0.4439386440824977,-2.506040092051708,0.03352789494594089,0.07450643321320198,-0.7924794598581424,False,female
cook,10,-0.40143237113952634,0.5455503853506111,-2.3268989508771205,0.0449749209049554,0.09468404401043241,-0.7358300569827958,False,female
librarian,10,-0.3743033170700073,0.5231191976667807,-2.2626793720756817,0.04995734111068773,0.09761675187631542,-0.7155220430438743,False,female
editor,10,-0.7366715192794799,1.0367144099138217,-2.2470603919679744,0.05124879473506559,0.09761675187631542,-0.7105828878569526,False,female
supervisor,10,-0.16564741134643554,0.23757669913058596,-2.2048589372715863,0.054903757638440256,0.09982501388807319,-0.6972376161156533,False,female
counselor,10,-0.26540722846984866,0.4072115435836249,-2.0610696397535957,0.06935993018972872,0.1206259655473543,-0.6517674477844086,False,female
hairdresser,10,-0.003964476066357747,0.007355062696653827,-1.7045094808802785,0.1224808386546057,0.20413473109100952,-0.5390132252932907,False,female
assistant,10,0.23264150619506835,0.4750287957788098,1.548699877577833,0.15586212883811967,0.24937940614099147,0.48974190251698857,False,male
teacher,10,-0.11748738288879394,0.258406951524436,-1.4377621192816428,0.18434727258401146,0.2836111885907868,-0.45466030304406835,False,female
sheriff,10,-0.07813239097595215,0.1859250031344397,-1.3289031079920846,0.21658411398232977,0.32027428940860064,-0.42023606109316963,False,female
farmer,10,-0.16366112232208252,0.3965111655592621,-1.3052391859564285,0.22419200258602046,0.32027428940860064,-0.4127528718926376,False,female
manager,10,-0.09520268440246582,0.24231182199753548,-1.2424376144430966,0.24547204663397204,0.33858213328823733,-0.3928932712306299,False,female
physician,10,-0.1231579065322876,0.4107297099584811,-0.9482135990102278,0.367784450644737,0.4678041601680808,-0.2998514681217901,False,female
chief,10,-0.07266802787780761,0.24494786235155602,-0.9381444645419019,0.3726621487929395,0.4678041601680808,-0.2966673282231483,False,female
secretary,10,0.16911191940307618,0.5720165517650293,0.9349009974386504,0.37424332813446465,0.4678041601680808,0.29564165386693797,False,male
driver,10,-0.0429085373878479,0.16925040417030732,-0.8017039006628016,0.443375727320749,0.5374251240251502,-0.25352103351358274,False,female
accountant,10,0.07940645217895508,0.3817759702725199,0.6577293212548029,0.5271746296611516,0.6202054466601784,0.20799227390417746,False,male
mechanic,10,0.1078524112701416,0.656500771021865,0.5195108456978522,0.615938279866054,0.7039294627040616,0.16428375415655,False,male
housekeeper,10,-0.060307979583740234,0.5265127984034171,-0.36221451244083325,0.7255510415209964,0.8061678239122182,-0.11454228608804284,False,female
carpenter,10,-0.016897296905517577,0.21557034699668645,-0.24787242431989892,0.809795827636183,0.8754549487958735,-0.07838414299985938,False,female
mover,10,-0.00871713161468506,0.19903869532302554,-0.13849563533929143,0.892898039978791,0.9398926736618853,-0.04379616536642676,False,female
developer,10,-0.0044634342193603516,0.17836516710105962,-0.07913326659524923,0.9386581882308155,0.948724594247459,-0.025024136113030532,False,female
guard,10,-0.008069610595703125,0.38591599702067986,-0.06612410345788958,0.948724594247459,0.948724594247459,-0.02091027751635469,False,female
