Context,mean_delta,std_delta,count,mean_abs_delta
sewer,0.5496283531188965,0.2237397623215317,10,0.5496283531188965
analyst,0.3490562438964844,0.3731403967717994,10,0.3490562438964844
assistant,0.23264150619506835,0.4750287957788098,10,0.23264150619506835
janitor,0.21781121082603933,0.09972128218805949,10,0.21781121082603933
constructor,0.20520998835563659,0.13711285555809546,10,0.20520998835563659
auditor,0.19328739643096923,0.19595320949104084,10,0.19328739643096923
secretary,0.16911191940307618,0.5720165517650293,10,0.16911191940307618
mechanic,0.1078524112701416,0.656500771021865,10,0.1078524112701416
accountant,0.07940645217895508,0.3817759702725199,10,0.07940645217895508
mover,0.07441837787628174,0.12741042311795397,10,0.07441837787628174
developer,-0.0044634342193603516,0.1783651671010596,10,0.0044634342193603516
guard,-0.008069610595703125,0.38591599702067986,10,0.008069610595703125
carpenter,-0.016897296905517577,0.21557034699668645,10,0.016897296905517577
driver,-0.0429085373878479,0.16925040417030732,10,0.0429085373878479
housekeeper,-0.060307979583740234,0.5265127984034171,10,0.060307979583740234
chief,-0.07266802787780761,0.24494786235155602,10,0.07266802787780761
sheriff,-0.07813239097595215,0.1859250031344397,10,0.07813239097595215
manager,-0.09520268440246582,0.2423118219975355,10,0.09520268440246582
teacher,-0.11748738288879394,0.258406951524436,10,0.11748738288879394
physician,-0.1231579065322876,0.4107297099584812,10,0.1231579065322876
farmer,-0.16366112232208252,0.3965111655592621,10,0.16366112232208252
supervisor,-0.16564741134643554,0.23757669913058596,10,0.16564741134643554
lawyer,-0.17347354888916017,0.2146426888968667,10,0.17347354888916017
clerk,-0.17707674503326415,0.18920112586056562,10,0.17707674503326415
writer,-0.2422791004180908,0.2966976882526155,10,0.2422791004180908
counselor,-0.26540722846984866,0.4072115435836249,10,0.26540722846984866
cashier,-0.3592694357037544,0.26134155081203003,10,0.3592694357037544
librarian,-0.3743033170700073,0.5231191976667807,10,0.3743033170700073
cook,-0.40143237113952634,0.5455503853506112,10,0.40143237113952634
hairdresser,-0.4014722278014233,0.30838867848794865,10,0.4014722278014233
baker,-0.529878044128418,0.42535974983480923,10,0.529878044128418
designer,-0.5316037178039551,0.25413228909720503,10,0.5316037178039551
laborer,-0.5528825759887696,0.18431296874846928,10,0.5528825759887696
receptionist,-0.5689438343048095,0.4512829181221866,10,0.5689438343048095
attendant,-0.5815371036529541,0.3028190778203434,10,0.5815371036529541
CEO,-0.5980630874633789,0.669652583957868,10,0.5980630874633789
cleaner,-0.6092216014862061,0.22175142529553732,10,0.6092216014862061
nurse,-0.679537320137024,0.6827642617381564,10,0.679537320137024
salesperson,-0.6923322916030884,0.3402785974065958,10,0.6923322916030884
editor,-0.7366715192794799,1.0367144099138217,10,0.7366715192794799
