Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
laborer,10,-0.5528825759887696,0.18431296874846925,-9.485866516162622,5.542387131090544e-06,0.00022169548524362176,-2.9996943771400315,True,female
cleaner,10,-0.6092216014862061,0.2217514252955373,-8.687781185190891,1.1386477201636858e-05,0.00022772954403273716,-2.7473176358360325,True,female
sewer,10,0.5496283531188965,0.2237397623215317,7.768299404757877,2.7971424825663455e-05,0.0003729523310088461,2.4565519665165154,True,male
janitor,10,0.21781121082603933,0.09972128218805949,6.907046429973429,7.011656501256395e-05,0.0007011656501256394,2.184199862325073,True,male
designer,10,-0.5316037178039551,0.25413228909720503,-6.614974298802673,9.758063632569693e-05,0.0007806450906055754,-2.091838544769169,True,female
salesperson,10,-0.6923322916030884,0.34027859740659583,-6.4339836705439195,0.00012037653035487012,0.0008025102023658009,-2.034604282724919,True,female
attendant,10,-0.5815371036529541,0.30281907782034334,-6.072872966516965,0.00018525130823082603,0.0010585789041761488,-1.9204110515057071,True,female
constructor,10,0.20520998835563659,0.13711285555809546,4.732823623132021,0.0010696489527144476,0.005348244763572238,1.4966502412947558,True,male
cashier,10,-0.3592694357037544,0.26134155081203003,-4.347221890193916,0.001857771493066112,0.008256762191404941,-1.3747122667155176,True,female
hairdresser,10,-0.4014722278014233,0.30838867848794865,-4.11677453069693,0.002610476405773911,0.010441905623095644,-1.3018384130373066,True,female
receptionist,10,-0.5689438343048095,0.45128291812218657,-3.986763745898111,0.0031732033044636456,0.011365194186093094,-1.2607253930022804,True,female
baker,10,-0.529878044128418,0.4253597498348093,-3.9393043234855853,0.0034095582558279283,0.011365194186093094,-1.2457174058763174,True,female
nurse,10,-0.679537320137024,0.6827642617381564,-3.1473318202822216,0.011788063092312083,0.03523825755892445,-0.995273710441555,True,female
auditor,10,0.19328739643096923,0.19595320949104086,3.119256976261515,0.012333390145623558,0.03523825755892445,0.9863956652356157,True,male
clerk,10,-0.17707674503326415,0.18920112586056564,-2.959632678754236,0.015969043007532737,0.04001757162882137,-0.9359180302328818,True,female
analyst,10,0.3490562438964844,0.3731403967717994,2.9581700929883343,0.01600702865152855,0.04001757162882137,0.9354555200035227,True,male
CEO,10,-0.5980630874633789,0.669652583957868,-2.824213011587155,0.019909594884901766,0.046846105611533566,-0.8930945714098921,True,female
writer,10,-0.2422791004180908,0.2966976882526155,-2.582270833622062,0.0295862063129081,0.06505727332636226,-0.8165857369667424,False,female
lawyer,10,-0.17347354888916017,0.2146426888968667,-2.5557429004530436,0.03090220483002207,0.06505727332636226,-0.8081968679236597,False,female
cook,10,-0.40143237113952634,0.5455503853506111,-2.3268989508771205,0.0449749209049554,0.0899498418099108,-0.7358300569827958,False,female
librarian,10,-0.3743033170700073,0.5231191976667807,-2.2626793720756817,0.04995734111068773,0.09317962679102836,-0.7155220430438743,False,female
editor,10,-0.7366715192794799,1.0367144099138217,-2.2470603919679744,0.05124879473506559,0.09317962679102836,-0.7105828878569526,False,female
supervisor,10,-0.16564741134643554,0.23757669913058596,-2.2048589372715863,0.054903757638440256,0.09548479589293957,-0.6972376161156533,False,female
counselor,10,-0.26540722846984866,0.4072115435836249,-2.0610696397535957,0.06935993018972872,0.11559988364954787,-0.6517674477844086,False,female
mover,10,0.07441837787628174,0.12741042311795397,1.8470354944686849,0.09781120130675536,0.15649792209080857,0.5840839081696378,False,male
assistant,10,0.23264150619506835,0.4750287957788098,1.548699877577833,0.15586212883811967,0.23978789052018412,0.48974190251698857,False,male
teacher,10,-0.11748738288879394,0.258406951524436,-1.4377621192816428,0.18434727258401146,0.2731070704948318,-0.45466030304406835,False,female
sheriff,10,-0.07813239097595215,0.1859250031344397,-1.3289031079920846,0.21658411398232977,0.30923034839451097,-0.42023606109316963,False,female
farmer,10,-0.16366112232208252,0.3965111655592621,-1.3052391859564285,0.22419200258602046,0.30923034839451097,-0.4127528718926376,False,female
manager,10,-0.09520268440246582,0.24231182199753548,-1.2424376144430966,0.24547204663397204,0.32729606217862944,-0.3928932712306299,False,female
physician,10,-0.1231579065322876,0.4107297099584811,-0.9482135990102278,0.367784450644737,0.4536282765266238,-0.2998514681217901,False,female
chief,10,-0.07266802787780761,0.24494786235155602,-0.9381444645419019,0.3726621487929395,0.4536282765266238,-0.2966673282231483,False,female
secretary,10,0.16911191940307618,0.5720165517650293,0.9349009974386504,0.37424332813446465,0.4536282765266238,0.29564165386693797,False,male
driver,10,-0.0429085373878479,0.16925040417030732,-0.8017039006628016,0.443375727320749,0.5216185027302929,-0.25352103351358274,False,female
accountant,10,0.07940645217895508,0.3817759702725199,0.6577293212548029,0.5271746296611516,0.6024852910413161,0.20799227390417746,False,male
mechanic,10,0.1078524112701416,0.656500771021865,0.5195108456978522,0.615938279866054,0.6843758665178377,0.16428375415655,False,male
housekeeper,10,-0.060307979583740234,0.5265127984034171,-0.36221451244083325,0.7255510415209964,0.7843795043470231,-0.11454228608804284,False,female
carpenter,10,-0.016897296905517577,0.21557034699668645,-0.24787242431989892,0.809795827636183,0.8524166606696663,-0.07838414299985938,False,female
developer,10,-0.0044634342193603516,0.17836516710105962,-0.07913326659524923,0.9386581882308155,0.948724594247459,-0.025024136113030532,False,female
guard,10,-0.008069610595703125,0.38591599702067986,-0.06612410345788958,0.948724594247459,0.948724594247459,-0.02091027751635469,False,female
