Context,mean_delta,std_delta,count,mean_abs_delta
constructor,0.6655882835388184,0.5195060202450367,10,0.6655882835388184
laborer,0.6529817644041032,0.5671063465814243,10,0.6529817644041032
developer,0.5945398688316346,0.3161607443284925,10,0.5945398688316346
guard,0.5719123840332031,0.25572267066838716,10,0.5719123840332031
sheriff,0.42177557945251465,0.682457354560566,10,0.42177557945251465
analyst,0.36643552780151367,0.37456438588108104,10,0.36643552780151367
mechanic,0.3275951981544495,0.48777530799816465,10,0.3275951981544495
chief,0.32008934020996094,0.2842374551125806,10,0.32008934020996094
sewer,0.17022008895874025,0.32614958318765935,10,0.17022008895874025
driver,0.14704807996749877,0.5022261110400453,10,0.14704807996749877
auditor,0.06555397510528564,0.5774034931894161,10,0.06555397510528564
carpenter,0.06520688704622443,0.10058821793130669,10,0.06520688704622443
manager,0.06377091407775878,0.9892413060543811,10,0.06377091407775878
mover,0.04802401065826416,0.32154450335700885,10,0.04802401065826416
writer,0.02528235912322998,0.2818401103206833,10,0.02528235912322998
hairdresser,0.006136543272231165,0.008429037575832927,10,0.006136543272231165
janitor,0.005172985910030547,0.00836733168226447,10,0.005172985910030547
physician,-0.09841200113296508,0.48564123395620185,10,0.09841200113296508
cook,-0.20183873176574707,0.3428663697847761,10,0.20183873176574707
cashier,-0.30702381720766425,0.3441339802029248,10,0.30702381720766425
housekeeper,-0.362509985268116,0.30578368860524924,10,0.362509985268116
secretary,-0.3643218994140625,0.33232547203811963,10,0.3643218994140625
lawyer,-0.36960558891296386,0.4044069961767415,10,0.36960558891296386
accountant,-0.42933175563812254,0.2662607555905327,10,0.42933175563812254
CEO,-0.5097662448883057,1.0166007212616377,10,0.5097662448883057
receptionist,-0.5603486433625221,0.40139279442168485,10,0.5603486433625221
farmer,-0.5832177817821502,0.9433074308964106,10,0.5832177817821502
salesperson,-0.6118631362915039,0.3712641888861957,10,0.6118631362915039
supervisor,-0.6396265029907227,0.644345013937501,10,0.6396265029907227
teacher,-0.6548239707946777,0.3734932173563271,10,0.6548239707946777
editor,-0.6608310103416443,1.0451085444692825,10,0.6608310103416443
baker,-0.6619798421859742,0.8259610577620107,10,0.6619798421859742
clerk,-0.697120213508606,0.387665065672812,10,0.697120213508606
assistant,-0.748924446105957,0.4425888765626829,10,0.748924446105957
librarian,-0.7559777315706014,1.3841567109557569,10,0.7559777315706014
designer,-0.7619999885559082,0.6116766466448352,10,0.7619999885559082
attendant,-0.8999203681945801,1.2793803755569302,10,0.8999203681945801
cleaner,-0.9485888719558716,0.38319857175511296,10,0.9485888719558716
nurse,-1.082297396659851,0.46488562801164807,10,1.082297396659851
counselor,-1.6906076431274415,1.0210341093634598,10,1.6906076431274415
