Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
cleaner,10,-0.9485888719558716,0.38319857175511296,-7.828059965701978,2.6319549165167716e-05,0.000778845079928352,-2.475449915199781,True,female
nurse,10,-1.082297396659851,0.4648856280116481,-7.362079343588758,4.272008132412252e-05,0.000778845079928352,-2.328093904061782,True,female
guard,10,0.5719123840332031,0.25572267066838716,7.072293398449213,5.84133809946264e-05,0.000778845079928352,2.2364555420072256,True,male
developer,10,0.5945398688316346,0.3161607443284925,5.9466590302946765,0.00021622946257657922,0.002162294625765792,1.8804987004139415,True,male
clerk,10,-0.697120213508606,0.387665065672812,-5.686578113000916,0.00029935760118196027,0.0023938890756532633,-1.7982538929545255,True,female
teacher,10,-0.6548239707946777,0.3734932173563271,-5.544237801274977,0.0003590833613479895,0.0023938890756532633,-1.7532419341632917,True,female
assistant,10,-0.748924446105957,0.442588876562683,-5.351031556572405,0.00046172391444703197,0.002468377877878893,-1.6921447550204942,True,female
counselor,10,-1.6906076431274415,1.0210341093634598,-5.236035439898056,0.0005375902336723753,0.002468377877878893,-1.655779789943954,True,female
salesperson,10,-0.6118631362915039,0.3712641888861957,-5.211601832053578,0.000555385022522751,0.002468377877878893,-1.6480532047195626,True,female
accountant,10,-0.42933175563812254,0.2662607555905327,-5.099009865889445,0.0006460160051254928,0.0025840640205019713,-1.6124484987880356,True,female
receptionist,10,-0.5603486433625221,0.4013927944216848,-4.414573508635044,0.0016843829951637326,0.006125029073322664,-1.3960107185527741,True,female
constructor,10,0.6655882835388184,0.5195060202450367,4.051492914195408,0.00287846766427199,0.009594892214239967,1.2811945532890625,True,male
designer,10,-0.7619999885559082,0.6116766466448353,-3.9394270716012056,0.0034089234372226954,0.010488995191454447,-1.2457562222387033,True,female
housekeeper,10,-0.362509985268116,0.3057836886052492,-3.748915559329324,0.004562302600028294,0.013035150285795128,-1.1855111923124766,True,female
laborer,10,0.6529817644041032,0.5671063465814243,3.6411330229681185,0.005391373609167773,0.014376996291114061,1.1514273616233441,True,male
chief,10,0.32008934020996094,0.2842374551125806,3.5611470325157515,0.006108299933716455,0.015270749834291138,1.126133570549948,True,male
secretary,10,-0.3643218994140625,0.33232547203811963,-3.466742999149491,0.007085055734974967,0.016670719376411687,-1.0962803939755563,True,female
supervisor,10,-0.6396265029907227,0.6443450139375009,-3.139120436268911,0.011944932429268031,0.02654429428726229,-0.9926770428191194,True,female
analyst,10,0.36643552780151367,0.37456438588108104,3.0936493888306544,0.012853523836095367,0.027060050181253407,0.9782978350692738,True,male
lawyer,10,-0.36960558891296386,0.4044069961767414,-2.890146579912368,0.017879999948749663,0.035759999897499326,-0.9139445964268926,True,female
cashier,10,-0.30702381720766425,0.34413398020292474,-2.8212690816609025,0.020005513959150678,0.03810574087457272,-0.8921636190260032,True,female
baker,10,-0.6619798421859742,0.8259610577620109,-2.5344585519547205,0.032000415481137495,0.058182573602068174,-0.8014661659469112,False,female
hairdresser,10,0.006136543272231165,0.008429037575832927,2.3022146390794322,0.046829376247012326,0.08144239347306492,0.7280241922073498,False,male
attendant,10,-0.8999203681945801,1.2793803755569302,-2.2243565171408948,0.0531845230890993,0.0886408718151655,-0.7034032922404594,False,female
mechanic,10,0.3275951981544495,0.48777530799816465,2.123820045245396,0.06264754337232945,0.10023606939572711,0.6716108683297313,False,male
carpenter,10,0.06520688704622443,0.1005882179313067,2.0499645628101018,0.07061780253998362,0.10864277313843634,0.6482557141111224,False,male
editor,10,-0.6608310103416443,1.0451085444692825,-1.9995350264895875,0.07661023279033971,0.10984920984930008,-0.6323084944992211,False,female
farmer,10,-0.5832177817821502,0.9433074308964106,-1.955138380061359,0.08228474511716416,0.10984920984930008,-0.618269042180583,False,female
janitor,10,0.005172985910030547,0.008367331682264468,1.9550339822585208,0.08229854783262974,0.10984920984930008,0.6182360286966145,False,male
sheriff,10,0.42177557945251465,0.682457354560566,1.9543660619879688,0.08238690738697506,0.10984920984930008,0.6180248137615804,False,male
cook,10,-0.20183873176574707,0.3428663697847761,-1.861571062861004,0.09557390868192553,0.12332117249280712,-0.588680458490126,False,female
librarian,10,-0.7559777315706014,1.3841567109557569,-1.7271248791473686,0.11821721778937987,0.14777152223672482,-0.5461648421648735,False,female
sewer,10,0.17022008895874025,0.3261495831876594,1.6504181282868051,0.13325443709599102,0.16152052981332246,0.5219080377018275,False,male
CEO,10,-0.5097662448883057,1.0166007212616377,-1.5856986665498671,0.14726905974701907,0.1732577173494342,-0.5014419468989434,False,female
driver,10,0.14704807996749877,0.5022261110400453,0.9258914421811039,0.3786609759086211,0.4327554010384241,0.29279258233503874,False,male
physician,10,-0.09841200113296508,0.4856412339562019,-0.6408147638948368,0.5376160284312295,0.5973511427013661,-0.20264342121707168,False,female
mover,10,0.04802401065826416,0.32154450335700885,0.4722993379479476,0.647955263778225,0.7004921770575405,0.14935416453051104,False,male
auditor,10,0.06555397510528564,0.5774034931894161,0.3590208120591929,0.7278580156780273,0.7661663322926603,0.11353234935102963,False,male
writer,10,0.02528235912322998,0.2818401103206833,0.28367090603525474,0.7830801363620437,0.8031591142174807,0.08970461689950095,False,male
manager,10,0.06377091407775878,0.9892413060543811,0.20385454562238828,0.8430020961524249,0.8430020961524249,0.06446446755454542,False,male
