Context,mean_delta,std_delta,count,mean_abs_delta
constructor,0.6655882835388184,0.5195060202450367,10,0.6655882835388184
developer,0.5945398688316346,0.3161607443284925,10,0.5945398688316346
guard,0.5719123840332031,0.25572267066838716,10,0.5719123840332031
sheriff,0.42177557945251465,0.682457354560566,10,0.42177557945251465
analyst,0.36643552780151367,0.37456438588108104,10,0.36643552780151367
mechanic,0.3275951981544495,0.48777530799816465,10,0.3275951981544495
chief,0.32008934020996094,0.2842374551125806,10,0.32008934020996094
laborer,0.3005310405045748,0.7066163052620542,10,0.3005310405045748
janitor,0.2462497460131999,0.44118326189149426,10,0.2462497460131999
sewer,0.17022008895874025,0.32614958318765935,10,0.17022008895874025
driver,0.14704807996749877,0.5022261110400453,10,0.14704807996749877
carpenter,0.11706659896299243,0.17171853514592753,10,0.11706659896299243
auditor,0.06555397510528564,0.5774034931894161,10,0.06555397510528564
manager,0.06377091407775878,0.9892413060543811,10,0.06377091407775878
writer,0.02528235912322998,0.2818401103206833,10,0.02528235912322998
mover,-0.006196236610412598,0.21417925755697984,10,0.006196236610412598
physician,-0.09841200113296508,0.48564123395620185,10,0.09841200113296508
cook,-0.20183873176574707,0.3428663697847761,10,0.20183873176574707
housekeeper,-0.30829351097345353,0.21561466716444133,10,0.30829351097345353
receptionist,-0.336670733243227,0.22658337819040583,10,0.336670733243227
secretary,-0.3643218994140625,0.33232547203811963,10,0.3643218994140625
lawyer,-0.36960558891296386,0.4044069961767415,10,0.36960558891296386
accountant,-0.42933175563812254,0.2662607555905327,10,0.42933175563812254
cashier,-0.509149918332696,0.2803739388443769,10,0.509149918332696
CEO,-0.5097662448883057,1.0166007212616377,10,0.5097662448883057
farmer,-0.5832177817821502,0.9433074308964106,10,0.5832177817821502
hairdresser,-0.6279216358205304,0.25451700460760607,10,0.6279216358205304
supervisor,-0.6396265029907227,0.644345013937501,10,0.6396265029907227
teacher,-0.6548239707946777,0.3734932173563271,10,0.6548239707946777
editor,-0.6608310103416443,1.0451085444692825,10,0.6608310103416443
baker,-0.6619798421859742,0.8259610577620107,10,0.6619798421859742
clerk,-0.697120213508606,0.387665065672812,10,0.697120213508606
assistant,-0.748924446105957,0.4425888765626829,10,0.748924446105957
designer,-0.7619999885559082,0.6116766466448352,10,0.7619999885559082
salesperson,-0.8568663179874421,0.5342111447963319,10,0.8568663179874421
attendant,-0.8999203681945801,1.2793803755569302,10,0.8999203681945801
librarian,-0.9055178263690322,1.2495702540894398,10,0.9055178263690322
cleaner,-0.9485888719558716,0.38319857175511296,10,0.9485888719558716
nurse,-1.082297396659851,0.46488562801164807,10,1.082297396659851
counselor,-1.6906076431274415,1.0210341093634598,10,1.6906076431274415
