Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
cleaner,10,-0.9485888719558716,0.38319857175511296,-7.828059965701978,2.6319549165167716e-05,0.0005406981160098012,-2.475449915199781,True,female
hairdresser,10,-0.6279216358205304,0.25451700460760607,-7.801689181251301,2.703490580049006e-05,0.0005406981160098012,-2.4671107409448325,True,female
nurse,10,-1.082297396659851,0.4648856280116481,-7.362079343588758,4.272008132412252e-05,0.0005696010843216336,-2.328093904061782,True,female
guard,10,0.5719123840332031,0.25572267066838716,7.072293398449213,5.84133809946264e-05,0.0005841338099462641,2.2364555420072256,True,male
developer,10,0.5945398688316346,0.3161607443284925,5.9466590302946765,0.00021622946257657922,0.0017106148638969157,1.8804987004139415,True,male
cashier,10,-0.509149918332696,0.2803739388443769,-5.742592977993292,0.00027888759547737863,0.0017106148638969157,-1.8159673485747991,True,female
clerk,10,-0.697120213508606,0.387665065672812,-5.686578113000916,0.00029935760118196027,0.0017106148638969157,-1.7982538929545255,True,female
teacher,10,-0.6548239707946777,0.3734932173563271,-5.544237801274977,0.0003590833613479895,0.0017954168067399476,-1.7532419341632917,True,female
assistant,10,-0.748924446105957,0.442588876562683,-5.351031556572405,0.00046172391444703197,0.0020521062864312534,-1.6921447550204942,True,female
counselor,10,-1.6906076431274415,1.0210341093634598,-5.236035439898056,0.0005375902336723753,0.002150360934689501,-1.655779789943954,True,female
accountant,10,-0.42933175563812254,0.2662607555905327,-5.099009865889445,0.0006460160051254928,0.002232772580842278,-1.6124484987880356,True,female
salesperson,10,-0.8568663179874421,0.5342111447963318,-5.072243889923857,0.0006698317742526834,0.002232772580842278,-1.6039843540031773,True,female
receptionist,10,-0.336670733243227,0.2265833781904058,-4.698695672517096,0.0011222302494316332,0.003453016152097333,-1.4858580357130655,True,female
housekeeper,10,-0.30829351097345353,0.2156146671644413,-4.521536940632614,0.001443607762864369,0.004124593608183911,-1.4298355256988595,True,female
constructor,10,0.6655882835388184,0.5195060202450367,4.051492914195408,0.00287846766427199,0.007675913771391973,1.2811945532890625,True,male
designer,10,-0.7619999885559082,0.6116766466448353,-3.9394270716012056,0.0034089234372226954,0.008522308593056738,-1.2457562222387033,True,female
chief,10,0.32008934020996094,0.2842374551125806,3.5611470325157515,0.006108299933716455,0.014372470432274012,1.126133570549948,True,male
secretary,10,-0.3643218994140625,0.33232547203811963,-3.466742999149491,0.007085055734974967,0.015744568299944372,-1.0962803939755563,True,female
supervisor,10,-0.6396265029907227,0.6443450139375009,-3.139120436268911,0.011944932429268031,0.025147226166880064,-0.9926770428191194,True,female
analyst,10,0.36643552780151367,0.37456438588108104,3.0936493888306544,0.012853523836095367,0.025707047672190737,0.9782978350692738,True,male
lawyer,10,-0.36960558891296386,0.4044069961767414,-2.890146579912368,0.017879999948749663,0.03405714275952317,-0.9139445964268926,True,female
baker,10,-0.6619798421859742,0.8259610577620109,-2.5344585519547205,0.032000415481137495,0.058182573602068174,-0.8014661659469112,False,female
librarian,10,-0.9055178263690322,1.2495702540894398,-2.2915868746392714,0.04765079580498326,0.08287094922605785,-0.7246633980006846,False,female
attendant,10,-0.8999203681945801,1.2793803755569302,-2.2243565171408948,0.0531845230890993,0.0886408718151655,-0.7034032922404594,False,female
carpenter,10,0.11706659896299243,0.17171853514592753,2.1558365282930336,0.05946912392570889,0.09515059828113422,0.6817353692396018,False,male
mechanic,10,0.3275951981544495,0.48777530799816465,2.123820045245396,0.06264754337232945,0.09638083595742993,0.6716108683297313,False,male
editor,10,-0.6608310103416443,1.0451085444692825,-1.9995350264895875,0.07661023279033971,0.11349664117087366,-0.6323084944992211,False,female
farmer,10,-0.5832177817821502,0.9433074308964106,-1.955138380061359,0.08228474511716416,0.11363711363720698,-0.618269042180583,False,female
sheriff,10,0.42177557945251465,0.682457354560566,1.9543660619879688,0.08238690738697506,0.11363711363720698,0.6180248137615804,False,male
cook,10,-0.20183873176574707,0.3428663697847761,-1.861571062861004,0.09557390868192553,0.12743187824256735,-0.588680458490126,False,female
janitor,10,0.2462497460131999,0.44118326189149426,1.765048989621908,0.1113725839275092,0.1437065599064635,0.5581574988984128,False,male
sewer,10,0.17022008895874025,0.3261495831876594,1.6504181282868051,0.13325443709599102,0.1665680463699888,0.5219080377018275,False,male
CEO,10,-0.5097662448883057,1.0166007212616377,-1.5856986665498671,0.14726905974701907,0.17850795120850796,-0.5014419468989434,False,female
laborer,10,0.3005310405045748,0.7066163052620542,1.3449485788787816,0.2115503591726525,0.24888277549723825,0.4253100845063581,False,male
driver,10,0.14704807996749877,0.5022261110400453,0.9258914421811039,0.3786609759086211,0.4327554010384241,0.29279258233503874,False,male
physician,10,-0.09841200113296508,0.4856412339562019,-0.6408147638948368,0.5376160284312295,0.5973511427013661,-0.20264342121707168,False,female
auditor,10,0.06555397510528564,0.5774034931894161,0.3590208120591929,0.7278580156780273,0.7868735304627322,0.11353234935102963,False,male
writer,10,0.02528235912322998,0.2818401103206833,0.28367090603525474,0.7830801363620437,0.8242948803810985,0.08970461689950095,False,male
manager,10,0.06377091407775878,0.9892413060543811,0.20385454562238828,0.8430020961524249,0.8646175345153077,0.06446446755454542,False,male
mover,10,-0.006196236610412598,0.21417925755697984,-0.09148514582469496,0.9291109977177784,0.9291109977177785,-0.028930143287867936,False,female
