Context,mean_delta,std_delta,count,mean_abs_delta
mechanic,0.7994140625,0.9619893754886589,10,0.7994140625
analyst,0.559765625,0.46820008976503796,10,0.559765625
janitor,0.40199737548828124,0.3245662174381817,10,0.40199737548828124
driver,0.38125,0.49574999709991524,10,0.38125
auditor,0.309375,0.7805895645980511,10,0.309375
constructor,0.24140625,0.6084890505967882,10,0.24140625
writer,0.241259765625,0.3463568015703444,10,0.241259765625
guard,0.236328125,0.4911159038357789,10,0.236328125
lawyer,0.2208984375,0.3423915337970656,10,0.2208984375
developer,0.2111328125,0.3414518968380102,10,0.2111328125
secretary,0.2078125,0.445224162778176,10,0.2078125
carpenter,0.2029296875,0.42366003091028914,10,0.2029296875
laborer,0.183984375,0.7295628806340445,10,0.183984375
manager,0.169921875,0.48167316718373365,10,0.169921875
sheriff,0.15390625,0.9958770529541758,10,0.15390625
sewer,0.1515625,0.3071415593826404,10,0.1515625
CEO,0.1431640625,0.4651117942899411,10,0.1431640625
clerk,0.113671875,0.3065262912732829,10,0.113671875
accountant,0.0501953125,0.6526737680383298,10,0.0501953125
assistant,0.0390625,0.5075453357042491,10,0.0390625
chief,0.03828125,0.32936171535248376,10,0.03828125
cleaner,0.020703125,0.2955703354329287,10,0.020703125
mover,-0.0109375,0.25764014651347744,10,0.0109375
farmer,-0.0576171875,0.726338013455195,10,0.0576171875
cashier,-0.0701171875,0.4051409327814694,10,0.0701171875
baker,-0.0953125,0.7662336149221847,10,0.0953125
nurse,-0.102734375,0.360400754838276,10,0.102734375
physician,-0.1076171875,0.323855702128778,10,0.1076171875
cook,-0.1783203125,0.23690412402152716,10,0.1783203125
designer,-0.202734375,0.23466200598510062,10,0.202734375
attendant,-0.203515625,1.2492177592545233,10,0.203515625
editor,-0.2138671875,0.7986109489403896,10,0.2138671875
receptionist,-0.238671875,0.6578329381639537,10,0.238671875
housekeeper,-0.25234375,0.2624542680897791,10,0.25234375
supervisor,-0.33125,0.759479213099482,10,0.33125
teacher,-0.432421875,0.41968632363118,10,0.432421875
librarian,-0.658203125,0.7105421147563653,10,0.658203125
counselor,-0.705859375,0.501503443055247,10,0.705859375
salesperson,-0.9296875,1.0619669056836758,10,0.9296875
hairdresser,-1.16015625,1.730172351246361,10,1.16015625
