Context,mean_delta,std_delta,count,mean_abs_delta
mechanic,0.7994140625,0.9619893754886589,10,0.7994140625
analyst,0.559765625,0.46820008976503796,10,0.559765625
janitor,0.41527862548828126,0.35439795103598765,10,0.41527862548828126
driver,0.38125,0.49574999709991524,10,0.38125
auditor,0.309375,0.7805895645980511,10,0.309375
constructor,0.24140625,0.6084890505967882,10,0.24140625
writer,0.241259765625,0.3463568015703444,10,0.241259765625
guard,0.236328125,0.4911159038357789,10,0.236328125
lawyer,0.2208984375,0.3423915337970656,10,0.2208984375
developer,0.2111328125,0.3414518968380102,10,0.2111328125
secretary,0.2078125,0.445224162778176,10,0.2078125
manager,0.169921875,0.48167316718373365,10,0.169921875
sheriff,0.15390625,0.9958770529541758,10,0.15390625
sewer,0.1515625,0.3071415593826404,10,0.1515625
CEO,0.1431640625,0.4651117942899411,10,0.1431640625
laborer,0.1375,0.8051167780258219,10,0.1375
clerk,0.113671875,0.3065262912732829,10,0.113671875
carpenter,0.0861328125,0.4395495168204462,10,0.0861328125
accountant,0.0501953125,0.6526737680383298,10,0.0501953125
assistant,0.0390625,0.5075453357042491,10,0.0390625
chief,0.03828125,0.32936171535248376,10,0.03828125
cleaner,0.020703125,0.2955703354329287,10,0.020703125
mover,0.00546875,0.2562571454796432,10,0.00546875
farmer,-0.0576171875,0.726338013455195,10,0.0576171875
baker,-0.0953125,0.7662336149221847,10,0.0953125
nurse,-0.102734375,0.360400754838276,10,0.102734375
physician,-0.1076171875,0.323855702128778,10,0.1076171875
cook,-0.1783203125,0.23690412402152716,10,0.1783203125
designer,-0.202734375,0.23466200598510062,10,0.202734375
attendant,-0.203515625,1.2492177592545233,10,0.203515625
editor,-0.2138671875,0.7986109489403896,10,0.2138671875
housekeeper,-0.238671875,0.31255126532623617,10,0.238671875
cashier,-0.2845703125,0.37556477156046103,10,0.2845703125
supervisor,-0.33125,0.759479213099482,10,0.33125
receptionist,-0.342578125,0.5706128216590943,10,0.342578125
teacher,-0.432421875,0.41968632363118,10,0.432421875
librarian,-0.63671875,0.8780310071038289,10,0.63671875
counselor,-0.705859375,0.501503443055247,10,0.705859375
salesperson,-0.800390625,1.0208739395888622,10,0.800390625
hairdresser,-1.5017578125,1.4404380222805002,10,1.5017578125
