Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
counselor,10,-0.705859375,0.501503443055247,-4.450863426150033,0.0015982017714246592,0.06392807085698637,-1.4074865980974742,False,female
analyst,10,0.559765625,0.4682000897650379,3.7807218955383304,0.00434418778490818,0.0650498731640372,1.1955692389570312,False,male
janitor,10,0.41527862548828126,0.35439795103598765,3.7055132973770215,0.00487874048730279,0.0650498731640372,1.1717861919752224,False,male
hairdresser,10,-1.5017578125,1.4404380222805002,-3.2968965745110714,0.009275711890331804,0.0789319484881164,-1.0425702385462017,False,female
teacher,10,-0.432421875,0.41968632363117997,-3.25823825577487,0.00986649356101455,0.0789319484881164,-1.0303454047742857,False,female
designer,10,-0.202734375,0.23466200598510062,-2.732024651026823,0.023147712196454808,0.13736240004461328,-0.8639420520971435,False,female
mechanic,10,0.7994140625,0.961989375488659,2.627855666060837,0.027455009822736843,0.13736240004461328,0.8310009266931081,False,male
salesperson,10,-0.800390625,1.0208739395888622,-2.479304539662402,0.03503139021923721,0.13736240004461328,-0.7840249358528462,False,female
driver,10,0.38125,0.49574999709991524,2.4319079475379395,0.03786388043044391,0.13736240004461328,0.7690368174085163,False,male
housekeeper,10,-0.238671875,0.3125512653262361,-2.4147934184019606,0.038941717122769594,0.13736240004461328,-0.7636247280934154,False,female
cashier,10,-0.2845703125,0.3755647715604611,-2.3960989158457684,0.04015388954875426,0.13736240004461328,-0.7577130073132746,False,female
cook,10,-0.1783203125,0.23690412402152713,-2.380280811497201,0.041208720013383986,0.13736240004461328,-0.752710883512506,False,female
librarian,10,-0.63671875,0.8780310071038288,-2.293178102646707,0.04752691412252095,0.146236658838526,-0.7251665884786992,False,female
writer,10,0.241259765625,0.3463568015703444,2.2027295657955976,0.05509477131492695,0.15741363232836272,0.6965642497307812,False,male
lawyer,10,0.2208984375,0.3423915337970656,2.040185358340007,0.07174359774161443,0.19131626064430515,0.6451632581281225,False,male
developer,10,0.2111328125,0.34145189683801025,1.955357643287649,0.0822557628861368,0.205639407215342,0.6183383793008023,False,male
receptionist,10,-0.342578125,0.5706128216590944,-1.8985327886604888,0.09009919992112382,0.2119981174614678,-0.6003687824678238,False,female
sewer,10,0.1515625,0.3071415593826404,1.560461921312883,0.1530831040466066,0.3401846756591258,0.4934613873311158,False,male
guard,10,0.236328125,0.4911159038357789,1.5217083061657006,0.1624095315541982,0.34191480327199625,0.481206418188046,False,male
secretary,10,0.2078125,0.445224162778176,1.476022375230247,0.1740464235773724,0.3480928471547448,0.4667592583099278,False,male
supervisor,10,-0.33125,0.759479213099482,-1.3792404806654874,0.20112439907709556,0.383094093480182,-0.4361541360008368,False,female
constructor,10,0.24140625,0.608489050596788,1.2545724375012317,0.24123480572809014,0.42029359157973933,0.3967306392173136,False,male
auditor,10,0.309375,0.7805895645980511,1.2533214578885172,0.24166881515835012,0.42029359157973933,0.3963350447290523,False,male
clerk,10,0.113671875,0.3065262912732829,1.1726955929580436,0.2710211835042325,0.45170197250705413,0.37083890757891325,False,male
manager,10,0.169921875,0.48167316718373365,1.1155700294209165,0.2935056572557475,0.469609051609196,0.35277421823911465,False,male
physician,10,-0.1076171875,0.323855702128778,-1.0508242579779519,0.3207352208285248,0.4934388012746535,-0.3322998075766691,False,female
CEO,10,0.1431640625,0.46511179428994115,0.9733670961276043,0.35580402473771566,0.5271170736855046,0.307805702322729,False,male
nurse,10,-0.102734375,0.360400754838276,-0.9014260226498222,0.39084651283496386,0.5583521611928055,-0.28505593737199686,False,female
editor,10,-0.2138671875,0.7986109489403896,-0.8468546921021156,0.4190244159908221,0.5779647117114787,-0.2677989674243292,False,female
carpenter,10,0.0861328125,0.4395495168204462,0.6196704998028377,0.5508383583183553,0.7344511444244737,0.1959570178191888,False,male
laborer,10,0.1375,0.8051167780258219,0.5400622495277408,0.6022593523122054,0.7718001426919425,0.17078267867818558,False,male
attendant,10,-0.203515625,1.2492177592545235,-0.5151807278314395,0.6188407347761172,0.7718001426919425,-0.1629144506570647,False,female
sheriff,10,0.15390625,0.995877052954176,0.4887092183634081,0.6367351177208527,0.7718001426919425,0.15454342435489554,False,male
baker,10,-0.0953125,0.7662336149221847,-0.39335860971775294,0.7032103942676707,0.8248063579802222,-0.12439091439453424,False,female
chief,10,0.03828125,0.3293617153524838,0.3675470949887614,0.7217055632326944,0.8248063579802222,0.11622859675427456,False,male
farmer,10,-0.0576171875,0.726338013455195,-0.2508495239100164,0.8075635772559577,0.8509196372442644,-0.07932558455245188,False,female
assistant,10,0.0390625,0.5075453357042491,0.24338017199769368,0.813167586325603,0.8509196372442644,0.07696356808362445,False,male
accountant,10,0.0501953125,0.6526737680383299,0.24320192282432698,0.8133014596028858,0.8509196372442644,0.07690720074573636,False,male
cleaner,10,0.020703125,0.29557033543292877,0.22150067795971293,0.8296466463131578,0.8509196372442644,0.07004466456241507,False,male
mover,10,0.00546875,0.2562571454796432,0.06748575116481824,0.9476704768092148,0.9476704768092148,0.021340868328818687,False,male
