Context,mean_delta,std_delta,count,mean_abs_delta
analyst,0.7926540613174439,0.41812728460810655,10,0.7926540613174439
sewer,0.7586092948913574,0.3509476809566435,10,0.7586092948913574
mechanic,0.683201813697815,0.7783299020827907,10,0.683201813697815
laborer,0.53886732859537,0.6270947978189516,10,0.53886732859537
guard,0.4256440281867981,0.9796931817145617,10,0.4256440281867981
chief,0.28003973960876466,0.3271758093573947,10,0.28003973960876466
developer,0.1746959686279297,0.37061659596365737,10,0.1746959686279297
sheriff,0.15861163139343262,0.4858878316742036,10,0.15861163139343262
janitor,0.1355303824413568,0.4700797344306515,10,0.1355303824413568
carpenter,0.08703491312626284,0.35266976761673846,10,0.08703491312626284
mover,0.08543073646724224,0.6699368517444492,10,0.08543073646724224
auditor,0.08399739265441894,0.9092422607276563,10,0.08399739265441894
attendant,0.07893109321594238,0.5618167481916979,10,0.07893109321594238
secretary,0.024718475341796876,0.3712724316309532,10,0.024718475341796876
librarian,0.015371683752164245,0.06329639458350927,10,0.015371683752164245
cashier,-0.0009333298519777599,0.00459736149910506,10,0.0009333298519777599
lawyer,-0.0010019063949584961,0.564965233562322,10,0.0010019063949584961
hairdresser,-0.007788278131329207,0.006642628967618224,10,0.007788278131329207
clerk,-0.03734390735626221,1.1702832553556293,10,0.03734390735626221
accountant,-0.0722074031829834,0.5146907956414978,10,0.0722074031829834
farmer,-0.09445271492004395,0.3250622287360939,10,0.09445271492004395
writer,-0.11247913837432862,0.36825419315815083,10,0.11247913837432862
constructor,-0.14050741195678712,0.36505235793034196,10,0.14050741195678712
housekeeper,-0.16140730790793895,0.16094276145923295,10,0.16140730790793895
baker,-0.19329776763916015,0.46302865618676653,10,0.19329776763916015
manager,-0.19516322612762452,1.135609594559936,10,0.19516322612762452
receptionist,-0.215542494924739,0.20321658874039192,10,0.215542494924739
assistant,-0.218192720413208,0.494404101027646,10,0.218192720413208
CEO,-0.2403874397277832,0.8576263854797705,10,0.2403874397277832
driver,-0.32592119574546813,0.7021237947183085,10,0.32592119574546813
teacher,-0.34190274477005006,0.4906038153669488,10,0.34190274477005006
cook,-0.3640149235725403,0.3355573270103866,10,0.3640149235725403
editor,-0.4097775936126709,0.4412855357245452,10,0.4097775936126709
physician,-0.4220863342285156,0.7032916549896112,10,0.4220863342285156
salesperson,-0.5788330728188157,0.8572983914972101,10,0.5788330728188157
nurse,-0.7096592307090759,0.7452469539882719,10,0.7096592307090759
cleaner,-0.7256548166275024,0.5205476393185833,10,0.7256548166275024
designer,-0.7320984601974487,0.49981104254872605,10,0.7320984601974487
supervisor,-1.0954405546188355,0.9949316264827259,10,1.0954405546188355
counselor,-1.5462721347808839,1.0867252948669792,10,1.5462721347808839
