Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
sewer,10,0.7586092948913574,0.3509476809566435,6.835586488253196,7.595188324266258e-05,0.0030380753297065033,2.1616022445951906,True,male
analyst,10,0.7926540613174439,0.41812728460810655,5.994806659640054,0.00020379352480050578,0.0040758704960101155,1.895724317680837,True,male
designer,10,-0.7320984601974487,0.4998110425487261,-4.631947693513323,0.0012332619872205159,0.013598536080314833,-1.4647504714265636,True,female
counselor,10,-1.5462721347808839,1.0867252948669792,-4.499519659158194,0.001489977890991753,0.013598536080314833,-1.4228730499644398,True,female
cleaner,10,-0.7256548166275024,0.5205476393185833,-4.408284357256161,0.001699817010039354,0.013598536080314833,-1.394021914262088,True,female
hairdresser,10,-0.007788278131329207,0.006642628967618224,-3.7076732820606617,0.004862457904102239,0.03241638602734826,-1.1724692391063605,True,female
supervisor,10,-1.0954405546188355,0.9949316264827259,-3.4817339219176446,0.006919632671059943,0.03751387403667979,-1.1010209399930606,True,female
cook,10,-0.3640149235725403,0.3355573270103866,-3.430460812872411,0.007502774807335958,0.03751387403667979,-1.0848069592629483,True,female
receptionist,10,-0.215542494924739,0.20321658874039192,-3.3540825615777132,0.008468411560044077,0.03763738471130701,-1.0606540354837535,True,female
housekeeper,10,-0.16140730790793895,0.16094276145923295,-3.171405283203638,0.011340333235691651,0.045361332942766605,-1.0028864078414839,True,female
nurse,10,-0.7096592307090759,0.7452469539882719,-3.011269646382084,0.014685601188118558,0.05340218613861294,-0.9522470731497199,False,female
editor,10,-0.4097775936126709,0.44128553572454515,-2.9364899254884627,0.01658109066236919,0.055270302207897304,-0.9285996490681675,False,female
mechanic,10,0.683201813697815,0.7783299020827907,2.775781615304445,0.021548853343388828,0.06434112702637752,0.8777792191583345,False,male
laborer,10,0.53886732859537,0.6270947978189516,2.7173692413626545,0.023709704802494323,0.06434112702637752,0.8593076046389819,False,male
chief,10,0.28003973960876466,0.3271758093573947,2.7066897588287464,0.02412792263489157,0.06434112702637752,0.8559304557350682,False,male
teacher,10,-0.34190274477005006,0.49060381536694875,-2.2037973979633647,0.054998901368824696,0.13749725342206173,-0.696901927911675,False,female
salesperson,10,-0.5788330728188157,0.8572983914972102,-2.135115279925863,0.06150786736083998,0.1447243937902117,-0.6751827351593711,False,female
physician,10,-0.4220863342285156,0.7032916549896111,-1.8978672303639312,0.09019511825900015,0.20043359613111145,-0.6001583144545496,False,female
developer,10,0.1746959686279297,0.37061659596365737,1.4905893716852066,0.1702588608520427,0.3523760172197397,0.47136574705645495,False,male
driver,10,-0.32592119574546813,0.7021237947183085,-1.4679082578233322,0.17618800860986986,0.3523760172197397,-0.46419334908914095,False,female
assistant,10,-0.218192720413208,0.4944041010276461,-1.3955911044020046,0.1963097930026299,0.36857714402895814,-0.4413246572180175,False,female
guard,10,0.4256440281867981,0.9796931817145618,1.373904224956989,0.20271742921592695,0.36857714402895814,0.43446666377924376,False,male
baker,10,-0.19329776763916015,0.46302865618676653,-1.3201368947652714,0.21937669076904748,0.38152467959834346,-0.41746394106802726,False,female
constructor,10,-0.14050741195678712,0.3650523579303419,-1.2171499245700192,0.2544986136281825,0.4241643560469708,-0.38489660155434,False,female
sheriff,10,0.15861163139343262,0.48588783167420363,1.0322835557952967,0.3288803396890577,0.5262085435024924,0.3264367227450646,False,male
writer,10,-0.11247913837432862,0.36825419315815083,-0.9658824614208049,0.35933841534904354,0.5496339752151712,-0.3054388530099458,False,female
farmer,10,-0.09445271492004395,0.3250622287360939,-0.9188570185322869,0.38213625804592544,0.5496339752151712,-0.29056810225935736,False,female
janitor,10,0.1355303824413568,0.47007973443065143,0.9117276693228866,0.3856817958106134,0.5496339752151712,0.28831360408571477,False,male
CEO,10,-0.2403874397277832,0.8576263854797707,-0.8863671212855568,0.3984846320309991,0.5496339752151712,-0.2802938946349073,False,female
carpenter,10,0.08703491312626284,0.35266976761673846,0.7804143896251958,0.45518161701639664,0.5963609755835215,0.24678869899856984,False,male
librarian,10,0.015371683752164245,0.06329639458350926,0.7679668399518379,0.46217975607722916,0.5963609755835215,0.24285243817298025,False,male
cashier,10,-0.0009333298519777599,0.00459736149910506,-0.641987396695272,0.5368882397789451,0.6711102997236813,-0.2030142402679114,False,female
manager,10,-0.19516322612762452,1.135609594559936,-0.5434616905547849,0.6000122503100636,0.7272875761334104,-0.17185767631987373,False,female
attendant,10,0.07893109321594238,0.5618167481916979,0.4442765965465231,0.6673332228078321,0.7631694353236853,0.140492595619471,False,male
accountant,10,-0.0722074031829834,0.5146907956414978,-0.4436447278986647,0.6677732559082246,0.7631694353236853,-0.14029278120854266,False,female
mover,10,0.08543073646724224,0.6699368517444493,0.40325548403350775,0.6961723352507398,0.7735248169452665,0.12752058084995482,False,male
auditor,10,0.08399739265441894,0.9092422607276563,0.2921367492211431,0.7768044338681959,0.8397885771548064,0.0923817515776233,False,male
secretary,10,0.024718475341796876,0.37127243163095314,0.21053726511125748,0.8379377911902561,0.8820397802002697,0.06657772900942771,False,male
clerk,10,-0.03734390735626221,1.1702832553556293,-0.10090873592839664,0.9218351458917824,0.9454719445043921,-0.03191014413421991,False,female
lawyer,10,-0.0010019063949584961,0.564965233562322,-0.005607966689170776,0.995647851660275,0.995647851660275,-0.0017733947780133176,False,female
