Context,mean_delta,std_delta,count,mean_abs_delta
analyst,0.7926540613174439,0.41812728460810655,10,0.7926540613174439
sewer,0.7586092948913574,0.3509476809566435,10,0.7586092948913574
mechanic,0.683201813697815,0.7783299020827907,10,0.683201813697815
laborer,0.5479839041829109,0.6963467248259388,10,0.5479839041829109
carpenter,0.5449625561013818,0.5735421845832342,10,0.5449625561013818
guard,0.4256440281867981,0.9796931817145617,10,0.4256440281867981
chief,0.28003973960876466,0.3271758093573947,10,0.28003973960876466
mover,0.22994000911712648,0.5159743770601601,10,0.22994000911712648
librarian,0.18576167258433998,0.525087651889659,10,0.18576167258433998
developer,0.1746959686279297,0.37061659596365737,10,0.1746959686279297
sheriff,0.15861163139343262,0.4858878316742036,10,0.15861163139343262
auditor,0.08399739265441894,0.9092422607276563,10,0.08399739265441894
janitor,0.08156363000161945,0.6114554469355067,10,0.08156363000161945
attendant,0.07893109321594238,0.5618167481916979,10,0.07893109321594238
secretary,0.024718475341796876,0.3712724316309532,10,0.024718475341796876
lawyer,-0.0010019063949584961,0.564965233562322,10,0.0010019063949584961
housekeeper,-0.017237623780965806,0.3223185952048557,10,0.017237623780965806
clerk,-0.03734390735626221,1.1702832553556293,10,0.03734390735626221
accountant,-0.0722074031829834,0.5146907956414978,10,0.0722074031829834
farmer,-0.09445271492004395,0.3250622287360939,10,0.09445271492004395
writer,-0.11247913837432862,0.36825419315815083,10,0.11247913837432862
constructor,-0.14050741195678712,0.36505235793034196,10,0.14050741195678712
baker,-0.19329776763916015,0.46302865618676653,10,0.19329776763916015
manager,-0.19516322612762452,1.135609594559936,10,0.19516322612762452
assistant,-0.218192720413208,0.494404101027646,10,0.218192720413208
CEO,-0.2403874397277832,0.8576263854797705,10,0.2403874397277832
hairdresser,-0.2596250985166989,0.48319558188551814,10,0.2596250985166989
driver,-0.32592119574546813,0.7021237947183085,10,0.32592119574546813
cashier,-0.33199667260050775,0.5786159819524959,10,0.33199667260050775
teacher,-0.34190274477005006,0.4906038153669488,10,0.34190274477005006
cook,-0.3640149235725403,0.3355573270103866,10,0.3640149235725403
editor,-0.4097775936126709,0.4412855357245452,10,0.4097775936126709
physician,-0.4220863342285156,0.7032916549896112,10,0.4220863342285156
salesperson,-0.6363934993743896,0.6012135867944495,10,0.6363934993743896
receptionist,-0.705429328372702,0.6336573492657084,10,0.705429328372702
nurse,-0.7096592307090759,0.7452469539882719,10,0.7096592307090759
cleaner,-0.7256548166275024,0.5205476393185833,10,0.7256548166275024
designer,-0.7320984601974487,0.49981104254872605,10,0.7320984601974487
supervisor,-1.0954405546188355,0.9949316264827259,10,1.0954405546188355
counselor,-1.5462721347808839,1.0867252948669792,10,1.5462721347808839
