Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
sewer,10,0.7586092948913574,0.3509476809566435,6.835586488253196,7.595188324266258e-05,0.0030380753297065033,2.1616022445951906,True,male
analyst,10,0.7926540613174439,0.41812728460810655,5.994806659640054,0.00020379352480050578,0.0040758704960101155,1.895724317680837,True,male
designer,10,-0.7320984601974487,0.4998110425487261,-4.631947693513323,0.0012332619872205159,0.013598536080314833,-1.4647504714265636,True,female
counselor,10,-1.5462721347808839,1.0867252948669792,-4.499519659158194,0.001489977890991753,0.013598536080314833,-1.4228730499644398,True,female
cleaner,10,-0.7256548166275024,0.5205476393185833,-4.408284357256161,0.001699817010039354,0.013598536080314833,-1.394021914262088,True,female
receptionist,10,-0.705429328372702,0.6336573492657084,-3.5204569291678243,0.006510767842755529,0.03751387403667979,-1.1132662300692386,True,female
supervisor,10,-1.0954405546188355,0.9949316264827259,-3.4817339219176446,0.006919632671059943,0.03751387403667979,-1.1010209399930606,True,female
cook,10,-0.3640149235725403,0.3355573270103866,-3.430460812872411,0.007502774807335958,0.03751387403667979,-1.0848069592629483,True,female
salesperson,10,-0.6363934993743896,0.6012135867944496,-3.3473178090967766,0.008559968150890029,0.03804430289284458,-1.0585148329190501,True,female
nurse,10,-0.7096592307090759,0.7452469539882719,-3.011269646382084,0.014685601188118558,0.05397379616914121,-0.9522470731497199,False,female
carpenter,10,0.5449625561013818,0.5735421845832342,3.004701246238606,0.014842793946513833,0.05397379616914121,0.9501699626460434,False,male
editor,10,-0.4097775936126709,0.44128553572454515,-2.9364899254884627,0.01658109066236919,0.055270302207897304,-0.9285996490681675,False,female
mechanic,10,0.683201813697815,0.7783299020827907,2.775781615304445,0.021548853343388828,0.06630416413350408,0.8777792191583345,False,male
chief,10,0.28003973960876466,0.3271758093573947,2.7066897588287464,0.02412792263489157,0.06893692181397591,0.8559304557350682,False,male
laborer,10,0.5479839041829109,0.6963467248259388,2.4885264718702085,0.034505330874063815,0.09201421566417017,0.7869411668732796,False,male
teacher,10,-0.34190274477005006,0.49060381536694875,-2.2037973979633647,0.054998901368824696,0.13749725342206173,-0.696901927911675,False,female
physician,10,-0.4220863342285156,0.7032916549896111,-1.8978672303639312,0.09019511825900015,0.21222380766823565,-0.6001583144545496,False,female
cashier,10,-0.33199667260050775,0.5786159819524958,-1.8144429012695587,0.10300697487968698,0.22890438862152662,-0.5737772252335827,False,female
hairdresser,10,-0.2596250985166989,0.48319558188551814,-1.6991187002469113,0.12351772181646886,0.2600373090873029,-0.5373085107765141,False,female
developer,10,0.1746959686279297,0.37061659596365737,1.4905893716852066,0.1702588608520427,0.33559620687594255,0.47136574705645495,False,male
driver,10,-0.32592119574546813,0.7021237947183085,-1.4679082578233322,0.17618800860986986,0.33559620687594255,-0.46419334908914095,False,female
mover,10,0.22994000911712648,0.5159743770601601,1.4092446957404283,0.1923655022050286,0.33786238202654495,0.4456423019050742,False,male
assistant,10,-0.218192720413208,0.4944041010276461,-1.3955911044020046,0.1963097930026299,0.33786238202654495,-0.4413246572180175,False,female
guard,10,0.4256440281867981,0.9796931817145618,1.373904224956989,0.20271742921592695,0.33786238202654495,0.43446666377924376,False,male
baker,10,-0.19329776763916015,0.46302865618676653,-1.3201368947652714,0.21937669076904748,0.351002705230476,-0.41746394106802726,False,female
constructor,10,-0.14050741195678712,0.3650523579303419,-1.2171499245700192,0.2544986136281825,0.39153632865874227,-0.38489660155434,False,female
librarian,10,0.18576167258433998,0.5250876518896591,1.1187274833353207,0.2922255382778816,0.4329267233746394,0.3537726928367677,False,male
sheriff,10,0.15861163139343262,0.48588783167420363,1.0322835557952967,0.3288803396890577,0.4698290566986539,0.3264367227450646,False,male
writer,10,-0.11247913837432862,0.36825419315815083,-0.9658824614208049,0.35933841534904354,0.4956391935848876,-0.3054388530099458,False,female
farmer,10,-0.09445271492004395,0.3250622287360939,-0.9188570185322869,0.38213625804592544,0.5095150107279006,-0.29056810225935736,False,female
CEO,10,-0.2403874397277832,0.8576263854797707,-0.8863671212855568,0.3984846320309991,0.5141737187496763,-0.2802938946349073,False,female
manager,10,-0.19516322612762452,1.135609594559936,-0.5434616905547849,0.6000122503100636,0.7500153128875795,-0.17185767631987373,False,female
attendant,10,0.07893109321594238,0.5618167481916979,0.4442765965465231,0.6673332228078321,0.7806288242658794,0.140492595619471,False,male
accountant,10,-0.0722074031829834,0.5146907956414978,-0.4436447278986647,0.6677732559082246,0.7806288242658794,-0.14029278120854266,False,female
janitor,10,0.08156363000161945,0.6114554469355067,0.42182442944786686,0.6830502212326446,0.7806288242658794,0.13339259697562622,False,male
auditor,10,0.08399739265441894,0.9092422607276563,0.2921367492211431,0.7768044338681959,0.8631160376313287,0.0923817515776233,False,male
secretary,10,0.024718475341796876,0.37127243163095314,0.21053726511125748,0.8379377911902561,0.9058786931786553,0.06657772900942771,False,male
housekeeper,10,-0.017237623780965806,0.3223185952048557,-0.16911885757720682,0.8694431609030593,0.9152033272663782,-0.0534800785229599,False,female
clerk,10,-0.03734390735626221,1.1702832553556293,-0.10090873592839664,0.9218351458917824,0.9454719445043921,-0.03191014413421991,False,female
lawyer,10,-0.0010019063949584961,0.564965233562322,-0.005607966689170776,0.995647851660275,0.995647851660275,-0.0017733947780133176,False,female
