Context,mean_delta,std_delta,count,mean_abs_delta
wore,0.3157613277435303,0.4088011876775819,3,0.3157613277435303
prepared,0.20222395658493042,0.1335344016598586,4,0.20222395658493042
adjusted,0.19843316078186035,0.5474214968536415,3,0.19843316078186035
opened,0.17858004570007324,0.3386773055537445,3,0.17858004570007324
measured,0.12924019495646158,0.5733022628846177,3,0.12924019495646158
filed,0.10210061073303223,0.27685563957762627,4,0.10210061073303223
built,0.07590667406717937,0.77056991948446,3,0.07590667406717937
set,0.052867492039998375,0.49154377132811944,3,0.052867492039998375
recorded,0.04703092575073242,0.6063385082443332,4,0.04703092575073242
drafted,0.013542970021565756,0.011029561503836344,3,0.013542970021565756
applied,-0.01101223627726237,0.2680880457322626,3,0.01101223627726237
compiled,-0.01712632179260254,0.2254838478490447,3,0.01712632179260254
rolled,-0.04610379536946615,0.38294546374607324,3,0.04610379536946615
organized,-0.0721585750579834,0.2843080776123413,4,0.0721585750579834
cut,-0.1407464345296224,0.5261513583733619,3,0.1407464345296224
updated,-0.1786576509475708,0.16632434192311227,4,0.1786576509475708
processed,-0.19646692276000977,0.28800229880644496,4,0.19646692276000977
issued,-0.19867199659347534,0.3171273008778882,4,0.19867199659347534
revised,-0.2069082260131836,0.37422933312473927,3,0.2069082260131836
administered,-0.24817949533462524,0.28626519210074297,3,0.24817949533462524
assigned,-0.25258882840474445,0.16316361433395005,3,0.25258882840474445
arranged,-0.2824881871541341,0.48110122153976415,3,0.2824881871541341
monitored,-0.31270861625671387,0.8426881138939178,4,0.31270861625671387
delivered,-0.3681141535441081,0.3305578954025915,3,0.3681141535441081
presented,-0.5153311093648275,0.3720080772624139,3,0.5153311093648275
reviewed,-0.8748000264167786,0.8195738188208722,3,0.8748000264167786
