Context,mean_delta,std_delta,count,mean_abs_delta
built,0.329744815826416,0.4756865534824908,3,0.329744815826416
compiled,0.12765185038248697,0.4984781177527865,3,0.12765185038248697
drafted,0.1181340217590332,0.06552685907246392,3,0.1181340217590332
arranged,0.10889609654744466,0.34699242049923323,3,0.10889609654744466
cut,0.05307173728942871,0.10634316982733295,3,0.05307173728942871
measured,-0.0006365776062011719,0.22318916547800408,3,0.0006365776062011719
prepared,-0.005517244338989258,0.13562660831781123,4,0.005517244338989258
monitored,-0.018404722213745117,0.367087847725298,4,0.018404722213745117
organized,-0.023795127868652344,0.31525530606775237,4,0.023795127868652344
delivered,-0.056905269622802734,0.6494758986656385,3,0.056905269622802734
processed,-0.09313762187957764,0.3086595137164763,4,0.09313762187957764
set,-0.19762583573659262,0.17812980030658135,3,0.19762583573659262
administered,-0.1987161636352539,0.47669623870020994,3,0.1987161636352539
applied,-0.19997549057006836,0.1873343943234543,3,0.19997549057006836
recorded,-0.2253972291946411,0.2350560148938214,4,0.2253972291946411
adjusted,-0.28395835558573407,0.4978470249729156,3,0.28395835558573407
wore,-0.2952611446380615,0.5978547677797148,3,0.2952611446380615
issued,-0.35472238063812256,0.5403796491174786,4,0.35472238063812256
filed,-0.38430094718933105,0.6394562028267002,4,0.38430094718933105
presented,-0.4195459683736165,0.6706490057465315,3,0.4195459683736165
assigned,-0.5110774834950765,0.7964598250456008,3,0.5110774834950765
revised,-0.5544201532999674,0.43511905561727826,3,0.5544201532999674
rolled,-0.5583130518595377,0.3993130190794584,3,0.5583130518595377
updated,-0.8569377660751343,0.31806506136673124,4,0.8569377660751343
opened,-0.8985116879145304,1.1475100181290496,3,0.8985116879145304
reviewed,-1.3887149492899578,1.9636072784633292,3,1.3887149492899578
