Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
updated,4,-0.8569377660751343,0.31806506136673124,-5.388443247383774,0.012522574181911853,0.3255869287297082,-2.694221623691887,False,female
drafted,3,0.1181340217590332,0.06552685907246392,3.1225993536912395,0.0890684370391382,0.727651963826686,1.8028335774249888,False,male
rolled,3,-0.5583130518595377,0.3993130190794583,-2.4217256291288876,0.13646024077160074,0.727651963826686,-1.398183943880979,False,female
recorded,4,-0.2253972291946411,0.2350560148938214,-1.9178171577226533,0.15096107151383742,0.727651963826686,-0.9589085788613266,False,female
revised,3,-0.5544201532999674,0.43511905561727826,-2.206945115040687,0.1580350995226413,0.727651963826686,-1.2741803562554703,False,female
set,3,-0.19762583573659262,0.17812980030658135,-1.9216211313037252,0.1946004692594495,0.727651963826686,-1.109448477438679,False,female
applied,3,-0.19997549057006836,0.1873343943234543,-1.8489274817192711,0.20571013135463143,0.727651963826686,-1.067478779282718,False,female
issued,4,-0.35472238063812256,0.5403796491174786,-1.312863581067265,0.28062590972587065,0.727651963826686,-0.6564317905336325,False,female
opened,3,-0.8985116879145304,1.1475100181290496,-1.356212904528576,0.3078486222785213,0.727651963826686,-0.7830098855080176,False,female
filed,4,-0.38430094718933105,0.6394562028267002,-1.2019617465294363,0.3156044441109828,0.727651963826686,-0.6009808732647182,False,female
reviewed,3,-1.3887149492899578,1.9636072784633292,-1.2249520949438484,0.3452830415201999,0.727651963826686,-0.7072264217602269,False,female
built,3,0.329744815826416,0.4756865534824908,1.2006536034338777,0.35279854749044126,0.727651963826686,0.6931976811460435,False,male
assigned,3,-0.5110774834950765,0.7964598250456006,-1.1114335465285203,0.38208710197669327,0.727651963826686,-0.6416864572746217,False,female
presented,3,-0.4195459683736165,0.6706490057465315,-1.0835398652755661,0.39181259590667705,0.727651963826686,-0.625582032894539,False,female
adjusted,3,-0.28395835558573407,0.4978470249729156,-0.9879145087488636,0.4273296227543586,0.7378625994720678,-0.5703727075624933,False,female
cut,3,0.05307173728942871,0.10634316982733295,0.8643991483467302,0.47848079391811305,0.7378625994720678,0.4990610809852679,False,male
wore,3,-0.2952611446380615,0.5978547677797148,-0.8554039067268898,0.48244862273173666,0.7378625994720678,-0.49386767581462737,False,female
administered,3,-0.1987161636352539,0.47669623870020994,-0.7220247691484022,0.5452862028406853,0.7876356263254344,-0.41686119482940737,False,female
processed,4,-0.09313762187957764,0.3086595137164763,-0.6034974963715556,0.5887541624174423,0.8056635906765,-0.3017487481857778,False,female
arranged,3,0.10889609654744466,0.34699242049923323,0.5435668355370222,0.6412287590495991,0.8335973867644789,0.3138284588198528,False,male
compiled,3,0.12765185038248697,0.49847811775278655,0.44354903990449457,0.7007372003506014,0.8675793909102684,0.25608315758766,False,male
organized,4,-0.023795127868652344,0.31525530606775237,-0.1509578263119763,0.8895882616199183,0.9778913472746562,-0.07547891315598815,False,female
delivered,3,-0.056905269622802734,0.6494758986656385,-0.1517574684566425,0.8933038186381219,0.9778913472746562,-0.08761721526497869,False,female
monitored,4,-0.018404722213745117,0.367087847725298,-0.10027421135181723,0.9264521154019772,0.9778913472746562,-0.050137105675908615,False,female
prepared,4,-0.005517244338989258,0.13562660831781123,-0.0813593203785028,0.9402801416102463,0.9778913472746562,-0.0406796601892514,False,female
measured,3,-0.0006365776062011719,0.22318916547800408,-0.004940135667157487,0.9965068178824318,0.9965068178824319,-0.002852188657266647,False,female
