Context,mean_delta,std_delta,count,mean_abs_delta
built,0.9761181672414144,1.0021437276692344,3,0.9761181672414144
prepared,0.6720361113548279,0.3211577250350324,4,0.6720361113548279
delivered,0.5768222808837891,0.2964366936674765,3,0.5768222808837891
drafted,0.546597957611084,0.12618687105355741,3,0.546597957611084
arranged,0.47903943061828613,0.6891949505709764,3,0.47903943061828613
assigned,0.4413105646769206,0.153642621726278,3,0.4413105646769206
issued,0.3994588851928711,0.33324765323779,4,0.3994588851928711
opened,0.3614336649576823,0.32993592732367427,3,0.3614336649576823
rolled,0.305480162302653,0.47732777513805624,3,0.305480162302653
cut,0.3029353618621826,0.11590819481414391,3,0.3029353618621826
recorded,0.27850258350372314,0.38206982424852576,4,0.27850258350372314
filed,0.11296722292900085,0.1486902347305033,4,0.11296722292900085
presented,0.09305063883463542,0.272384795149537,3,0.09305063883463542
processed,0.08312106132507324,0.12289849432459424,4,0.08312106132507324
measured,0.05990783373514811,0.19791424507317565,3,0.05990783373514811
organized,0.04537332057952881,0.20931356324909545,4,0.04537332057952881
revised,0.02069203058878581,0.34582447188164783,3,0.02069203058878581
administered,0.0012586911519368489,0.2285937780738693,3,0.0012586911519368489
wore,-0.041341702143351235,0.19359809721783677,3,0.041341702143351235
compiled,-0.07491715749104817,0.14905713680215746,3,0.07491715749104817
adjusted,-0.09446954727172852,0.22596179882385978,3,0.09446954727172852
set,-0.15459791819254556,0.06874194581156895,3,0.15459791819254556
applied,-0.20926793416341147,0.05641408345903202,3,0.20926793416341147
updated,-0.33153486251831055,0.11401666639073782,4,0.33153486251831055
reviewed,-0.34962499141693115,0.20152313893242169,3,0.34962499141693115
monitored,-0.5315122604370117,0.2630141586799979,4,0.5315122604370117
