Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
updated,4,-0.33153486251831055,0.11401666639073783,-5.815550884151141,0.010122761392729352,0.14173873997103775,-2.9077754420755704,False,female
drafted,3,0.546597957611084,0.12618687105355741,7.50264608347373,0.01730542904989626,0.14173873997103775,4.331654735928049,False,male
applied,3,-0.20926793416341147,0.05641408345903202,-6.425039141675116,0.023378024292684218,0.14173873997103775,-3.709498078000011,False,female
prepared,4,0.6720361113548279,0.3211577250350324,4.1850845174689235,0.02486512924093554,0.14173873997103775,2.0925422587344618,False,male
monitored,4,-0.5315122604370117,0.2630141586799979,-4.041700744207374,0.027257449994430336,0.14173873997103775,-2.0208503721036863,False,female
assigned,3,0.4413105646769206,0.15364262172627796,4.975001801903024,0.03810840433782059,0.16513641879722255,2.872318629547584,False,male
cut,3,0.3029353618621826,0.11590819481414391,4.526853679292537,0.04549432007358946,0.16897890313047514,2.613580190321594,False,male
set,3,-0.15459791819254556,0.06874194581156895,-3.8953137839284304,0.060031226104069656,0.19510148483822637,-2.248960461729139,False,female
delivered,3,0.5768222808837891,0.2964366936674765,3.37031655922191,0.0778890668700597,0.2250128598468391,1.9458531727210229,False,male
reviewed,3,-0.34962499141693115,0.20152313893242169,-3.0049564131344106,0.09519480447980093,0.22714922649719912,-1.7349123940262443,False,female
issued,4,0.3994588851928711,0.33324765323779,2.397369531708815,0.09610159582573809,0.22714922649719912,1.1986847658544075,False,male
opened,3,0.3614336649576823,0.32993592732367427,1.8974031605184727,0.1982107560486689,0.4176389048000552,1.095466225486587,False,male
filed,4,0.11296722292900085,0.1486902347305033,1.5194975397510218,0.22595557465780014,0.4176389048000552,0.7597487698755109,False,male
built,3,0.9761181672414144,1.0021437276692344,1.6870696419817024,0.23364116995303988,0.4176389048000552,0.9740301119397816,False,male
recorded,4,0.27850258350372314,0.38206982424852576,1.4578622326507784,0.24094552200003186,0.4176389048000552,0.7289311163253892,False,male
processed,4,0.08312106132507324,0.12289849432459424,1.3526782696871364,0.26907847150456154,0.4372525161949125,0.6763391348435682,False,male
arranged,3,0.47903943061828613,0.6891949505709764,1.203898304786389,0.35178385913439414,0.5380223727937793,0.6950710103453559,False,male
rolled,3,0.305480162302653,0.4773277751380562,1.1084776318737155,0.3831045557972854,0.5533732472627455,0.6399798591529685,False,male
compiled,3,-0.07491715749104817,0.14905713680215746,-0.8705408269405092,0.4757909605722685,0.6510823670988938,-0.5026069807746624,False,female
adjusted,3,-0.09446954727172852,0.22596179882385978,-0.7241314969802143,0.544234717174865,0.7075051323273246,-0.41807751471021337,False,female
presented,3,0.09305063883463542,0.272384795149537,0.5916939455076781,0.6140297824031123,0.7602273496419486,0.34161465871672975,False,male
measured,3,0.05990783373514811,0.19791424507317565,0.5242847060468054,0.6523930330400047,0.7710099481381875,0.30269591616812697,False,male
organized,4,0.04537332057952881,0.20931356324909545,0.43354400809212623,0.6939029331326878,0.7844120113673863,0.21677200404606312,False,male
wore,3,-0.041341702143351235,0.19359809721783677,-0.3698689688209716,0.746973709450057,0.8092215185708951,-0.21354394871367724,False,female
revised,3,0.02069203058878581,0.34582447188164783,0.10363537344983452,0.9269147012467709,0.9639912892966417,0.05983391075882936,False,male
administered,3,0.0012586911519368489,0.2285937780738693,0.009537079462799384,0.9932564197794724,0.9932564197794724,0.005506235395130077,False,male
