Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
drafted,3,0.9141018390655518,0.044330714376904924,35.71498566642827,0.0007830485614134007,0.020359262596748418,20.620056588615984,True,male
opened,3,0.10961282253265381,0.04330838833118849,4.38379226527031,0.04829690244063395,0.4436813240433317,2.5309836444252127,False,male
monitored,4,-0.28126728534698486,0.2012401210020633,-2.7953400539259374,0.06811590336507485,0.4436813240433317,-1.3976700269629687,False,female
reviewed,3,-0.5962989330291748,0.28462148583468594,-3.6287494089800565,0.06825866523743565,0.4436813240433317,-2.095059448096331,False,female
adjusted,3,-0.2951034704844157,0.17215149866868812,-2.9690952929350156,0.09718181887140721,0.45053724005183826,-1.7142079666256822,False,female
recorded,4,0.2064405083656311,0.18147761450840214,2.2751071411738577,0.10741819284642044,0.45053724005183826,1.1375535705869289,False,male
presented,3,-0.06590406099955241,0.04589660518554375,-2.4870942331111094,0.1307074042440476,0.45053724005183826,-1.435924524986665,False,female
assigned,3,0.2158967653910319,0.1559340007232176,2.3980925591128464,0.13862684309287332,0.45053724005183826,1.3845393845454401,False,male
built,3,0.1492773691813151,0.1280948053853153,2.0184736380566366,0.18101253028816952,0.5229250874991564,1.1653662982841624,False,male
wore,3,0.09481688340504964,0.10486327045382077,1.5661123171358857,0.2578173331023238,0.6096308357582527,0.9041953678795922,False,male
rolled,3,0.3400580088297526,0.37620575000130924,1.5656266519365738,0.2579207382054146,0.6096308357582527,0.9039149689460333,False,male
processed,4,-0.07508963346481323,0.13432604247983856,-1.1180204832742493,0.3450197071129376,0.7230578828533647,-0.5590102416371246,False,female
administered,3,-0.05315415064493815,0.08252514027758336,-1.1156077922500796,0.38065555640498683,0.7230578828533647,-0.6440964591656275,False,female
cut,3,0.1311804453531901,0.20834371947731695,1.0905593741018678,0.38933885999796564,0.7230578828533647,0.6296347482049831,False,male
set,3,0.0563201904296875,0.10606098738868568,0.9197484741366789,0.4547992864973051,0.7883187632619956,0.5310170291295591,False,male
organized,4,-0.21463274955749512,0.5792378859691018,-0.7410867098183709,0.512378453017626,0.8326149861536422,-0.3705433549091854,False,female
compiled,3,0.028697093327840168,0.07263265238832468,0.6843316612977607,0.5644211361319693,0.8632323258488942,0.395099068865246,False,male
issued,4,-0.06275343894958496,0.23411790372082852,-0.5360840666369083,0.6291003556873178,0.8865896458529109,-0.26804203331845416,False,female
measured,3,-0.09194660186767578,0.31747051199136633,-0.5016408768775755,0.6656948272889407,0.8865896458529109,-0.2896224953017882,False,female
revised,3,0.05598672231038412,0.2565247222901351,0.37802145042830604,0.7417647826791055,0.8865896458529109,0.21825078616423527,False,male
filed,4,-0.02176070213317871,0.12541658590201712,-0.34701474253460324,0.7514963583921206,0.8865896458529109,-0.17350737126730162,False,female
updated,4,-0.0414583683013916,0.28182602208652713,-0.2942124931860474,0.7877779795195429,0.8865896458529109,-0.14710624659302368,False,female
arranged,3,-0.022106269995371502,0.1558621505817178,-0.24566055745358148,0.8288546807505883,0.8865896458529109,-0.1418321889750988,False,female
delivered,3,0.024009307225545246,0.1718360057371998,0.24200597418898429,0.8313277666559016,0.8865896458529109,0.1397222143435077,False,male
prepared,4,0.04225945472717285,0.4174028085479561,0.2024876395737888,0.8524900440893374,0.8865896458529109,0.1012438197868944,False,male
applied,3,0.020182132720947266,0.5961635987031351,0.05863571568915241,0.9585738798010518,0.9585738798010518,0.033853346237258504,False,male
