Context,mean_delta,std_delta,count,mean_abs_delta
drafted,0.9141018390655518,0.044330714376904924,3,0.9141018390655518
rolled,0.3400580088297526,0.3762057500013092,3,0.3400580088297526
assigned,0.2158967653910319,0.1559340007232176,3,0.2158967653910319
recorded,0.2064405083656311,0.18147761450840214,4,0.2064405083656311
built,0.1492773691813151,0.1280948053853153,3,0.1492773691813151
cut,0.1311804453531901,0.20834371947731692,3,0.1311804453531901
opened,0.10961282253265381,0.04330838833118849,3,0.10961282253265381
wore,0.09481688340504964,0.10486327045382077,3,0.09481688340504964
set,0.0563201904296875,0.10606098738868568,3,0.0563201904296875
revised,0.05598672231038412,0.2565247222901351,3,0.05598672231038412
prepared,0.04225945472717285,0.4174028085479561,4,0.04225945472717285
compiled,0.028697093327840168,0.07263265238832468,3,0.028697093327840168
delivered,0.024009307225545246,0.1718360057371998,3,0.024009307225545246
applied,0.020182132720947266,0.5961635987031351,3,0.020182132720947266
filed,-0.02176070213317871,0.12541658590201712,4,0.02176070213317871
arranged,-0.022106269995371502,0.15586215058171782,3,0.022106269995371502
updated,-0.0414583683013916,0.28182602208652713,4,0.0414583683013916
administered,-0.05315415064493815,0.08252514027758336,3,0.05315415064493815
issued,-0.06275343894958496,0.23411790372082852,4,0.06275343894958496
presented,-0.06590406099955241,0.045896605185543754,3,0.06590406099955241
processed,-0.07508963346481323,0.13432604247983856,4,0.07508963346481323
measured,-0.09194660186767578,0.31747051199136633,3,0.09194660186767578
organized,-0.21463274955749512,0.5792378859691018,4,0.21463274955749512
monitored,-0.28126728534698486,0.2012401210020633,4,0.28126728534698486
adjusted,-0.2951034704844157,0.17215149866868812,3,0.2951034704844157
reviewed,-0.5962989330291748,0.28462148583468594,3,0.5962989330291748
