Context,mean_delta,std_delta,count,mean_abs_delta
applied,0.72265625,0.27706852541102084,3,0.72265625
measured,0.2877604166666667,0.26175761527345454,3,0.2877604166666667
recorded,0.205078125,0.19550771494128436,4,0.205078125
rolled,0.12760416666666666,0.3878285317664023,3,0.12760416666666666
set,0.1171875,0.31366968593569894,3,0.1171875
prepared,0.11083984375,0.12125509035102468,4,0.11083984375
administered,0.016927083333333332,0.2753652285866597,3,0.016927083333333332
arranged,-0.0390625,0.4411296146418448,3,0.0390625
built,-0.057291666666666664,0.730064783574818,3,0.057291666666666664
opened,-0.06315104166666667,0.5280389418450288,3,0.06315104166666667
monitored,-0.0703125,0.3541283680272828,4,0.0703125
cut,-0.08528645833333333,0.2705366025217964,3,0.08528645833333333
updated,-0.0888671875,0.3751678091331473,4,0.0888671875
revised,-0.10026041666666667,0.2989833985209644,3,0.10026041666666667
reviewed,-0.14453125,0.3687425515667232,3,0.14453125
filed,-0.24560546875,0.5774347807372237,4,0.24560546875
presented,-0.2721354166666667,0.30574569180921557,3,0.2721354166666667
assigned,-0.3287760416666667,0.19057069432235693,3,0.3287760416666667
compiled,-0.3450520833333333,0.2402370214962628,3,0.3450520833333333
processed,-0.34619140625,0.19617890513878353,4,0.34619140625
issued,-0.3896484375,0.30369052634386806,4,0.3896484375
wore,-0.3938802083333333,0.22722100333975281,3,0.3938802083333333
adjusted,-0.40625,0.34633703356746665,3,0.40625
delivered,-0.4231770833333333,0.48172684202307103,3,0.4231770833333333
drafted,-0.5520833333333334,1.10292837895966,3,0.5520833333333334
organized,-0.5712890625,0.8276849693254467,4,0.5712890625
