Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
processed,4,-0.34619140625,0.19617890513878353,-3.5293438507579866,0.038657387546090306,0.48527922161291714,-1.7646719253789933,False,female
applied,3,0.72265625,0.27706852541102084,4.517573187175915,0.04566880792754596,0.48527922161291714,2.6082220956998503,False,male
issued,4,-0.3896484375,0.30369052634386806,-2.566088854933868,0.08277420434737624,0.48527922161291714,-1.283044427466934,False,female
wore,3,-0.3938802083333333,0.22722100333975281,-3.0024536592202944,0.0953315909719774,0.48527922161291714,-1.7334674283802138,False,female
assigned,3,-0.3287760416666667,0.19057069432235693,-2.988165680473373,0.09611788021858411,0.48527922161291714,-1.7252182600045032,False,female
recorded,4,0.205078125,0.19550771494128436,2.097903144759171,0.1268181558374222,0.48527922161291714,1.0489515723795855,False,male
compiled,3,-0.3450520833333333,0.2402370214962628,-2.487742046868995,0.13065209812655462,0.48527922161291714,-1.4362985404341646,False,female
prepared,4,0.11083984375,0.12125509035102468,1.8282093300846456,0.16496398820739794,0.5127247432501723,0.9141046650423228,False,male
adjusted,3,-0.40625,0.34633703356746665,-2.031678891878555,0.17925991766662283,0.5127247432501723,-1.1729903551329641,False,female
measured,3,0.2877604166666667,0.26175761527345454,1.904111410677274,0.19720182432698935,0.5127247432501723,1.099339235521562,False,male
organized,4,-0.5712890625,0.8276849693254467,-1.3804504942637625,0.2613230393864297,0.5350659584705713,-0.6902252471318813,False,female
presented,3,-0.2721354166666667,0.30574569180921557,-1.5416484380087863,0.26309253731521753,0.5350659584705713,-0.8900711406801388,False,female
delivered,3,-0.4231770833333333,0.4817268420230711,-1.5215349135496972,0.26753297923528563,0.5350659584705713,-0.8784585919193316,False,female
filed,4,-0.24560546875,0.5774347807372237,-0.8506777802211017,0.4574566541548049,0.8270770979677904,-0.42533889011055087,False,female
drafted,3,-0.5520833333333334,1.10292837895966,-0.8669977140739549,0.4773408096569159,0.8270770979677904,-0.500561363607388,False,female
reviewed,3,-0.14453125,0.3687425515667232,-0.678889559172944,0.5672341950168686,0.8270770979677904,-0.3919570697385256,False,female
set,3,0.1171875,0.31366968593569894,0.6470969721109321,0.5839215060145264,0.8270770979677904,0.3736016110400384,False,male
revised,3,-0.10026041666666667,0.29898339852096445,-0.5808220005316299,0.6200899400608342,0.8270770979677904,-0.33533773835819347,False,female
rolled,3,0.12760416666666666,0.3878285317664023,0.5698830328895889,0.626237228426784,0.8270770979677904,0.32902212244540446,False,male
cut,3,-0.08528645833333333,0.2705366025217964,-0.5460277007028576,0.6398148162453643,0.8270770979677904,-0.31524923998578724,False,female
updated,4,-0.0888671875,0.3751678091331473,-0.47374633610135236,0.6680238098970616,0.8270770979677904,-0.23687316805067618,False,female
monitored,4,-0.0703125,0.3541283680272828,-0.39710176505590183,0.717856782449642,0.848376197440486,-0.19855088252795092,False,female
opened,3,-0.06315104166666667,0.5280389418450289,-0.20714535245331847,0.855072546267189,0.9249256940822105,-0.11959542500030332,False,female
arranged,3,-0.0390625,0.4411296146418448,-0.15337495471844778,0.8921797633045623,0.9249256940822105,-0.08855107139364249,False,female
built,3,-0.057291666666666664,0.730064783574818,-0.13592229039054518,0.9043292869597184,0.9249256940822105,-0.07847477094585174,False,female
administered,3,0.016927083333333332,0.2753652285866596,0.1064715705311315,0.9249256940822105,0.9249256940822105,0.061471389907191004,False,male
