Context,mean_delta,std_delta,count,mean_abs_delta
assigned,0.4437052408854167,0.3165653110829872,3,0.4437052408854167
compiled,0.3130311965942383,0.22382780490458823,3,0.3130311965942383
built,0.25134074687957764,0.5737065593442299,3,0.25134074687957764
drafted,0.17528009414672852,0.6833036798149338,3,0.17528009414672852
issued,0.08397400379180908,0.20484313958539566,4,0.08397400379180908
arranged,0.08287167549133301,0.27246845649550533,3,0.08287167549133301
monitored,0.07754802703857422,0.14393186796984792,4,0.07754802703857422
set,0.05392026901245117,0.13461739172425624,3,0.05392026901245117
opened,0.028979321320851643,0.47166436898919323,3,0.028979321320851643
processed,-0.014256566762924194,0.16442206972594056,4,0.014256566762924194
applied,-0.12223958969116211,0.27396529211517134,3,0.12223958969116211
prepared,-0.1705443263053894,0.53741518937155,4,0.1705443263053894
filed,-0.17655986547470093,0.4793781515421697,4,0.17655986547470093
wore,-0.18044575055440268,0.4751253335685078,3,0.18044575055440268
updated,-0.2345799207687378,0.3755231619883891,4,0.2345799207687378
presented,-0.2611687978108724,0.5389409715558743,3,0.2611687978108724
measured,-0.27092727025349933,0.13645762359352182,3,0.27092727025349933
delivered,-0.2847379843393962,0.7721798133229162,3,0.2847379843393962
administered,-0.302875096599261,0.2394969205922025,3,0.302875096599261
cut,-0.31602009137471515,0.8813873729111372,3,0.31602009137471515
recorded,-0.3438670337200165,0.2465702554040675,4,0.3438670337200165
revised,-0.412725289662679,0.3267504956809002,3,0.412725289662679
rolled,-0.5088457266489664,0.6413124151277534,3,0.5088457266489664
organized,-0.5601669549942017,0.606107811312984,4,0.5601669549942017
reviewed,-0.5721096992492676,0.6974857665476346,3,0.5721096992492676
adjusted,-0.6516360441843668,1.1874461277963133,3,0.6516360441843668
