Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
recorded,4,-0.3438670337200165,0.2465702554040675,-2.7892012615755597,0.06846431098902155,0.6005272631866128,-1.3946006307877798,False,female
measured,3,-0.27092727025349933,0.13645762359352182,-3.438868308544123,0.07515240762442948,0.6005272631866128,-1.9854315436456225,False,female
assigned,3,0.4437052408854167,0.3165653110829872,2.427682357769966,0.13592157898816737,0.6005272631866128,1.4016230627653954,False,male
compiled,3,0.3130311965942383,0.22382780490458823,2.422335049420789,0.13640499527614233,0.6005272631866128,1.398535792850558,False,male
administered,3,-0.302875096599261,0.23949692059220248,-2.190404178726344,0.159886783687512,0.6005272631866128,-1.2646304422217358,False,female
revised,3,-0.412725289662679,0.3267504956809002,-2.187789095085154,0.16018224823813776,0.6005272631866128,-1.2631206229775411,False,female
organized,4,-0.5601669549942017,0.606107811312984,-1.8484069815260664,0.16168041701178038,0.6005272631866128,-0.9242034907630332,False,female
reviewed,3,-0.5721096992492676,0.6974857665476346,-1.4207072231846134,0.2912753814782893,0.7066428486091479,-0.8202456977452822,False,female
updated,4,-0.2345799207687378,0.3755231619883891,-1.2493499443637026,0.3001361446268784,0.7066428486091479,-0.6246749721818513,False,female
rolled,3,-0.5088457266489664,0.6413124151277534,-1.3742859657484483,0.30308948357058796,0.7066428486091479,-0.7934443722683916,False,female
monitored,4,0.07754802703857422,0.14393186796984792,1.077565769587867,0.36015596317587395,0.7066428486091479,0.5387828847939335,False,male
adjusted,3,-0.6516360441843668,1.1874461277963133,-0.9504993196323979,0.4421791891696153,0.7066428486091479,-0.548771038054321,False,female
issued,4,0.08397400379180908,0.20484313958539566,0.8198859279522196,0.472356024371237,0.7066428486091479,0.4099429639761098,False,male
presented,3,-0.2611687978108724,0.5389409715558743,-0.8393454033643024,0.4896158642183613,0.7066428486091479,-0.484596294575455,False,female
filed,4,-0.17655986547470093,0.4793781515421697,-0.7366204108664698,0.5147285493720793,0.7066428486091479,-0.3683102054332349,False,female
applied,3,-0.12223958969116211,0.27396529211517134,-0.772817528843979,0.5204649642737027,0.7066428486091479,-0.4461864083125326,False,female
built,3,0.25134074687957764,0.5737065593442299,0.7588111666447442,0.5271992931868249,0.7066428486091479,0.43809983132643704,False,male
set,3,0.05392026901245117,0.13461739172425624,0.6937635939243879,0.5595757994071792,0.7066428486091479,0.40054459770620754,False,male
prepared,4,-0.1705443263053894,0.53741518937155,-0.6346836847124582,0.570729235761869,0.7066428486091479,-0.3173418423562291,False,female
wore,3,-0.18044575055440268,0.4751253335685077,-0.6578079211704682,0.5782512383327953,0.7066428486091479,-0.37978558036283794,False,female
delivered,3,-0.2847379843393962,0.7721798133229161,-0.6386862842195842,0.588408357670954,0.7066428486091479,-0.3687456981218988,False,female
cut,3,-0.31602009137471515,0.8813873729111372,-0.6210241617890204,0.5979285642077405,0.7066428486091479,-0.35854846698215265,False,female
arranged,3,0.08287167549133301,0.27246845649550533,0.5268057605843158,0.6509247926053114,0.7358280264233955,0.3041514476840003,False,male
drafted,3,0.17528009414672852,0.6833036798149338,0.44430322503138797,0.7002740286798526,0.758630197736507,0.2565185865736907,False,male
processed,4,-0.014256566762924194,0.16442206972594056,-0.17341427202184115,0.8733665605556677,0.9083012229778944,-0.08670713601092057,False,female
opened,3,0.028979321320851643,0.47166436898919323,0.10641816553611473,0.9249631384680964,0.9249631384680964,0.061440556518942,False,male
