Context,mean_delta,std_delta,count,mean_abs_delta
photo,1.2868760426839192,0.3643240710408017,3,1.2868760426839192
fashion,0.455742131580006,0.1774161682567125,11,0.455742131580006
museum,0.4452837308247884,0.1896499280411385,3,0.4452837308247884
clothing,0.4169516861438751,0.2492179230158806,4,0.4169516861438751
composition,0.2698098123073578,0.07596705089232499,4,0.2698098123073578
medical,0.25607290863990784,0.07370112611427312,4,0.25607290863990784
musical,0.23239226000649588,0.22631404852381423,7,0.23239226000649588
counseling,0.1889126698176066,0.10279694757239295,6,0.1889126698176066
training,0.18029823899269104,0.11819059866403257,5,0.18029823899269104
survey,0.1619256013318112,0.28012292889518126,19,0.1619256013318112
development,0.12994117736816407,0.16477425139690322,5,0.12994117736816407
art,0.12988769156592234,0.22852923058403518,14,0.12988769156592234
initiative,0.12367670676287483,0.19454431011584478,17,0.12367670676287483
menu,0.11775388717651367,0.1495911993925512,5,0.11775388717651367
theorem,0.11178716421127319,0.25057949932170254,5,0.11178716421127319
system,0.10433962941169739,0.14971136001284457,4,0.10433962941169739
experiment,0.09253017739816145,0.2742732891513814,22,0.09253017739816145
algorithm,0.07805720965067546,0.608222653525774,6,0.07805720965067546
analysis,0.07493520567291662,0.1439976925031662,38,0.07493520567291662
research,0.07357418835163117,0.22137964095960155,45,0.07357418835163117
audit,0.07189126809438069,0.11681627556328876,3,0.07189126809438069
sports,0.0669097900390625,0.3388907052682237,3,0.0669097900390625
flight,0.04739122837781906,0.10780395978329313,4,0.04739122837781906
report,0.044860608875751495,0.06669806781394261,8,0.044860608875751495
program,0.03681381419301033,0.22676479180292802,16,0.03681381419301033
startup,0.0318493127822876,0.1906684074318294,5,0.0318493127822876
excavation,0.011415511997054435,0.0439874408225787,9,0.011415511997054435
mission,0.006617915630340576,0.14445358983984663,5,0.006617915630340576
economic,0.0026714404424031577,0.08655520710956142,6,0.0026714404424031577
project,1.6907066629644025e-05,0.21753865302828626,57,1.6907066629644025e-05
glitch,-0.0013923684212689598,0.0012722440884112478,3,0.0013923684212689598
dance,-0.004680355389912923,0.03928459410025967,3,0.004680355389912923
software,-0.007883667945861816,0.2297112552229457,10,0.007883667945861816
symphony,-0.009749248158186674,0.006479173862824308,4,0.009749248158186674
workout,-0.01659553050994873,0.07136207284377616,5,0.01659553050994873
legal,-0.0219420591990153,0.19546943672088957,3,0.0219420591990153
fitness,-0.026434024175008137,0.1538679082693683,3,0.026434024175008137
design,-0.028148058582754695,0.15066488000943312,17,0.028148058582754695
study,-0.030138047451668596,0.22597597959890278,47,0.030138047451668596
therapy,-0.031182699733310275,0.4208007176940485,9,0.031182699733310275
cybersecurity,-0.0358540709130466,0.02924197316887832,4,0.0358540709130466
innovation,-0.03821033901638455,0.18438590959672024,9,0.03821033901638455
protocol,-0.041632652282714844,0.33908494608775375,3,0.041632652282714844
curriculum,-0.04378421306610107,0.18598562936140667,10,0.04378421306610107
strategy,-0.0491789182027181,0.29502977568521516,12,0.0491789182027181
assessment,-0.05620840787887573,0.07491072380287721,10,0.05620840787887573
therapeutic,-0.06196364164352417,0.20860333571976794,10,0.06196364164352417
trial,-0.0825308362642924,0.019311910332566892,3,0.0825308362642924
plan,-0.0841712857908095,0.2496924978279832,27,0.0841712857908095
collection,-0.0925217072168986,0.1378227251400579,6,0.0925217072168986
observation,-0.1218750923871994,0.24238723215771787,8,0.1218750923871994
performance,-0.12920427322387695,0.13539583547246958,3,0.12920427322387695
piece,-0.14172854026158652,0.06510372780050325,3,0.14172854026158652
application,-0.1527104377746582,0.212288983036147,5,0.1527104377746582
forecast,-0.15932893753051758,0.36455774247750256,3,0.15932893753051758
script,-0.1768489678700765,0.16659361572158485,6,0.1768489678700765
campaign,-0.19650924255450566,0.1876103774207611,15,0.19650924255450566
data,-0.20538723468780518,0.3478374149741283,3,0.20538723468780518
recipe,-0.257423842495138,0.18312927485441863,11,0.257423842495138
artwork,-0.26215044657389325,0.11261495203304157,3,0.26215044657389325
app,-0.3352421522140503,0.14101031941912928,3,0.3352421522140503
findings,-0.37906450033187866,0.27567321776923637,4,0.37906450033187866
novel,-0.39817787068230764,0.7535929441133058,7,0.39817787068230764
discovery,-0.49114054441452026,0.6738506610040943,8,0.49114054441452026
prototype,-0.5052013397216797,0.16623916827963195,3,0.5052013397216797
breakthrough,-0.5117826064427694,0.12377674589317092,3,0.5117826064427694
