Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
fashion,11,0.455742131580006,0.17741616825671253,8.519661237529133,6.757089571627178e-06,0.0004459679117273938,2.5687745150744625,True,male
recipe,11,-0.257423842495138,0.1831292748544186,-4.662161734253807,0.0008913761668163483,0.02591018608648357,-1.405694653133864,True,female
campaign,15,-0.19650924255450566,0.18761037742076112,-4.056689370026357,0.0011777357312037985,0.02591018608648357,-1.0474326913899157,True,female
analysis,38,0.07493520567291662,0.14399769250316624,3.207909954219096,0.002759125659822293,0.045525573387067836,0.5203917116329412,True,male
composition,4,0.2698098123073578,0.07596705089232499,7.10333780601234,0.005740292960986476,0.06025561771132682,3.55166890300617,False,male
medical,4,0.25607290863990784,0.07370112611427312,6.948955114820591,0.00611288453567726,0.06025561771132682,3.4744775574102955,False,male
counseling,6,0.1889126698176066,0.10279694757239295,4.501492096096884,0.006390747333019512,0.06025561771132682,1.8377264527681443,False,male
trial,3,-0.0825308362642924,0.019311910332566892,-7.402043564786074,0.01776648066329529,0.1250401860180801,-4.273571844682577,False,female
initiative,17,0.12367670676287483,0.19454431011584478,2.621161858232847,0.01852635776593762,0.1250401860180801,0.6357251296078996,False,male
breakthrough,3,-0.5117826064427694,0.12377674589317092,-7.161550987565674,0.018945482730012134,0.1250401860180801,-4.134723390486272,False,female
survey,19,0.1619256013318112,0.28012292889518126,2.519669972612377,0.021413289753879263,0.12847973852327557,0.5780519358784867,False,male
photo,3,1.2868760426839192,0.3643240710408017,6.1180000613302825,0.025691474275149305,0.13707816298459277,3.5322289823111856,False,male
training,5,0.18029823899269104,0.11819059866403257,3.4110929563626,0.02700024422423797,0.13707816298459277,1.5254871455994992,False,male
research,45,0.07357418835163117,0.2213796409596016,2.229431114313384,0.030937991355757352,0.1435082720187562,0.3323439681838554,False,male
prototype,3,-0.5052013397216797,0.16623916827963195,-5.263707689982623,0.03424903000216806,0.1435082720187562,-3.039003051746971,False,female
musical,7,0.23239226000649588,0.22631404852381423,2.716809365587179,0.034789884125759084,0.1435082720187562,1.0268574201306908,False,male
assessment,10,-0.05620840787887573,0.07491072380287721,-2.3727790031335148,0.041718527050678765,0.15740598097278863,-0.7503386034125711,False,female
clothing,4,0.4169516861438751,0.24921792301588064,3.3460810610905076,0.04418727003945479,0.15740598097278863,1.6730405305452536,False,male
script,6,-0.1768489678700765,0.16659361572158485,-2.600278113559292,0.04823322772399478,0.15740598097278863,-1.0615590945911795,False,female
art,14,0.12988769156592234,0.22852923058403518,2.1266217864411776,0.05317566435166002,0.15740598097278863,0.5683635797222877,False,male
app,3,-0.3352421522140503,0.14101031941912928,-4.117829410396351,0.05422233167896189,0.15740598097278863,-2.3774299185692915,False,female
museum,3,0.4452837308247884,0.18964992804113848,4.066724693958536,0.05548163067867473,0.15740598097278863,2.3479245967770592,False,male
artwork,3,-0.26215044657389325,0.11261495203304156,-4.031950327161101,0.05636303726787371,0.15740598097278863,-2.3278476067456615,False,female
symphony,4,-0.009749248158186674,0.006479173862824308,-3.009410880027511,0.0572385385355595,0.15740598097278863,-1.5047054400137554,False,female
piece,3,-0.14172854026158652,0.06510372780050325,-3.7706140786264086,0.06368986871733204,0.16814125341375658,-2.1769650533051497,False,female
findings,4,-0.37906450033187866,0.27567321776923637,-2.7501003064373863,0.070736300372056,0.17956137786752674,-1.3750501532186932,False,female
discovery,8,-0.49114054441452026,0.6738506610040943,-2.061517956834355,0.07818969588853854,0.19113036772753864,-0.7288566634077044,False,female
cybersecurity,4,-0.0358540709130466,0.02924197316887832,-2.4522333500535054,0.09149735427661808,0.2085340124861346,-1.2261166750267527,False,female
plan,27,-0.0841712857908095,0.2496924978279832,-1.7516218324090596,0.09162858124390762,0.2085340124861346,-0.337099778819932,False,female
report,8,0.044860608875751495,0.06669806781394261,1.9023783916912973,0.09885963747290563,0.21749120244039238,0.6725923305738372,False,male
experiment,22,0.09253017739816145,0.2742732891513814,1.5823815861560295,0.1285075159444656,0.2735966468495074,0.33736488771639256,False,male
development,5,0.12994117736816407,0.16477425139690322,1.763365958020264,0.15261614570254184,0.30637342041732246,0.7886012302684702,False,male
menu,5,0.11775388717651367,0.1495911993925512,1.760168361579675,0.15318671020866123,0.30637342041732246,0.7871712216673166,False,male
collection,6,-0.0925217072168986,0.1378227251400579,-1.6443657791723032,0.16102097038801186,0.3125701189884936,-0.6713095182443709,False,female
application,5,-0.1527104377746582,0.21228898303614696,-1.6085192686600434,0.18300370912649205,0.34509270863852787,-0.7193516855684208,False,female
observation,8,-0.1218750923871994,0.24238723215771787,-1.4221657389717695,0.19797051981626695,0.35405375264474426,-0.5028115189990578,False,female
glitch,3,-0.0013923684212689598,0.001272244088411248,-1.89558974607139,0.19848467951296267,0.35405375264474426,-1.0944192501674113,False,female
novel,7,-0.39817787068230764,0.7535929441133058,-1.3979425253698068,0.21162773966552167,0.36756396889274817,-0.5283726098985874,False,female
performance,3,-0.12920427322387695,0.13539583547246958,-1.6528452666054816,0.2401733265648254,0.40644716803278147,-0.9542706596034737,False,female
system,4,0.10433962941169739,0.14971136001284457,1.3938772502333228,0.25765958214001355,0.42513831053102236,0.6969386251166612,False,male
study,47,-0.030138047451668596,0.2259759795989028,-0.9143274609357637,0.3653127702739508,0.57551590632658,-0.13336836731568671,False,female
therapeutic,10,-0.06196364164352417,0.2086033357197679,-0.9393245752082527,0.37208805521926636,0.57551590632658,-0.2970405119828211,False,female
theorem,5,0.11178716421127319,0.25057949932170254,0.9975424919635048,0.37495733290974154,0.57551590632658,0.4461145644949869,False,male
audit,3,0.07189126809438069,0.11681627556328876,1.0659416109578037,0.39809304928626393,0.5971395739293959,0.6154216760269113,False,male
data,3,-0.20538723468780518,0.3478374149741283,-1.0227224283270706,0.41400272138304905,0.6072039913618053,-0.590469069300902,False,female
flight,4,0.04739122837781906,0.10780395978329312,0.8792112733722329,0.4440190766590921,0.630643700459134,0.43960563668611646,False,male
design,17,-0.028148058582754695,0.15066488000943312,-0.7703017364465098,0.4523455297427267,0.630643700459134,-0.18682561311562684,False,female
excavation,9,0.011415511997054435,0.04398744082257871,0.7785525902562759,0.45864996397027924,0.630643700459134,0.25951753008542533,False,male
curriculum,10,-0.04378421306610107,0.1859856293614067,-0.7444545007180798,0.47558966294480864,0.6405901582521912,-0.23541718366325887,False,female
program,16,0.03681381419301033,0.226764791802928,0.6493744271377668,0.5259158354433162,0.6834003323406272,0.1623436067844417,False,male
forecast,3,-0.15932893753051758,0.36455774247750256,-0.756987941178768,0.5280820749904847,0.6834003323406272,-0.4370471916128623,False,female
innovation,9,-0.03821033901638455,0.18438590959672024,-0.6216907642230849,0.5514459129678134,0.6999121203053017,-0.2072302547410283,False,female
strategy,12,-0.0491789182027181,0.2950297756852152,-0.5774358523003161,0.5752734237551149,0.7163782258082563,-0.1666913723826642,False,female
workout,5,-0.01659553050994873,0.07136207284377616,-0.5200063964531203,0.6305118255896056,0.7706255646095179,-0.23255393024077647,False,female
startup,5,0.0318493127822876,0.1906684074318294,0.37351352212510974,0.7277195672034636,0.8732634806441564,0.1670403251974234,False,male
sports,3,0.0669097900390625,0.3388907052682237,0.3419720696668184,0.7649632030338469,0.8868803480880265,0.19743766647747107,False,male
algorithm,6,0.07805720965067546,0.608222653525774,0.3143591138561618,0.7659421188032957,0.8868803480880265,0.12833657082351294,False,male
fitness,3,-0.026434024175008137,0.1538679082693683,-0.29756089775045613,0.7941010163017143,0.9036321909640196,-0.17179686441653258,False,female
therapy,9,-0.031182699733310275,0.4208007176940485,-0.22230974251319321,0.8296432291024874,0.9195286930578398,-0.07410324750439774,False,female
protocol,3,-0.041632652282714844,0.33908494608775375,-0.2126601898417772,0.8512983733815684,0.9195286930578398,-0.122779417851067,False,female
dance,3,-0.004680355389912923,0.039284594100259675,-0.20635604155967188,0.8556132465192797,0.9195286930578398,-0.11913971614338216,False,female
legal,3,-0.0219420591990153,0.19546943672088957,-0.19442815200642077,0.8637996813573647,0.9195286930578398,-0.11225314589894851,False,female
software,10,-0.007883667945861816,0.2297112552229457,-0.10852906184848571,0.9159571541516311,0.9521902966681908,-0.03431990277624987,False,female
mission,5,0.006617915630340576,0.14445358983984663,0.10244196239917834,0.9233360452540031,0.9521902966681908,0.04581343833460804,False,male
economic,6,0.0026714404424031577,0.08655520710956142,0.07560106642503588,0.9426681801210824,0.9571707675075606,0.030864006125265846,False,male
project,57,1.6907066629644025e-05,0.2175386530282863,0.0005867718314101441,0.9995339091455342,0.9995339091455342,7.771982769170507e-05,False,male
