Context,mean_delta,std_delta,count,mean_abs_delta
photo,0.6930747032165527,0.18002831635382108,3,0.6930747032165527
cybersecurity,0.5661835367363892,0.7907651402173874,4,0.5661835367363892
sports,0.40354379018147785,0.2044106375386368,3,0.40354379018147785
development,0.37421483993530275,0.252201423803365,5,0.37421483993530275
glitch,0.3550727517188837,0.22953708591349747,3,0.3550727517188837
art,0.30451953943286625,0.37979148306649463,14,0.30451953943286625
flight,0.2980231586843729,0.3910666593636585,4,0.2980231586843729
therapeutic,0.19931383132934571,0.21530621591256896,10,0.19931383132934571
composition,0.19226378202438354,0.11769742389704776,4,0.19226378202438354
training,0.1909218907356262,0.09733447072101764,5,0.1909218907356262
artwork,0.15821393330891928,0.17837668628697875,3,0.15821393330891928
economic,0.13026448090871176,0.15984011886689695,6,0.13026448090871176
theorem,0.11574151515960693,0.08497781774839644,5,0.11574151515960693
menu,0.09797043800354004,0.1454430282249843,5,0.09797043800354004
research,0.090353790918986,0.14173886717345469,45,0.090353790918986
project,0.08820730539267524,0.18615082293019353,57,0.08820730539267524
design,0.07704229565227733,0.15892001737208894,17,0.07704229565227733
workout,0.05625319480895996,0.16193266902360498,5,0.05625319480895996
study,0.04777663058422981,0.20108778523658322,47,0.04777663058422981
system,0.046991705894470215,0.09000753058589284,4,0.046991705894470215
medical,0.04452972114086151,0.22541377307131996,4,0.04452972114086151
legal,0.03273975849151611,0.19563322917787188,3,0.03273975849151611
report,0.03219810128211975,0.03171214420601469,8,0.03219810128211975
recipe,0.02728587253527208,0.148923657954696,11,0.02728587253527208
innovation,0.014304346508449979,0.1705719183129105,9,0.014304346508449979
counseling,0.004233161608378093,0.18699457599760197,6,0.004233161608378093
protocol,0.003354152043660482,0.08315182822000215,3,0.003354152043660482
dance,0.0033082664012908936,0.08165277522547003,3,0.0033082664012908936
script,0.0020294214288393655,0.07867357144894913,6,0.0020294214288393655
startup,-0.005389404296875,0.20584144552900985,5,0.005389404296875
performance,-0.006453355153401692,0.09424899214063827,3,0.006453355153401692
fashion,-0.009901775555177168,0.15548339874173953,11,0.009901775555177168
plan,-0.013451091669223926,0.20484761788571723,27,0.013451091669223926
program,-0.018696438521146774,0.12476544149566754,16,0.018696438521146774
symphony,-0.019823312759399414,0.32075146836489155,4,0.019823312759399414
software,-0.02555626630783081,0.20656918815922562,10,0.02555626630783081
campaign,-0.031086852277318635,0.20802198942241426,15,0.031086852277318635
analysis,-0.03527630002875077,0.11756700545297842,38,0.03527630002875077
discovery,-0.04027672857046127,0.10045079537406638,8,0.04027672857046127
algorithm,-0.041844844818115234,0.2736310155275666,6,0.041844844818115234
observation,-0.04538559913635254,0.3453146496744977,8,0.04538559913635254
museum,-0.04645856221516927,0.062196377773964785,3,0.04645856221516927
findings,-0.04689469933509827,0.08718423793356096,4,0.04689469933509827
excavation,-0.054666876792907715,0.20574370535759912,9,0.054666876792907715
mission,-0.07611160278320313,0.1706232482628961,5,0.07611160278320313
experiment,-0.07689268751577898,0.22990358362492028,22,0.07689268751577898
app,-0.07742651303609212,0.09033275362002029,3,0.07742651303609212
survey,-0.079265349005398,0.10504557838609233,19,0.079265349005398
assessment,-0.08206230998039246,0.07679663089246912,10,0.08206230998039246
musical,-0.10424455574580602,0.236670831044737,7,0.10424455574580602
audit,-0.10993599891662598,0.17918003108532388,3,0.10993599891662598
data,-0.1171708603700002,0.026504564267869225,3,0.1171708603700002
strategy,-0.11858698725700378,0.24238809860593993,12,0.11858698725700378
collection,-0.12193559606870015,0.11444297758807337,6,0.12193559606870015
application,-0.1466343879699707,0.17374825493118917,5,0.1466343879699707
initiative,-0.17511585179497213,0.14153911274345504,17,0.17511585179497213
fitness,-0.17869035402933756,0.29419685954480324,3,0.17869035402933756
breakthrough,-0.18676336606343588,0.10742635361740964,3,0.18676336606343588
forecast,-0.18697269757588705,0.1401003243253451,3,0.18697269757588705
curriculum,-0.21486117839813232,0.24369792265747697,10,0.21486117839813232
piece,-0.22134935855865479,0.08337215416086342,3,0.22134935855865479
novel,-0.22827593769345964,0.10937813787717651,7,0.22827593769345964
therapy,-0.3105386760499742,0.20471348120509555,9,0.3105386760499742
clothing,-0.38043344020843506,0.3726167643231702,4,0.38043344020843506
trial,-0.38177194197972614,0.06130568098460821,3,0.38177194197972614
prototype,-0.42427857716878253,0.25934874531150315,3,0.42427857716878253
