Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
research,45,0.090353790918986,0.14173886717345469,4.276255819211755,0.00010064465223326343,0.003523275965177189,0.6374665800624357,True,male
initiative,17,-0.17511585179497213,0.14153911274345504,-5.101212941608363,0.00010676593833870269,0.003523275965177189,-1.237225869236415,True,female
project,57,0.08820730539267524,0.18615082293019353,3.5774784189151507,0.000724356407952916,0.015935840974964154,0.473848592255501,True,male
novel,7,-0.22827593769345964,0.10937813787717653,-5.521774032349801,0.0014844726937206017,0.02449379944638993,-2.0870344122131286,True,female
therapy,9,-0.3105386760499742,0.20471348120509555,-4.550828908119479,0.0018723343878894304,0.024714813920140483,-1.51694296937316,True,female
survey,19,-0.079265349005398,0.10504557838609233,-3.289140307925197,0.004077877037908472,0.04485664741699319,-0.7545805375459046,True,female
assessment,10,-0.08206230998039246,0.0767966308924691,-3.3791040905969663,0.00813853606329519,0.0700116452902552,-1.0685665377078375,False,female
trial,3,-0.38177194197972614,0.06130568098460821,-10.786086864921057,0.00848626003518245,0.0700116452902552,-6.227350154964859,False,female
art,14,0.30451953943286625,0.37979148306649463,3.000087771679948,0.010237169652563072,0.0750725774521292,0.8018071837054608,False,male
training,5,0.1909218907356262,0.09733447072101764,4.386054836639319,0.011818922081310468,0.07800488573664908,1.96150335355345,False,male
data,3,-0.1171708603700002,0.02650456426786922,-7.657016402017403,0.016631820962028167,0.09255532106191293,-4.420780480894127,False,female
therapeutic,10,0.19931383132934571,0.21530621591256893,2.9273919171534897,0.016828240193075078,0.09255532106191293,0.9257226062171964,False,male
curriculum,10,-0.21486117839813232,0.24369792265747697,-2.788085745978435,0.021119807139014717,0.10257902885164598,-0.8816701269141495,False,female
photo,3,0.6930747032165527,0.18002831635382108,6.668065467281758,0.021759187938227936,0.10257902885164598,3.849809392509171,False,male
report,8,0.03219810128211975,0.03171214420601469,2.8717699579077904,0.02393138006816442,0.10529807229992345,1.0153240056222024,False,male
development,5,0.37421483993530275,0.252201423803365,3.3178631891346813,0.029437232607683203,0.12142858450669321,1.4837935261898778,False,male
theorem,5,0.11574151515960693,0.08497781774839644,3.0455700390186506,0.03819338398209999,0.1482801966363882,1.362020327496478,False,male
piece,3,-0.22134935855865479,0.08337215416086342,-4.598517803757807,0.044179228294493944,0.15733717678187292,-2.654955491872857,False,female
composition,4,0.19226378202438354,0.11769742389704776,3.2670856448406282,0.04688000781639705,0.15733717678187292,1.6335428224203141,False,male
collection,6,-0.12193559606870015,0.11444297758807337,-2.6098586225666383,0.04767793235814331,0.15733717678187292,-1.0654703210152023,False,female
design,17,0.07704229565227733,0.15892001737208894,1.998826377363542,0.06291044293552932,0.19771853494023497,0.4847866047729758,False,male
analysis,38,-0.03527630002875077,0.11756700545297843,-1.8496492024468512,0.07236419712882784,0.2170925913864835,-0.3000527222143097,False,female
sports,3,0.40354379018147785,0.2044106375386368,3.4193834337076527,0.07591599149695653,0.2178458886434405,1.97418194591366,False,male
breakthrough,3,-0.18676336606343588,0.10742635361740964,-3.011213060125982,0.09485407248741509,0.2608486993403915,-1.7385246708510527,False,female
economic,6,0.13026448090871176,0.15984011886689695,1.9962542076221312,0.10242832805713836,0.26717528269491775,0.8149673675930285,False,male
prototype,3,-0.42427857716878253,0.25934874531150315,-2.8335284650662604,0.10525086894042215,0.26717528269491775,-1.6359384220624726,False,female
study,47,0.04777663058422981,0.2010877852365832,1.6288412390194655,0.11017703230254286,0.269012255421469,0.23759091348099437,False,male
glitch,3,0.3550727517188837,0.22953708591349747,2.6793232296769864,0.11563245662676834,0.269012255421469,1.5469079879000256,False,male
strategy,12,-0.11858698725700378,0.24238809860593993,-1.6947918501524983,0.1182023546548879,0.269012255421469,-0.4892442654529644,False,female
experiment,22,-0.07689268751577898,0.22990358362492022,-1.5687388062971224,0.13165473195841876,0.2759515418506959,-0.33445623727739165,False,female
application,5,-0.1466343879699707,0.17374825493118914,-1.88712375539994,0.1321888481105003,0.2759515418506959,-0.8439473998057905,False,female
clothing,4,-0.38043344020843506,0.3726167643231702,-2.0419555781364975,0.1337946869579132,0.2759515418506959,-1.0209777890682488,False,female
forecast,3,-0.18697269757588705,0.1401003243253451,-2.311530779026617,0.14698286526622412,0.29396573053244823,-1.3345629175111224,False,female
menu,5,0.09797043800354004,0.1454430282249843,1.5062156078218436,0.20647813704908385,0.40081050133057455,0.6736000975721612,False,male
flight,4,0.2980231586843729,0.3910666593636585,1.5241552893786168,0.22486512424449834,0.4240313771467683,0.7620776446893084,False,male
cybersecurity,4,0.5661835367363892,0.7907651402173874,1.4319891152023747,0.24755843609453132,0.4538571328399741,0.7159945576011874,False,male
artwork,3,0.15821393330891928,0.17837668628697875,1.5362689859339889,0.26427091894400034,0.4714021797379465,0.886965312576662,False,male
app,3,-0.07742651303609212,0.09033275362002029,-1.4845850376212129,0.2759407587850073,0.47926552841606523,-0.8571255711054978,False,female
musical,7,-0.10424455574580602,0.23667083104473702,-1.165353452380778,0.2881045531585739,0.48526258905256314,-0.4404622034985843,False,female
discovery,8,-0.04027672857046127,0.10045079537406638,-1.1340855108265617,0.29409853881973524,0.48526258905256314,-0.4009597775754358,False,female
museum,3,-0.04645856221516927,0.06219637777396479,-1.2937825816113164,0.32500709418151696,0.5231821516092712,-0.7469657217661425,False,female
findings,4,-0.04689469933509827,0.08718423793356096,-1.0757609505248995,0.3608462113491921,0.562486030240649,-0.5378804752624498,False,female
system,4,0.046991705894470215,0.09000753058589284,1.0441727617363468,0.3731372782180897,0.562486030240649,0.5220863808681734,False,male
mission,5,-0.07611160278320313,0.1706232482628961,-0.9974649963144222,0.3749906868270994,0.562486030240649,-0.446079907387125,False,female
audit,3,-0.10993599891662598,0.17918003108532388,-1.0627006511331583,0.3992620345974807,0.5784213091310069,-0.6135505069997196,False,female
fitness,3,-0.17869035402933756,0.29419685954480324,-1.0520192923886356,0.4031421245458533,0.5784213091310069,-0.6073836216532583,False,female
excavation,9,-0.054666876792907715,0.20574370535759912,-0.7971112899598889,0.44839539217347824,0.6296616145414801,-0.265703763319963,False,female
workout,5,0.05625319480895996,0.16193266902360498,0.7767794374218391,0.48066416092337116,0.6609132212696354,0.3473863251198553,False,male
recipe,11,0.02728587253527208,0.148923657954696,0.6076737740654408,0.5569510110855007,0.7363553293776274,0.1832205366831152,False,male
program,16,-0.018696438521146774,0.12476544149566754,-0.5994108078973457,0.5578449464982025,0.7363553293776274,-0.14985270197433642,False,female
campaign,15,-0.031086852277318635,0.20802198942241426,-0.5787794910065036,0.5719326848230735,0.7401481803592717,-0.14944022198630624,False,female
