Context,mean_delta,std_delta,count,mean_abs_delta
symphony,0.6975904107093811,0.16714669935225865,4,0.6975904107093811
economic,0.25716137886047363,0.15467118052738493,6,0.25716137886047363
flight,0.2548842430114746,0.18558889140500615,4,0.2548842430114746
startup,0.23761587142944335,0.3119939252772697,5,0.23761587142944335
composition,0.20087403059005737,0.1818881214129845,4,0.20087403059005737
theorem,0.19923369884490966,0.1115856692861068,5,0.19923369884490966
breakthrough,0.1931613286336263,0.14525907398601137,3,0.1931613286336263
photo,0.18184558550516763,0.023149581082243853,3,0.18184558550516763
development,0.16773419380187987,0.2617300022875941,5,0.16773419380187987
training,0.11608257293701171,0.04380440629819964,5,0.11608257293701171
sports,0.11064616839090984,0.4649087862216357,3,0.11064616839090984
collection,0.10483133792877197,0.16692661095638311,6,0.10483133792877197
software,0.10237547755241394,0.1813676887352833,10,0.10237547755241394
experiment,0.09756459431214766,0.2693694421982179,22,0.09756459431214766
report,0.09712501615285873,0.021890942959125123,8,0.09712501615285873
medical,0.09281545877456665,0.07673781044987855,4,0.09281545877456665
fitness,0.09021576245625813,0.05100469420930699,3,0.09021576245625813
system,0.08568555116653442,0.09679205390172925,4,0.08568555116653442
discovery,0.08213357627391815,0.13528858855582737,8,0.08213357627391815
protocol,0.07787140210469563,0.12075475230301128,3,0.07787140210469563
menu,0.07722010612487792,0.19004979112837225,5,0.07722010612487792
research,0.07563442124260797,0.13438231643783335,45,0.07563442124260797
project,0.07161416453227662,0.13506869485819614,57,0.07161416453227662
legal,0.04995536804199219,0.10189871388898744,3,0.04995536804199219
musical,0.04823012011391776,0.11605332730657915,7,0.04823012011391776
strategy,0.04611934721469879,0.0956740229887077,12,0.04611934721469879
algorithm,0.021302640438079834,0.1868564257562279,6,0.021302640438079834
study,0.0119238407053846,0.15033663866434424,47,0.0119238407053846
innovation,0.00858698950873481,0.0731516491097314,9,0.00858698950873481
glitch,0.006090061428646247,0.00095225101176422,3,0.006090061428646247
survey,0.00019461857645135177,0.06460398882370616,19,0.00019461857645135177
museum,-0.006592273712158203,0.07527566763772219,3,0.006592273712158203
plan,-0.007026578541155215,0.17978563019034433,27,0.007026578541155215
workout,-0.009383726119995116,0.14326487104036414,5,0.009383726119995116
cybersecurity,-0.009624636379726326,0.010827696155960426,4,0.009624636379726326
art,-0.010700932570866175,0.1168233265528854,14,0.010700932570866175
trial,-0.013305683930714926,0.0864063152259666,3,0.013305683930714926
script,-0.03641656041145325,0.04538622631333479,6,0.03641656041145325
mission,-0.04265260696411133,0.1501573991300358,5,0.04265260696411133
recipe,-0.04987255348400636,0.0901553755691994,11,0.04987255348400636
dance,-0.07137425740559895,0.0367144060071246,3,0.07137425740559895
novel,-0.07178400244031634,0.11796944995557734,7,0.07178400244031634
performance,-0.08072908719380696,0.10829544715895703,3,0.08072908719380696
campaign,-0.09045151472091675,0.19187931554857265,15,0.09045151472091675
program,-0.11192711442708969,0.1448389697506115,16,0.11192711442708969
design,-0.12282002673429601,0.1528218291940943,17,0.12282002673429601
piece,-0.12321925163269043,0.133411701783278,3,0.12321925163269043
prototype,-0.13506333033243814,0.11761553713080532,3,0.13506333033243814
excavation,-0.1409522427452935,0.14556937071909454,9,0.1409522427452935
analysis,-0.14454153964394018,0.19131974039205935,38,0.14454153964394018
therapeutic,-0.1491451859474182,0.1760909399347546,10,0.1491451859474182
clothing,-0.14931327104568481,0.04517606882361511,4,0.14931327104568481
observation,-0.18907815217971802,0.09115163925263958,8,0.18907815217971802
artwork,-0.19246355692545572,0.20478722571367908,3,0.19246355692545572
findings,-0.20033478736877441,0.19853108369404882,4,0.20033478736877441
application,-0.21147756576538085,0.15870259834803588,5,0.21147756576538085
assessment,-0.213852396607399,0.1132634021080248,10,0.213852396607399
initiative,-0.21595722086289348,0.17120145763451816,17,0.21595722086289348
audit,-0.24199255307515463,0.16131590320753905,3,0.24199255307515463
curriculum,-0.2566843032836914,0.14313078613711153,10,0.2566843032836914
forecast,-0.2644619146982829,0.07621710849847523,3,0.2644619146982829
data,-0.2796741724014282,0.036543504489545395,3,0.2796741724014282
counseling,-0.30005156993865967,0.1833900004609365,6,0.30005156993865967
app,-0.31277235349019367,0.19336249817448725,3,0.31277235349019367
therapy,-0.3916335105895996,0.1733090474261401,9,0.3916335105895996
fashion,-0.4613465395840732,0.11848504636383847,11,0.4613465395840732
