Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
fashion,11,-0.4613465395840732,0.11848504636383847,-12.913978743196113,1.46064467041861e-07,9.640254824762827e-06,-3.893711094709718,True,female
report,8,0.09712501615285873,0.021890942959125123,12.54907249500852,4.706584799197027e-06,0.00015531729837350188,4.436767129411056,True,male
analysis,38,-0.14454153964394018,0.19131974039205935,-4.657197888549829,4.046539029448154e-05,0.0008902385864785939,-0.75549725996774,True,female
initiative,17,-0.21595722086289348,0.17120145763451816,-5.200974597619451,8.746024798801172e-05,0.0014430940918021935,-1.261421624831724,True,female
therapy,9,-0.3916335105895996,0.1733090474261401,-6.77922214228032,0.0001407783116811544,0.001858273714191238,-2.25974071409344,True,female
project,57,0.07161416453227662,0.13506869485819617,4.002963721583027,0.0001858069697310892,0.0019792692282632808,0.5302054973394227,True,male
assessment,10,-0.213852396607399,0.11326340210802481,-5.970689947314697,0.00020992249390671156,0.0019792692282632808,-1.8880979436185183,True,female
curriculum,10,-0.2566843032836914,0.14313078613711153,-5.6710862833683535,0.000305302584519886,0.0025187463222890597,-1.7933549462783065,True,female
research,45,0.07563442124260797,0.13438231643783335,3.7755795216306733,0.000474847091498126,0.003482212004319591,0.5628301643214881,True,male
observation,8,-0.18907815217971802,0.09115163925263958,-5.86707796707579,0.0006197726502026249,0.004090499491337324,-2.0743253081347373,True,female
symphony,4,0.6975904107093811,0.16714669935225865,8.347043805384658,0.0036047564781711613,0.021628538869026968,4.173521902692329,True,male
training,5,0.11608257293701171,0.04380440629819965,5.925625890765783,0.004063960200980082,0.02229311480503917,2.650020460197007,True,male
design,17,-0.12282002673429601,0.15282182919409426,-3.3136623598682653,0.00439106806765923,0.02229311480503917,-0.8036811716100198,True,female
photo,3,0.18184558550516763,0.023149581082243853,13.605680038359113,0.00535867813648778,0.02482898023944545,7.855243032654552,True,male
data,3,-0.2796741724014282,0.036543504489545395,-13.255703932353677,0.00564295005441942,0.02482898023944545,-7.653184233642377,True,female
clothing,4,-0.14931327104568481,0.04517606882361511,-6.610281723656023,0.007049192325349673,0.028930520226775103,-3.3051408618280114,True,female
program,16,-0.11192711442708969,0.1448389697506115,-3.0910773425082905,0.007451800664472375,0.028930520226775103,-0.7727693356270724,True,female
glitch,3,0.006090061428646247,0.0009522510117642201,11.077221956517688,0.008051346638631876,0.02952160434165021,6.395437078468721,True,male
economic,6,0.25716137886047363,0.15467118052738493,4.07260200388256,0.009609367273040424,0.03337990736950884,1.6626328058247577,True,male
counseling,6,-0.30005156993865967,0.1833900004609365,-4.007706205482513,0.010244793102577553,0.03380781723850592,-1.6361392070696514,True,female
theorem,5,0.19923369884490966,0.1115856692861068,3.992449002422278,0.016231780758632724,0.05101416809855999,1.7854774732234873,False,male
excavation,9,-0.1409522427452935,0.14556937071909454,-2.9048468516901664,0.01974443637653181,0.05923330912959543,-0.9682822838967222,False,female
therapeutic,10,-0.1491451859474182,0.1760909399347546,-2.6783802154610084,0.02527304620694619,0.07252265433297601,-0.8469781920789317,False,female
forecast,3,-0.2644619146982829,0.07621710849847523,-6.009956057747012,0.026586668726021757,0.07311333899655983,-3.4698497477580594,False,female
application,5,-0.21147756576538085,0.15870259834803588,-2.9796500982961147,0.040752982101240204,0.10758787274727415,-1.3325400337908087,False,female
flight,4,0.2548842430114746,0.18558889140500615,2.7467618463784764,0.07093459670286063,0.18006474547649237,1.3733809231892382,False,male
dance,3,-0.07137425740559895,0.0367144060071246,-3.367175275966791,0.07801788915937913,0.19071039572292675,-1.9440395519880793,False,female
campaign,15,-0.09045151472091675,0.19187931554857265,-1.82571638402924,0.08929468383931227,0.2035101223094959,-0.47139794334955143,False,female
fitness,3,0.09021576245625813,0.05100469420930699,3.0636059413780576,0.09206785942862152,0.2035101223094959,1.7687737149455582,False,male
medical,4,0.09281545877456665,0.07673781044987855,2.419028070528263,0.09425094572406117,0.2035101223094959,1.2095140352641316,False,male
recipe,11,-0.04987255348400636,0.0901553755691994,-1.834705320665217,0.09643070433381978,0.2035101223094959,-0.5531844681377466,False,female
experiment,22,0.09756459431214766,0.2693694421982179,1.698850868264909,0.10411559492384473,0.2035101223094959,0.3621962220954294,False,male
script,6,-0.03641656041145325,0.04538622631333479,-1.9653978407341284,0.10654946513490093,0.2035101223094959,-0.8023703085610756,False,female
app,3,-0.31277235349019367,0.19336249817448725,-2.8016684339641333,0.10728457350471263,0.2035101223094959,-1.6175440245292696,False,female
software,10,0.10237547755241394,0.18136768873528328,1.7849909643254316,0.107922034558066,0.2035101223094959,0.5644637050088724,False,male
composition,4,0.20087403059005737,0.18188812141298452,2.208764695897481,0.1142331740553828,0.2094274857682018,1.1043823479487402,False,male
audit,3,-0.24199255307515463,0.16131590320753905,-2.598276974838817,0.12167442248865956,0.21384988269238292,-1.5001159108523974,False,female
strategy,12,0.04611934721469879,0.0956740229887077,1.6698587577360842,0.12312569003500834,0.21384988269238292,0.4820467016437911,False,male
discovery,8,0.08213357627391815,0.13528858855582734,1.717135476579365,0.12965646564544991,0.21941863416922294,0.6070990698526315,False,male
findings,4,-0.20033478736877441,0.19853108369404882,-2.0181704914027994,0.13689788838428943,0.22588151583407753,-1.0090852457013997,False,female
breakthrough,3,0.1931613286336263,0.14525907398601137,2.3032312272840785,0.14782032289528454,0.23795466612411656,1.3297711690784149,False,male
novel,7,-0.07178400244031634,0.11796944995557737,-1.6099305255847853,0.15853856794401605,0.24913203534059666,-0.6084965426841217,False,female
startup,5,0.23761587142944335,0.3119939252772697,1.7029986740187186,0.16377845455251794,0.2513808837317717,0.7616041601395719,False,male
cybersecurity,4,-0.009624636379726326,0.010827696155960426,-1.7777810239767693,0.1735040059830202,0.25633992014669205,-0.8888905119883844,False,female
system,4,0.08568555116653442,0.09679205390172925,1.7705079644973543,0.17477721828183548,0.25633992014669205,0.8852539822486771,False,male
collection,6,0.10483133792877197,0.16692661095638311,1.5383004873073232,0.18458942022953112,0.25980054450943496,0.628008544162942,False,male
prototype,3,-0.13506333033243814,0.11761553713080532,-1.9889935979722695,0.18500947866580972,0.25980054450943496,-1.1483459892057322,False,female
development,5,0.16773419380187987,0.2617300022875941,1.4330227953003203,0.22513681957308362,0.30956312691299,0.6408672767196565,False,male
artwork,3,-0.19246355692545572,0.20478722571367908,-1.6278195968453275,0.24510023032981987,0.33013500411771657,-0.9398220824307979,False,female
piece,3,-0.12321925163269043,0.133411701783278,-1.5997247726075015,0.2507878883256311,0.331040012589833,-0.9236015280942538,False,female
musical,7,0.04823012011391776,0.11605332730657916,1.0995367947280437,0.31368259947012767,0.40594218754957695,0.41558584517363983,False,male
performance,3,-0.08072908719380696,0.10829544715895703,-1.2911612107117718,0.32575263884661454,0.4134552723822415,-0.7454522725716445,False,female
protocol,3,0.07787140210469563,0.12075475230301129,1.1169516920005755,0.38019597973329583,0.4734515974037269,0.6448723600483401,False,male
menu,5,0.07722010612487792,0.19004979112837225,0.9085482572740242,0.4149784688023755,0.5071959063140145,0.40631513282073717,False,male
legal,3,0.04995536804199219,0.10189871388898744,0.8491298099581229,0.4852360718846172,0.5822832862615406,0.49024532435625806,False,male
mission,5,-0.04265260696411133,0.1501573991300358,-0.6351610319697945,0.5598406782925386,0.6598122279876347,-0.28405264882867554,False,female
study,47,0.0119238407053846,0.15033663866434427,0.5437512379722177,0.5892384766108149,0.6822761308125225,0.07931426970378717,False,male
sports,3,0.11064616839090984,0.4649087862216356,0.41222018382013254,0.7201619003563744,0.8110054105884366,0.23799543409395058,False,male
innovation,9,0.00858698950873481,0.07315164910973142,0.35215841118717073,0.7338163164713247,0.8110054105884366,0.11738613706239025,False,male
art,14,-0.010700932570866175,0.11682332655288542,-0.3427331217197081,0.7372776459894879,0.8110054105884366,-0.0915992797553313,False,female
algorithm,6,0.021302640438079834,0.1868564257562279,0.27925504320279193,0.7912317911066733,0.8560868559514826,0.114005393990952,False,male
trial,3,-0.013305683930714926,0.0864063152259666,-0.26671801172381504,0.8146691257748704,0.8672284242119588,-0.1539897158664664,False,female
plan,27,-0.007026578541155215,0.17978563019034433,-0.2030817094297617,0.840652127968277,0.8806831816810521,-0.039083093202254095,False,female
workout,5,-0.009383726119995116,0.14326487104036412,-0.1464605337943429,0.8906427387303608,0.907098443576449,-0.0654991419170112,False,female
museum,3,-0.006592273712158203,0.07527566763772219,-0.15168451327207927,0.8933545277646846,0.907098443576449,-0.0875750945695323,False,female
survey,19,0.00019461857645135177,0.06460398882370616,0.013131119652721793,0.9896676318976411,0.9896676318976411,0.0030124854516713263,False,male
