Context,mean_delta,std_delta,count,mean_abs_delta
training,0.32874550819396975,0.06273639278994367,5,0.32874550819396975
theorem,0.3109568953514099,0.19167967873633804,5,0.3109568953514099
prototype,0.2476956049601237,0.11208784869171713,3,0.2476956049601237
trial,0.2400705615679423,0.022110511424402554,3,0.2400705615679423
experiment,0.2224924090233716,0.17510891271213017,22,0.2224924090233716
algorithm,0.21051482359568277,0.18357520188570634,6,0.21051482359568277
symphony,0.206249876300717,0.09776188179826784,4,0.206249876300717
workout,0.18889976739883424,0.07508032393612672,5,0.18889976739883424
analysis,0.17073342439375425,0.14179586132911623,38,0.17073342439375425
collection,0.16981122891108194,0.22656712165401405,6,0.16981122891108194
flight,0.1395186185836792,0.2808100131588542,4,0.1395186185836792
artwork,0.13739033540089926,0.09205553332316882,3,0.13739033540089926
menu,0.12565598487854004,0.09933993004299091,5,0.12565598487854004
study,0.11175133065974459,0.1707345291012894,47,0.11175133065974459
software,0.1044208288192749,0.15869523645053948,10,0.1044208288192749
system,0.10100024938583374,0.07727931754935824,4,0.10100024938583374
observation,0.08066102862358093,0.10642129255490208,8,0.08066102862358093
project,0.07315963454413832,0.11019876736137345,57,0.07315963454413832
excavation,0.07084887226422627,0.05385026696866824,9,0.07084887226422627
photo,0.06792763868967693,0.0467993100326988,3,0.06792763868967693
piece,0.06698222955067952,0.532017756712803,3,0.06698222955067952
report,0.060779254883527756,0.1574156061374335,8,0.060779254883527756
curriculum,0.05445564985275268,0.22071071066703568,10,0.05445564985275268
development,0.04017417430877686,0.2644838461733984,5,0.04017417430877686
cybersecurity,0.03851739689707756,0.11976497052177379,4,0.03851739689707756
data,0.03152966499328613,0.06634465035833965,3,0.03152966499328613
startup,0.027802473306655882,0.17590151620009348,5,0.027802473306655882
economic,0.022484540939331055,0.1740674207419802,6,0.022484540939331055
survey,0.019800424575805664,0.11769555259282495,19,0.019800424575805664
composition,0.015869855880737305,0.11638531589526369,4,0.015869855880737305
discovery,0.01580651756376028,0.03662873347976993,8,0.01580651756376028
breakthrough,0.010141621033350626,0.017977234845279196,3,0.010141621033350626
innovation,0.009675290849473741,0.15317702953601467,9,0.009675290849473741
audit,0.005588452021280925,0.33119596822076397,3,0.005588452021280925
medical,-0.01628655195236206,0.0534843707170916,4,0.01628655195236206
strategy,-0.016642823815345764,0.11089229218887715,12,0.016642823815345764
clothing,-0.02420908212661743,0.1344829600540034,4,0.02420908212661743
design,-0.025386719142689425,0.10640389191976864,17,0.025386719142689425
novel,-0.02618879931313651,0.17325677504035533,7,0.02618879931313651
research,-0.029899978637695314,0.19834300765464766,45,0.029899978637695314
recipe,-0.041322346438061104,0.14168526963623668,11,0.041322346438061104
assessment,-0.05509050507098436,0.1085405903138515,10,0.05509050507098436
art,-0.06788988198552813,0.3025143202832782,14,0.06788988198552813
museum,-0.0774701436360677,0.05486553361073565,3,0.0774701436360677
musical,-0.08537168162209648,0.09236056183674887,7,0.08537168162209648
script,-0.09032545487085979,0.0354998854236462,6,0.09032545487085979
legal,-0.0951072374979655,0.24061878113621982,3,0.0951072374979655
therapeutic,-0.09826449155807496,0.2958523900036649,10,0.09826449155807496
initiative,-0.10007619156556971,0.2203914988833531,17,0.10007619156556971
plan,-0.10727069947730612,0.1014947758026534,27,0.10727069947730612
program,-0.11002852767705917,0.11557788399167365,16,0.11002852767705917
campaign,-0.13848617672920227,0.10881118371179757,15,0.13848617672920227
protocol,-0.15660675366719565,0.1267613033904044,3,0.15660675366719565
application,-0.16333560943603515,0.10419976694278774,5,0.16333560943603515
findings,-0.1745377779006958,0.047689324170944576,4,0.1745377779006958
mission,-0.21501374244689941,0.22867338178235336,5,0.21501374244689941
therapy,-0.23633715841505262,0.24348945181444007,9,0.23633715841505262
sports,-0.2599523862202962,0.42752225497184754,3,0.2599523862202962
counseling,-0.2630471388498942,0.19248195248292702,6,0.2630471388498942
dance,-0.27814356486002606,0.10820220946417765,3,0.27814356486002606
fitness,-0.2826831340789795,0.5393348949979382,3,0.2826831340789795
app,-0.3206506570180257,0.06224038379829284,3,0.3206506570180257
performance,-0.3256964286168416,0.18742056693163386,3,0.3256964286168416
forecast,-0.3292528788248698,0.5384979152347592,3,0.3292528788248698
fashion,-0.40341397848996247,0.19588834879475192,11,0.40341397848996247
glitch,-0.6076458295186361,0.13937111810527308,3,0.6076458295186361
