Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
analysis,38,0.17073342439375425,0.14179586132911623,7.422441686537364,7.813489265826317e-09,5.15690291544537e-07,1.204079038650305,True,male
project,57,0.07315963454413832,0.11019876736137345,5.012244160062762,5.732831635585957e-06,0.0001424951411322619,0.6638879571513431,True,male
experiment,22,0.2224924090233716,0.1751089127121302,5.959616135815407,6.477051869648269e-06,0.0001424951411322619,1.2705944293602998,True,male
plan,27,-0.10727069947730612,0.10149477580265338,-5.491858083988862,9.22136865461579e-06,0.00015215258280116054,-1.0569085810473975,True,female
fashion,11,-0.40341397848996247,0.19588834879475192,-6.830282709859441,4.567510314266241e-05,0.000527906090122565,-2.059407723695971,True,female
study,47,0.11175133065974459,0.1707345291012894,4.487250049367023,4.7991462738415004e-05,0.000527906090122565,0.6545326902998477,True,male
campaign,15,-0.13848617672920227,0.10881118371179757,-4.929223613381064,0.00022186714934147739,0.002091890265219644,-1.2727200642904803,True,female
training,5,0.32874550819396975,0.06273639278994365,11.71723892511179,0.0003034245189729721,0.0025032522815270197,5.240108549031306,True,male
script,6,-0.09032545487085979,0.0354998854236462,-6.232450403094037,0.0015563424468443175,0.011319974449211933,-2.5443872224639543,True,female
program,16,-0.11002852767705917,0.11557788399167365,-3.80794400717652,0.00171514764381999,0.011319974449211933,-0.95198600179413,True,female
trial,3,0.2400705615679423,0.02211051142440255,18.806186888031426,0.0028155375748116383,0.016893225448869828,10.857757062235354,True,male
excavation,9,0.07084887226422627,0.05385026696866824,3.9469928146567046,0.004253929874910238,0.02339661431200631,1.3156642715522349,True,male
workout,5,0.18889976739883424,0.07508032393612672,5.6258777092788685,0.004909459527965483,0.024828753357595053,2.5159689982096696,True,male
findings,4,-0.1745377779006958,0.047689324170944576,-7.319784078929579,0.005266705257671678,0.024828753357595053,-3.659892039464789,True,female
app,3,-0.3206506570180257,0.062240383798292845,-8.923197376729476,0.012327362914552496,0.054240396824030986,-5.151810407486925,False,female
glitch,3,-0.6076458295186361,0.13937111810527308,-7.551589339612206,0.017087534679823435,0.07048608055427166,-4.359912138034615,False,female
therapy,9,-0.23633715841505262,0.24348945181444007,-2.9118775781116204,0.019532821620597614,0.07474400474388647,-0.9706258593705401,False,female
counseling,6,-0.2630471388498942,0.19248195248292702,-3.3474892589653567,0.02038472856651449,0.07474400474388647,-1.3666067673187505,False,female
theorem,5,0.3109568953514099,0.19167967873633804,3.6275141979681553,0.02220874231023522,0.07714615749871181,1.622273667200485,False,male
symphony,4,0.206249876300717,0.09776188179826784,4.219433433704043,0.024332647971554714,0.07788541700668179,2.1097167168520214,False,male
application,5,-0.16333560943603515,0.10419976694278772,-3.505089661533167,0.024781723593035116,0.07788541700668179,-1.567523750083978,False,female
algorithm,6,0.21051482359568277,0.18357520188570634,2.8089518399248745,0.037594643749196376,0.11278393124758912,1.1467497866446525,False,male
dance,3,-0.27814356486002606,0.10820220946417765,-4.452393241520541,0.04692237732535768,0.13040737388554224,-2.570590436529955,False,female
menu,5,0.12565598487854004,0.09933993004299091,2.828422808899752,0.047420863231106274,0.13040737388554224,1.2649091339621485,False,male
musical,7,-0.08537168162209648,0.09236056183674889,-2.4455485554395944,0.050092668792418374,0.1322446456119845,-0.9243304709752032,False,female
prototype,3,0.2476956049601237,0.11208784869171713,3.8275457831509514,0.061980464055629965,0.15733502414121453,2.209834588237819,False,male
software,10,0.1044208288192749,0.15869523645053948,2.0807660117408453,0.06718170806769279,0.16322439810005143,0.6579959874965732,False,male
observation,8,0.08066102862358093,0.10642129255490207,2.1437800255166715,0.06924671434547637,0.16322439810005143,0.7579406967075543,False,male
system,4,0.10100024938583374,0.07727931754935824,2.6139011727510395,0.07941745243349439,0.1750492270704063,1.3069505863755198,False,male
initiative,17,-0.10007619156556971,0.2203914988833531,-1.872235138492259,0.07956783048654831,0.1750492270704063,-0.45408371952920545,False,female
performance,3,-0.3256964286168416,0.18742056693163384,-3.0099298675895962,0.0949238122794996,0.20209585840151528,-1.7377838192947481,False,female
mission,5,-0.21501374244689941,0.22867338178235336,-2.102498071531127,0.10336144346879063,0.21318297715438067,-0.940265722101163,False,female
artwork,3,0.13739033540089926,0.09205553332316882,2.5850378873791633,0.12270330051206402,0.24219438152069322,1.4924723201437413,False,male
collection,6,0.16981122891108194,0.22656712165401405,1.8358836021331084,0.1258119038652638,0.24219438152069322,0.7494963420614803,False,male
photo,3,0.06792763868967693,0.0467993100326988,2.514014017866857,0.12843641444279186,0.24219438152069322,1.4514666699619228,False,male
museum,3,-0.0774701436360677,0.05486553361073566,-2.445656061587493,0.1343140464472231,0.2462424184865757,-1.412000185502779,False,female
assessment,10,-0.05509050507098436,0.1085405903138515,-1.6050352496667277,0.14294893569883105,0.25498999340872563,-0.507556711380387,False,female
protocol,3,-0.15660675366719565,0.1267613033904044,-2.139855357313561,0.16573292541296533,0.28785192308567664,-1.235446066571847,False,female
discovery,8,0.01580651756376028,0.03662873347976993,1.220560439246655,0.26176824085002837,0.4429924075923557,0.4315332817196704,False,male
report,8,0.060779254883527756,0.1574156061374335,1.0920752862606553,0.31095462802366697,0.5043575373902796,0.3861069202405747,False,male
research,45,-0.029899978637695314,0.19834300765464766,-1.0112539718479705,0.3174238179172621,0.5043575373902796,-0.15074884157124802,False,female
therapeutic,10,-0.09826449155807496,0.2958523900036649,-1.0503197437007536,0.32095479652108694,0.5043575373902796,-0.3321402661538671,False,female
design,17,-0.025386719142689425,0.10640389191976865,-0.983724585864997,0.33989367087975847,0.5216972622805596,-0.23858825729637487,False,female
recipe,11,-0.041322346438061104,0.1416852696362367,-0.9672898173818079,0.3562104205827209,0.5343156308740814,-0.29164885343516833,False,female
flight,4,0.1395186185836792,0.2808100131588542,0.9936869203075999,0.3936209049743589,0.5655280823629375,0.49684346015379993,False,male
forecast,3,-0.3292528788248698,0.5384979152347592,-1.0590249256849538,0.40059251540424723,0.5655280823629375,-0.6114283259227316,False,female
sports,3,-0.2599523862202962,0.42752225497184754,-1.0531632803816724,0.4027245435008797,0.5655280823629375,-0.608044103428988,False,female
art,14,-0.06788988198552813,0.30251432028327824,-0.8396980287759414,0.4162533321168828,0.5723483316607139,-0.2244187380020727,False,female
breakthrough,3,0.010141621033350626,0.017977234845279196,0.9771137247776026,0.4315599717029432,0.5812848598447806,0.5641368720292268,False,male
curriculum,10,0.05445564985275268,0.22071071066703568,0.7802244144784536,0.4552878947120372,0.5950290582463071,0.24672862358231681,False,male
fitness,3,-0.2826831340789795,0.5393348949979382,-0.9078247211678551,0.45979518137214637,0.5950290582463071,-0.5241328471432581,False,female
survey,19,0.019800424575805664,0.11769555259282494,0.7333161522570368,0.4728090334350024,0.6001037732059646,0.16823426322918472,False,male
