Context,mean_delta,std_delta,count,mean_abs_delta
app,0.859375,1.857367449583802,3,0.859375
photo,0.369140625,0.29940202244627856,3,0.369140625
symphony,0.3408203125,0.21176475034559528,4,0.3408203125
novel,0.22544642857142858,0.22033367267816378,7,0.22544642857142858
fashion,0.08291903409090909,0.2076923474102086,11,0.08291903409090909
composition,0.08056640625,0.05346772586474139,4,0.08056640625
report,0.07568359375,0.1533009844078541,8,0.07568359375
clothing,0.0615234375,0.09717982745370714,4,0.0615234375
dance,0.057942708333333336,0.045063183543417214,3,0.057942708333333336
script,0.055989583333333336,0.12496744367700999,6,0.055989583333333336
theorem,0.026171875,0.08204984908197577,5,0.026171875
startup,0.025390625,0.17705700248481065,5,0.025390625
workout,0.025,0.06708351782858299,5,0.025
legal,0.018229166666666668,0.11160760788593596,3,0.018229166666666668
trial,-0.018880208333333332,0.04557676753168536,3,0.018880208333333332
flight,-0.02734375,0.20445869995026272,4,0.02734375
software,-0.074609375,0.5206345649360626,10,0.074609375
protocol,-0.07877604166666667,0.12682284982458883,3,0.07877604166666667
artwork,-0.08203125,0.34044935264845194,3,0.08203125
excavation,-0.103515625,0.3152149520619508,9,0.103515625
training,-0.10634765625,0.08457307524716537,5,0.10634765625
innovation,-0.11176215277777778,0.18170303493986692,9,0.11176215277777778
curriculum,-0.1140625,0.28203137022927566,10,0.1140625
forecast,-0.12109375,0.18108323416405092,3,0.12109375
campaign,-0.12289225260416667,0.1414969257171292,15,0.12289225260416667
musical,-0.13950892857142858,0.38997155166102915,7,0.13950892857142858
performance,-0.1435546875,0.06367157544024625,3,0.1435546875
survey,-0.14383737664473684,0.122588885036316,19,0.14383737664473684
menu,-0.144921875,0.1056169387178999,5,0.144921875
project,-0.15051912006578946,0.26249048329826086,57,0.15051912006578946
strategy,-0.16060384114583334,0.11022056769535436,12,0.16060384114583334
collection,-0.16153971354166666,0.1195020519490088,6,0.16153971354166666
art,-0.17180524553571427,0.5067700712348616,14,0.17180524553571427
mission,-0.1888671875,0.06430350768872736,5,0.1888671875
system,-0.1943359375,0.03842249135333203,4,0.1943359375
application,-0.194921875,0.339900991946437,5,0.194921875
study,-0.19506316489361702,0.44633980946565344,47,0.19506316489361702
assessment,-0.19718017578125,0.29407228985060757,10,0.19718017578125
research,-0.20149739583333334,0.3343814839501753,45,0.20149739583333334
counseling,-0.20247395833333334,0.4921714820475536,6,0.20247395833333334
fitness,-0.20703125,0.41470689833114366,3,0.20703125
development,-0.2078125,0.24740242932544704,5,0.2078125
audit,-0.208984375,0.20054514023402406,3,0.208984375
breakthrough,-0.21354166666666666,0.060330568548822364,3,0.21354166666666666
program,-0.21905517578125,0.19068366435229814,16,0.21905517578125
algorithm,-0.23372395833333334,0.10797560880288735,6,0.23372395833333334
therapy,-0.24815538194444445,0.183013938349834,9,0.24815538194444445
initiative,-0.27401194852941174,0.20191804114754924,17,0.27401194852941174
plan,-0.28776945891203703,0.3178985184675062,27,0.28776945891203703
medical,-0.30078125,0.39235294899942025,4,0.30078125
museum,-0.337890625,0.06154668459604973,3,0.337890625
observation,-0.376708984375,0.1603311786270792,8,0.376708984375
analysis,-0.4073036595394737,0.6137438618145811,38,0.4073036595394737
experiment,-0.4159268465909091,0.40467589979772844,22,0.4159268465909091
recipe,-0.4816228693181818,0.16830613043246165,11,0.4816228693181818
piece,-0.50390625,0.3895089035877371,3,0.50390625
therapeutic,-0.505859375,0.46393377171973665,10,0.505859375
findings,-0.529296875,0.5564726994510827,4,0.529296875
design,-0.5373391544117647,0.49087149015557596,17,0.5373391544117647
cybersecurity,-0.54248046875,0.28378117640740474,4,0.54248046875
economic,-0.5983072916666666,0.18084573495181028,6,0.5983072916666666
sports,-0.6471354166666666,0.6755253007594504,3,0.6471354166666666
discovery,-0.77197265625,0.5381240415841494,8,0.77197265625
prototype,-0.86328125,0.6278377958131881,3,0.86328125
data,-1.037109375,1.113714622338131,3,1.037109375
glitch,-1.0540364583333333,0.8874505114301474,3,1.0540364583333333
