Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
recipe,11,-0.4816228693181818,0.16830613043246165,-9.49081500405462,2.560810518380918e-06,0.00016901349421314058,-2.8615883930113215,True,female
initiative,17,-0.27401194852941174,0.20191804114754924,-5.595241515058581,4.024221748404608e-05,0.000969956291140706,-1.3570453980839716,True,female
project,57,-0.15051912006578946,0.26249048329826086,-4.3292786144482625,6.24480044716339e-05,0.000969956291140706,-0.5734269607586445,True,female
survey,19,-0.14383737664473684,0.12258888503631599,-5.114432592421977,7.252146982321093e-05,0.000969956291140706,-1.1733313065220077,True,female
plan,27,-0.28776945891203703,0.3178985184675063,-4.7036833588125,7.348153720762923e-05,0.000969956291140706,-0.9052242844643869,True,female
experiment,22,-0.4159268465909091,0.40467589979772833,-4.820820407537926,9.160354572855712e-05,0.0010076390030141283,-1.0278023643088319,True,female
research,45,-0.20149739583333334,0.3343814839501753,-4.04234590728402,0.00020959996453344797,0.0018389467082958473,-0.6025973491503422,True,female
analysis,38,-0.4073036595394737,0.6137438618145811,-4.090938481897481,0.00022290263130858755,0.0018389467082958473,-0.6636378542919338,True,female
observation,8,-0.376708984375,0.1603311786270792,-6.645581468718035,0.0002917129729871222,0.0020541800187917924,-2.3495678607290893,True,female
program,16,-0.21905517578125,0.19068366435229817,-4.595153476315286,0.00035033325212210047,0.0020541800187917924,-1.1487883690788214,True,female
design,17,-0.5373391544117647,0.49087149015557596,-4.513413662947924,0.00035359820087501844,0.0020541800187917924,-1.0946636037906,True,female
strategy,12,-0.16060384114583334,0.11022056769535436,-5.047588096700194,0.0003734872761439622,0.0020541800187917924,-1.457113173194104,True,female
economic,6,-0.5983072916666666,0.18084573495181028,-8.10385478186923,0.00046395882691859506,0.002355483275125175,-3.308384860865515,True,female
system,4,-0.1943359375,0.03842249135333203,-10.115738498729444,0.002057814984905164,0.009701127785981489,-5.057869249364722,True,female
mission,5,-0.1888671875,0.06430350768872735,-6.567602377361956,0.002781076898285807,0.01223673835245755,-2.937121072994112,True,female
algorithm,6,-0.23372395833333334,0.10797560880288735,-5.302164488142008,0.0031863916236942384,0.013143865447738733,-2.164599588042178,True,female
therapy,9,-0.24815538194444445,0.18301393834983398,-4.067811187201899,0.003594305849227592,0.013954363885236534,-1.355937062400633,True,female
study,47,-0.19506316489361702,0.44633980946565344,-2.996115639724534,0.004394851970279604,0.01592077489050501,-0.4370283823151281,True,female
campaign,15,-0.12289225260416667,0.14149692571712924,-3.3637455040214643,0.004635446413063057,0.01592077489050501,-0.8685153545303469,True,female
discovery,8,-0.77197265625,0.5381240415841494,-4.057555938352227,0.004824477239546972,0.01592077489050501,-1.4345626595263026,True,female
therapeutic,10,-0.505859375,0.46393377171973665,-3.4480520674739785,0.007297120697411606,0.022933807906150763,-1.0903698024070356,True,female
museum,3,-0.337890625,0.06154668459604973,-9.50893998177711,0.010879356062891143,0.03263806818867343,-5.48998905818701,True,female
collection,6,-0.16153971354166666,0.1195020519490088,-3.3111554564877688,0.02121345532741764,0.06087339354824193,-1.3517735545712237,False,female
breakthrough,3,-0.21354166666666666,0.060330568548822364,-6.130640322083019,0.02558966886403547,0.07037158937609754,-3.539526840259405,False,female
cybersecurity,4,-0.54248046875,0.28378117640740474,-3.823230811977457,0.03150434712339875,0.0831714764057727,-1.9116154059887285,False,female
novel,7,0.22544642857142858,0.2203336726781638,2.7071449257733016,0.035239562574097355,0.08945427422655482,1.0232046052295096,False,male
menu,5,-0.144921875,0.1056169387178999,-3.0682120487535647,0.03735801706797641,0.09131959727727566,-1.372146142079374,False,female
training,5,-0.10634765625,0.08457307524716537,-2.81177653677375,0.04822967421641771,0.11066735902916995,-1.2574646947530084,False,female
symphony,4,0.3408203125,0.21176475034559528,3.2188578310959586,0.04862656684615043,0.11066735902916995,1.6094289155479793,False,male
composition,4,0.08056640625,0.05346772586474139,3.0136462677994125,0.057046175740620444,0.12550158662936498,1.5068231338997062,False,male
performance,3,-0.1435546875,0.06367157544024625,-3.905102248459634,0.05975706055633187,0.12722470957154527,-2.254611834361182,False,female
assessment,10,-0.19718017578125,0.29407228985060757,-2.120357770594048,0.06300095592846262,0.12993947160245417,-0.6705160009513987,False,female
innovation,9,-0.11176215277777778,0.18170303493986692,-1.8452441283894543,0.10221986713042355,0.2044397342608471,-0.6150813761298182,False,female
